市場別,報告年度,公司代號,公司名稱,有害廢棄物量,非有害廢棄物量,廢棄物總量,資料範圍,廢棄物密集度,廢棄物密集度-單位,驗證狀態,網絡中心性,漂綠標籤,風險等級,異常標籤
上市,2021,1229.0,聯華,0.0,282.99,282.99,母公司-聯華實業投資控股(股)公司以及子公司-聯華製粉食品(股)公司、聯華置產(股)公司,0.045,營業額;單位為新台幣佰萬元,Unknown,0.0005998800239952009,無漂綠跡象,高風險,正常
上市,2021,1231.0,聯華食,0.0,7104.78,7104.78,臺灣地區的總公司及各工廠之所有營運相關之活動,0.7476,百萬營業額,Unknown,0.0005998800239952009,無漂綠跡象,高風險,正常
上市,2021,1232.0,大統益,0.0,1951.0,1951.0,僅母公司,0.002,黃豆總加工量,ISO 14001,0.00029994001199760045,無漂綠跡象,高風險,正常
上市,2021,1233.0,天仁,0.0,0.0,1350.0,本公司天仁茶業股份有限公司直營單位,1.5205,分母以營業額為百萬元之計算,Unknown,0.0005998800239952009,無漂綠跡象,高風險,正常
上市,2021,1234.0,黑松,0.8,2614.0,2614.8,中壢廠,0.01,產品,Unknown,0.0005998800239952009,無漂綠跡象,高風險,正常
上市,2021,1235.0,興泰,0.0,0.0,0.0,nan,0.0,,Unknown,0.00029994001199760045,可能漂綠,高風險,正常
上市,2021,1236.0,宏亞,0.0,424.72,424.72,母公司,0.0,營業額,Unknown,0.0005998800239952009,無漂綠跡象,高風險,正常
上市,2021,1256.0,鮮活果汁-KY,1.0241,1962.608,1963.6321,集團主要營運主體，子公司蘇州鮮活飲品股份有限公司,0.0005,營業額,Unknown,0.0008998200359928014,無漂綠跡象,高風險,正常
上市,2021,1301.0,台塑,2928.0,235519.0,238447.0,母公司,113.18,廢棄物總量/當年度個體財報營收(億元)，請參閱本公司2021年永續報告書P.81,Unknown,0.00029994001199760045,無漂綠跡象,高風險,正常
上市,2021,1303.0,南亞,6023.3,122868.0,128891.3,母公司,0.0006,單位:公噸/110年個體營業額(千元)。,ISO 14001,0.0005998800239952009,無漂綠跡象,高風險,正常
上市,2021,1304.0,台聚,22.23,868.59,890.82,台聚高雄廠,0.0036,產品,ISO 14001,0.0005998800239952009,無漂綠跡象,高風險,正常
上市,2021,1305.0,華夏,38.31,3401.9,3440.21,華夏頭份廠、華聚林園廠、台氯林園廠。,0.003,產品,ISO 14001,0.0008998200359928014,無漂綠跡象,高風險,正常
上市,2021,1307.0,三芳,0.0,0.0,2153.0,母公司,2.85,百萬營業額,Unknown,0.0005998800239952009,無漂綠跡象,高風險,正常
上市,2021,1308.0,亞聚,0.0,395.56,395.56,亞聚林園廠,0.0029,產品,ISO 14001,0.0005998800239952009,無漂綠跡象,高風險,正常
上市,2021,1309.0,台達化,0.0,3587.0,3587.0,前鎮廠、林園廠、頭份廠、中山廠,0.0068,產品,ISO 14001,0.0005998800239952009,無漂綠跡象,高風險,正常
上市,2021,1310.0,台苯,5.13,14367.38,14372.51,台苯高雄廠,0.04,產品,Unknown,0.0005998800239952009,無漂綠跡象,高風險,正常
上市,2021,1312.0,國喬,0.0,0.0,30077.09,國喬石油化學股份有限公司高雄廠,1.66,營業額,Unknown,0.0005998800239952009,無漂綠跡象,高風險,正常
上市,2021,1313.0,聯成,311.0,1702.0,2013.0,聯成林園廠,0.0,,Unknown,0.0008998200359928014,無漂綠跡象,高風險,正常
上市,2021,1314.0,中石化,37654.0,49540.0,87194.0,僅母公司,0.0,"廢棄物總量:87194公噸，營業收入:35,163,380仟元",ISO 14001,0.0008998200359928014,無漂綠跡象,高風險,正常
上市,2021,1315.0,達新,0.0,133.0,133.0,母公司,0.0,,Unknown,0.00029994001199760045,無漂綠跡象,高風險,正常
上市,2021,1316.0,上曜,0.0,0.0,0.0,nan,0.0,,Unknown,0.00029994001199760045,可能漂綠,高風險,正常
上市,2021,1319.0,東陽,392.0,3047.0,3439.0,母公司,0.25,百萬營業額,Unknown,0.0005998800239952009,無漂綠跡象,高風險,正常
上市,2021,1321.0,大洋,11.95,655.36,667.31,母公司,0.0046,產品,Unknown,0.00029994001199760045,無漂綠跡象,高風險,正常
上市,2021,1323.0,永裕,0.0,91.78,91.78,"""台灣永裕:
 一般垃圾 80.185噸
 非有害事業廢棄物10.095公噸
 上海永裕:
 311.363噸
 威瑪:1.5噸""",0.0001,台灣永裕+上海永裕 (90.28+311.363)/(1907428千元+1281058千元)=0.000125,Unknown,0.0008998200359928014,無漂綠跡象,高風險,正常
上市,2021,1324.0,地球,97.98,89.25,187.23,母公司(幼一二廠),0.0,營業額,ISO 14001,0.0005998800239952009,無漂綠跡象,高風險,正常
上市,2021,1325.0,恆大,0.0,0.0,0.0,nan,0.0,,Unknown,0.00029994001199760045,可能漂綠,高風險,正常
上市,2021,1326.0,台化,61.0,286944.0,287005.0,110年母公司及台醋公司之台灣廠區,118.0,營業額億元,ISO 14001,0.0008998200359928014,無漂綠跡象,高風險,正常
上市,2021,1337.0,再生-KY,0.0,0.0,0.0,nan,0.0,,Unknown,0.00029994001199760045,可能漂綠,高風險,正常
上市,2021,1338.0,廣華-KY,144.4,325.36,469.76,僅重要子公司東莞廣澤汽車飾件有限公司,0.003,平方米(建築面積),Unknown,0.0005998800239952009,無漂綠跡象,高風險,正常
上市,2021,1339.0,昭輝,128.28,9.4,137.68,母公司,0.0,,Unknown,0.0005998800239952009,無漂綠跡象,高風險,正常
上市,2021,1340.0,勝悅-KY,0.0,0.0,0.0,nan,0.0,,Unknown,0.00029994001199760045,可能漂綠,高風險,正常
上市,2021,1341.0,富林-KY,356.255,2833.2,3189.455,僅子公司同奈廠,0.2085,產品,ISO 14001,0.0011997600479904018,無漂綠跡象,高風險,正常
上市,2021,1342.0,八貫,0.0,0.0,0.0,nan,0.0,,Unknown,0.00029994001199760045,可能漂綠,高風險,正常
上市,2021,1402.0,遠東新,17480.0,191108.0,208588.0,統計範疇共21個生產據點,0.0271,產品,ISO 14001,0.0008998200359928014,無漂綠跡象,高風險,正常
上市,2021,1409.0,新纖,0.0,1743.2,1743.2,新光合纖中壢廠,0.0,,Unknown,0.0005998800239952009,無漂綠跡象,高風險,正常
上市,2021,1410.0,南染,0.0,0.0,0.0,nan,0.0,,Unknown,0.00029994001199760045,可能漂綠,高風險,正常
上市,2021,1413.0,宏洲,0.0,0.0,71.51,僅母公司,0.0004,產品,Unknown,0.0008998200359928014,無漂綠跡象,高風險,正常
上市,2021,1414.0,東和,0.0,129.0,129.0,本公司,0.0,,Unknown,0.0005998800239952009,無漂綠跡象,高風險,正常
上市,2021,1416.0,廣豐,0.0,0.0,0.0,nan,0.0,,Unknown,0.00029994001199760045,可能漂綠,高風險,正常
上市,2021,1417.0,嘉裕,0.0,0.0,0.0,nan,0.0,,Unknown,0.00029994001199760045,可能漂綠,高風險,正常
上市,2021,1418.0,東華,0.0,9.0,9.0,本公司新竹廠,0.0,,Unknown,0.0008998200359928014,無漂綠跡象,高風險,正常
上市,2021,1419.0,新紡,0.0,36.11,36.11,母公司生產區域,0.0,產品,Unknown,0.0008998200359928014,無漂綠跡象,高風險,正常
上市,2021,1423.0,利華,0.0,5.58,5.58,母公司,0.0,元營業額,Unknown,0.0005998800239952009,無漂綠跡象,高風險,正常
上市,2021,1432.0,大魯閣,0.0,0.0,0.0,nan,0.0,,Unknown,0.00029994001199760045,可能漂綠,高風險,正常
上市,2021,1434.0,福懋,20324.0,2532.0,22856.0,台灣廠區,0.93,營業額 百萬元(新台幣),Unknown,0.00029994001199760045,無漂綠跡象,高風險,正常
上市,2021,1435.0,中福,0.0,0.323,0.323,僅母公司,0.026,無生產活動，以平均每月生活廢棄物量計算,Unknown,0.0005998800239952009,無漂綠跡象,高風險,正常
上市,2021,1436.0,華友聯,0.0,0.0,3782.0,僅母公司,0.0,,Unknown,0.0005998800239952009,無漂綠跡象,高風險,正常
上市,2021,1437.0,勤益控,0.0,0.0,0.0,nan,0.0,,Unknown,0.00029994001199760045,可能漂綠,高風險,正常
上市,2021,1438.0,三地開發,0.0,0.0,0.0,nan,0.0,,Unknown,0.00029994001199760045,可能漂綠,高風險,正常
上市,2021,1439.0,雋揚,0.0,0.0,0.0,nan,0.0,,Unknown,0.0005998800239952009,可能漂綠,高風險,正常
上市,2021,1440.0,南紡,36.31,564.0,600.31,仁德廠+太子廠,0.0019,產量公噸,ISO 14001,0.0008998200359928014,無漂綠跡象,高風險,正常
上市,2021,1441.0,大東,0.0,0.0,0.0,nan,0.0,,Unknown,0.00029994001199760045,可能漂綠,高風險,正常
上市,2021,1442.0,名軒,0.0,0.0,0.0,nan,0.0,,Unknown,0.00029994001199760045,可能漂綠,高風險,正常
上市,2021,1443.0,立益物流,0.0,0.0,0.0,nan,0.0,,Unknown,0.00029994001199760045,可能漂綠,高風險,正常
上市,2021,1444.0,力麗,0.0,3934.0,3934.0,母公司各廠區,0.0,,Unknown,0.0005998800239952009,無漂綠跡象,高風險,正常
上市,2021,1445.0,大宇,0.0,0.0,0.0,nan,0.0,,Unknown,0.00029994001199760045,可能漂綠,高風險,正常
上市,2021,1446.0,宏和,0.0,8.58,8.58,母公司,8.4,噸,Unknown,0.00029994001199760045,無漂綠跡象,高風險,正常
上市,2021,1447.0,力鵬,429.0,8156.0,8585.0,母公司各廠區,0.0,,Unknown,0.0008998200359928014,無漂綠跡象,高風險,正常
上市,2021,1449.0,佳和,0.0,310.0,310.0,母公司,0.016,產品,Unknown,0.0005998800239952009,無漂綠跡象,高風險,正常
上市,2021,1451.0,年興,0.0,1841.0,1841.0,2021年,0.0002,仟元營業額,Unknown,0.0008998200359928014,無漂綠跡象,高風險,正常
上市,2021,1452.0,宏益,0.0,6.8,6.8,包含合併財務報表之母子公司,0.0002,產品,Unknown,0.00029994001199760045,無漂綠跡象,高風險,正常
上市,2021,1453.0,大將,0.0,0.0,0.0,nan,0.0,,Unknown,0.00029994001199760045,可能漂綠,高風險,正常
上市,2021,1454.0,台富,0.0,0.0,0.0,nan,0.0,,Unknown,0.00029994001199760045,可能漂綠,高風險,正常
上市,2021,1455.0,集盛,0.0,1762.73,1762.73,母公司之5個紡織製品製造廠區,0.01,產品,Unknown,0.0008998200359928014,無漂綠跡象,高風險,正常
上市,2021,1456.0,怡華,0.0,132.0,132.0,台南官田廠,0.013,一般廢棄物,Unknown,0.00029994001199760045,無漂綠跡象,高風險,正常
上市,2021,1457.0,宜進,0.0,0.0,0.0,nan,0.0,,Unknown,0.0008998200359928014,可能漂綠,高風險,正常
上市,2021,1459.0,聯發,0.0,56.14,56.14,工廠,0.0023,產品,Unknown,0.00029994001199760045,無漂綠跡象,高風險,正常
上市,2021,1460.0,宏遠,0.0,10770.24,10770.24,母公司,0.0,,Unknown,0.0005998800239952009,無漂綠跡象,高風險,正常
上市,2021,1463.0,強盛新,0.0,0.0,0.0,nan,0.0,,Unknown,0.00029994001199760045,可能漂綠,高風險,正常
上市,2021,1464.0,得力,0.0,3627.3,3627.3,僅母公司,3627.3,產品,ISO 14001,0.00029994001199760045,無漂綠跡象,高風險,正常
上市,2021,1465.0,偉全,0.0,0.0,0.0,nan,0.0,,Unknown,0.00029994001199760045,可能漂綠,高風險,正常
上市,2021,1466.0,聚隆,0.0,313.3,313.3,母公司,0.0063,產品,Unknown,0.0005998800239952009,無漂綠跡象,高風險,正常
上市,2021,1467.0,南緯,0.042,26.16,26.202,母公司,0.0,,Unknown,0.0005998800239952009,無漂綠跡象,高風險,正常
上市,2021,1468.0,昶和,0.0,0.0,0.0,nan,0.0,,Unknown,0.0005998800239952009,可能漂綠,高風險,正常
上市,2021,1470.0,大統新創,0.0,2415.0,2415.0,合併財務報表之母子公司之桃園廠區,0.33,產量,Unknown,0.00029994001199760045,無漂綠跡象,高風險,正常
上市,2021,1471.0,首利,0.0,0.0,0.0,nan,0.0,,Unknown,0.00029994001199760045,可能漂綠,高風險,正常
上市,2021,1472.0,三洋實業,0.0,0.0,0.0,nan,0.0,,Unknown,0.0005998800239952009,可能漂綠,高風險,正常
上市,2021,1473.0,台南,1019.37,651.27,1670.64,包含合併財務報表之母子公司,0.08,產品,Unknown,0.0005998800239952009,無漂綠跡象,高風險,正常
上市,2021,1474.0,弘裕,0.0,786.0,786.0,母公司,0.0,,Unknown,0.0005998800239952009,無漂綠跡象,高風險,正常
上市,2021,1475.0,業旺,0.0,0.0,0.0,nan,0.0,,Unknown,0.00029994001199760045,可能漂綠,高風險,正常
上市,2021,1476.0,儒鴻,0.0,0.0,9682.659,包含合併財務報表之母子公司,0.0003,營業額,Unknown,0.00029994001199760045,無漂綠跡象,高風險,正常
上市,2021,1477.0,聚陽,0.0,0.0,22.91,台北總公司,0.0008,營業額(百萬元),Unknown,0.005398920215956808,無漂綠跡象,高風險,正常
上市,2021,1503.0,士電,1.9,738.84,740.74,環境面資訊以母公司之電裝廠、新豐廠、重電廠為主， 不包含台北總公司。,0.0,,Unknown,0.0008998200359928014,無漂綠跡象,高風險,正常
上市,2021,1504.0,東元,10.35,3015.22,3025.57,台灣所有廠區,13.2,營業額,Unknown,0.0005998800239952009,無漂綠跡象,高風險,正常
上市,2021,1506.0,正道,0.0,0.0,0.0,nan,0.0,,Unknown,0.0008998200359928014,可能漂綠,高風險,正常
上市,2021,1512.0,瑞利,0.0,0.0,0.0,nan,0.0,,Unknown,0.00029994001199760045,可能漂綠,高風險,正常
上市,2021,1513.0,中興電,0.048,435.571,435.619,母公司110年度,0.0241,營業額,ISO 14001,0.0008998200359928014,無漂綠跡象,高風險,正常
上市,2021,1514.0,亞力,0.0,70.6,70.6,母公司,0.0,,Unknown,0.0005998800239952009,無漂綠跡象,高風險,正常
上市,2021,1515.0,力山,0.0,0.0,0.0,nan,0.0,,Unknown,0.0008998200359928014,可能漂綠,高風險,正常
上市,2021,1516.0,川飛,0.0,0.0,0.0,nan,0.0,,Unknown,0.00029994001199760045,可能漂綠,高風險,正常
上市,2021,1517.0,利奇,0.0,0.0,50.7334,母公司,0.0,,Unknown,0.0008998200359928014,無漂綠跡象,高風險,正常
上市,2021,1519.0,華城,0.0,0.0,918.52,僅母公司,0.1461,產品,ISO 14001,0.0005998800239952009,無漂綠跡象,高風險,正常
上市,2021,1521.0,大億,0.0,0.0,0.0,nan,0.0,,Unknown,0.0005998800239952009,可能漂綠,高風險,正常
上市,2021,1522.0,堤維西,0.0,585.51,585.51,110年,5.16,營業額,Unknown,0.0008998200359928014,無漂綠跡象,高風險,正常
上市,2021,1524.0,耿鼎,0.0,209.83,209.83,母子公司,0.0181,產能總重,Unknown,0.0005998800239952009,無漂綠跡象,高風險,正常
上市,2021,1525.0,江申,0.0,222.9,222.9,母公司,0.175,公噸/百萬元營業額,Unknown,0.0005998800239952009,無漂綠跡象,高風險,正常
上市,2021,1526.0,日馳,0.0,0.0,61.84,母公司,0.0,,Unknown,0.0005998800239952009,無漂綠跡象,高風險,正常
上市,2021,1527.0,鑽全,0.0,41.88,41.88,110年,0.9307,營業額,ISO 14001,0.0008998200359928014,無漂綠跡象,高風險,正常
上市,2021,1528.0,恩德,0.0,0.0,0.0,nan,0.0,,Unknown,0.00029994001199760045,可能漂綠,高風險,正常
上市,2021,1529.0,樂事綠能,0.0,0.0,0.0,nan,0.0,,Unknown,0.0005998800239952009,可能漂綠,高風險,正常
上市,2021,1530.0,亞崴,0.0,0.0,0.0,nan,0.0,,Unknown,0.00029994001199760045,可能漂綠,高風險,正常
上市,2021,1531.0,高林股,0.0,0.0,0.0,nan,0.0,,Unknown,0.0005998800239952009,可能漂綠,高風險,正常
上市,2021,1532.0,勤美,0.0,7447.4,7447.4,勤美金屬成型事業處,0.3266,產品,ISO 14001,0.0008998200359928014,無漂綠跡象,高風險,正常
上市,2021,1533.0,車王電,2.35,32.0,34.35,母公司,34.35,產值,ISO 14001,0.0008998200359928014,無漂綠跡象,高風險,正常
上市,2021,1535.0,中宇,0.0,0.0,0.0,nan,0.0,,Unknown,0.0005998800239952009,可能漂綠,高風險,正常
上市,2021,1536.0,和大,0.0,0.0,242.24,僅母公司,27.6022,百萬營業額,ISO 14001,0.0005998800239952009,無漂綠跡象,高風險,正常
上市,2021,1537.0,廣隆,1949.0,867.0,2816.0,包含合併財務報表之母子公司,2058.86,仟元營業額/噸,Unknown,0.0005998800239952009,無漂綠跡象,高風險,正常
上市,2021,1538.0,正峰,0.0,11.9,11.9,母公司,0.0,,Unknown,0.0005998800239952009,無漂綠跡象,高風險,正常
上市,2021,1539.0,巨庭,0.0,0.0,0.0,nan,0.0,,Unknown,0.00029994001199760045,可能漂綠,高風險,正常
上市,2021,1540.0,喬福,0.0,0.0,0.0,個體公司,0.0,,Unknown,0.0008998200359928014,可能漂綠,高風險,正常
上市,2021,1541.0,錩泰,14.0,41.0,55.0,僅母公司,0.0087,百萬營業額,Unknown,0.0005998800239952009,無漂綠跡象,高風險,正常
上市,2021,1558.0,伸興,81.0,992.0,1073.0,合併財務報表之母子公司,0.0003,產品,ISO 14001,0.0005998800239952009,無漂綠跡象,高風險,正常
上市,2021,1560.0,中砂,25.19,1544.32,1569.51,母公司,0.29,百萬元營業額,ISO 14001,0.00029994001199760045,無漂綠跡象,高風險,正常
上市,2021,1568.0,倉佑,8.55,398.93,407.48,僅母公司,0.3707,百萬營業額,ISO 14001,0.0005998800239952009,無漂綠跡象,高風險,正常
上市,2021,1582.0,信錦,0.0,0.0,0.0,nan,0.0,,ISO 9001,0.0005998800239952009,無漂綠跡象,高風險,正常
上市,2021,1583.0,程泰,0.0,0.0,0.0,nan,0.0,,Unknown,0.0008998200359928014,可能漂綠,高風險,正常
上市,2021,1587.0,吉茂,12250.0,61360.0,73610.0,110年,0.0,,Unknown,0.0008998200359928014,無漂綠跡象,高風險,正常
上市,2021,1589.0,永冠-KY,355.66,36469.55,36825.21,合併財務報表之子公司,0.18,產品,ISO 14001,0.0005998800239952009,無漂綠跡象,高風險,正常
上市,2021,1590.0,亞德客-KY,5019.9,15376.8,20396.7,包含三個生產工廠，已涵蓋集團90%以上的排放量,1.2916,每百萬元產值,Unknown,0.0008998200359928014,無漂綠跡象,高風險,正常
上市,2021,1597.0,直得,0.0,281.54,281.54,母公司,0.195,每百萬營業額,ISO 14001,0.00029994001199760045,無漂綠跡象,高風險,正常
上市,2021,1598.0,岱宇,0.0,183.72,183.72,本公司彰化一廠、二廠與五廠,0.0,營業額仟元,Unknown,0.0008998200359928014,無漂綠跡象,高風險,正常
上市,2021,1603.0,華電,0.0,0.0,0.0,nan,0.0,,Unknown,0.00029994001199760045,可能漂綠,高風險,正常
上市,2021,1604.0,聲寶,0.0,0.0,0.0,nan,0.0,,Unknown,0.0005998800239952009,可能漂綠,高風險,正常
上市,2021,1605.0,華新,64359.05,93310.23,157669.28,楊梅廠、新莊廠、鹽水廠、臺中廠。東莞華新、江陰華新、江陰合金、上海華新、煙台華新、常熟華新、華新精密,0.12,產品,ISO 14001,0.0005998800239952009,無漂綠跡象,高風險,正常
上市,2021,1608.0,華榮,5.86,661.63,667.49,涵蓋範圍僅限華榮電線電纜股份有限公司高楠工廠廠區,0.09,百萬營業額,ISO 14001,0.0005998800239952009,無漂綠跡象,高風險,正常
上市,2021,1609.0,大亞,38.84,478.75,517.59,大亞,0.037,營業額,Unknown,0.0011997600479904018,無漂綠跡象,高風險,正常
上市,2021,1611.0,中電,0.0,31.878,31.878,工廠,0.0,,Unknown,0.0005998800239952009,無漂綠跡象,高風險,正常
上市,2021,1612.0,宏泰,174.69,342.35,517.04,僅母公司,0.0,,ISO 14001,0.00029994001199760045,無漂綠跡象,高風險,正常
上市,2021,1614.0,三洋電,0.0,120.0,120.0,母子公司,0.0215,噸/百萬元,Unknown,0.0005998800239952009,無漂綠跡象,高風險,正常
上市,2021,1615.0,大山,0.0,108.46,108.46,母公司,0.02,產品,Unknown,0.0008998200359928014,無漂綠跡象,高風險,正常
上市,2021,1616.0,億泰,0.0,197.0,197.0,母公司,0.07,營業額,Unknown,0.0005998800239952009,無漂綠跡象,高風險,正常
上市,2021,1617.0,榮星,0.0,0.0,0.0,nan,0.0,,Unknown,0.0005998800239952009,可能漂綠,高風險,正常
上市,2021,1618.0,合機,0.0,0.0,55.29,110年1-12月(全年),0.0,,ISO 14001,0.0008998200359928014,無漂綠跡象,高風險,正常
上市,2021,1626.0,艾美特-KY,169.44,24.84,194.28,營運地深圳艾美特+九江艾美特,194.28,營業額,Unknown,0.0005998800239952009,無漂綠跡象,高風險,正常
上市,2021,1702.0,南僑,30.0,13912.0,13942.0,資訊涵蓋台灣、中國大陸、泰國地區之製造單位及台灣、中國大陸餐飲事業,0.701,營業額,Unknown,0.0008998200359928014,無漂綠跡象,高風險,正常
上市,2021,1707.0,葡萄王,7.02,1962.54,1969.56,葡萄王生技,0.201,每百萬營收,ISO 14001,0.0005998800239952009,無漂綠跡象,高風險,正常
上市,2021,1708.0,東鹼,0.0,934.96,934.96,僅母公司,5.74,百萬營業額,ISO 14001,0.00029994001199760045,無漂綠跡象,高風險,正常
上市,2021,1709.0,和益,0.02,201.2,201.22,僅母公司林園工廠,0.0305,百萬營業額,Unknown,0.0008998200359928014,無漂綠跡象,高風險,正常
上市,2021,1710.0,東聯,0.03,708.36,708.39,母公司,0.0,營業額；單位：公噸/仟元,Unknown,0.0005998800239952009,無漂綠跡象,高風險,正常
上市,2021,1711.0,永光,2029.9,9515.5,11545.4,合併財務報表之母子公司生產型廠區,1.2,百萬元產值,ISO 14001,0.0008998200359928014,無漂綠跡象,高風險,正常
上市,2021,1712.0,興農,1.77,1773.53,1775.3,母公司王田廠區(王田廠、王田二廠、生物工廠),0.16,植物保護產品佰萬元銷售額,ISO 14001,0.0005998800239952009,無漂綠跡象,高風險,正常
上市,2021,1713.0,國化,0.0,0.0,198.51,屏南分公司,198.51,產品,Unknown,0.0005998800239952009,無漂綠跡象,高風險,正常
上市,2021,1714.0,和桐,0.0,94.97,94.97,高雄仁武廠,0.0031,產品,Unknown,0.0008998200359928014,無漂綠跡象,高風險,正常
上市,2021,1717.0,長興,4400.0,6164.0,10564.0,母公司(台灣三廠區),0.052,產品,Unknown,0.0008998200359928014,無漂綠跡象,高風險,正常
上市,2021,1718.0,中纖,0.0716,21477.0,21477.0716,110年度申報量,0.0374,營業額573445.0898萬元,Unknown,0.0008998200359928014,無漂綠跡象,高風險,正常
上市,2021,1720.0,生達,178.87,244.997,423.867,生達一廠+生達二廠,14.9,營業額,Unknown,0.00029994001199760045,無漂綠跡象,高風險,正常
上市,2021,1721.0,三晃,209.4,2169.1,2378.5,母公司,0.0969,產品,確信準則公報第一號,0.0005998800239952009,無漂綠跡象,高風險,正常
上市,2021,1722.0,台肥,191.0,324.74,515.74,母公司台中廠、苗栗廠、花蓮廠,0.0005,產品,ISO 14001,0.0008998200359928014,無漂綠跡象,高風險,正常
上市,2021,1723.0,中碳,0.0,0.0,193.42,小港廠+屏南廠,193.42,營業額,Unknown,0.0005998800239952009,無漂綠跡象,高風險,正常
上市,2021,1725.0,元禎,0.0,0.0,18.12,母公司,0.0022,百萬元營業額,Unknown,0.00029994001199760045,無漂綠跡象,高風險,正常
上市,2021,1726.0,永記,448.71,676.01,1124.72,20210101-20211231,0.0,,ISO9001及ISO14001,0.0008998200359928014,無漂綠跡象,高風險,正常
上市,2021,1727.0,中華化,215.99,554.311,770.301,桃園一廠、桃園二廠,0.009,產品,Unknown,0.0005998800239952009,無漂綠跡象,高風險,正常
上市,2021,1730.0,花仙子,0.19,68.23,68.42,母公司,21.8,營業額,Unknown,0.0008998200359928014,無漂綠跡象,高風險,正常
上市,2021,1731.0,美吾華,0.0,0.0,24.025,台北總公司、台中及高雄服務中心、楊梅工廠及物流中心,0.0,,Unknown,0.0005998800239952009,無漂綠跡象,高風險,正常
上市,2021,1732.0,毛寶,0.0,527.08,527.08,母公司,0.85,噸CO2e/百萬營收,Unknown,0.00029994001199760045,無漂綠跡象,高風險,正常
