"報告年度:2021","議題:水資源管理"
"公司代號","公司名稱","用水量(公噸)-用水量(公噸)","資料範圍-資料範圍","用水密集度-密集度(公噸/單位)","用水密集度-單位","取得驗證-取得驗證"
"=""1314""","中石化","8856000.0000","僅母公司","0.0003","用水量:8,856,000公噸，營業收入:35,163,380仟元",""
"=""1315""","達新","4590.0000","母公司","無，無統計相關數據","",""
"=""1316""","上曜","769.0000","僅母公司","無，無統計相關數據","",""
"=""1319""","東陽","701176.0000","母公司","51.0600","百萬營業額",""
"=""1321""","大洋","96.8400","母公司","0.6834","產品",""
"=""1323""","永裕","146951.0000","台灣永裕 71740公噸 上海永裕 71926公噸 威瑪精密化學 3285公噸","0.0376","台灣永裕 (71740)/1907428千元=0.0376",""
"=""1324""","地球","39128.3300","母公司(幼一二廠)","0.0000","營業額",""
"=""1325""","恆大","無，無統計相關數據","","無，無統計相關數據","",""
"=""1326""","台化","32967200.0000","110年母公司、台化出光及台醋公司之台灣廠區","13540.0000","營業額億元","ISO 14001"
"=""1337""","再生-KY","無，無統計相關數據","","無，無統計相關數據","",""
"=""1338""","廣華-KY","560833.0000","僅重要子公司東莞廣澤汽車飾件有限公司","3.6200","平方米(建築面積)",""
"=""1339""","昭輝","100208.0000","母公司","無，無統計相關數據","",""
"=""1340""","勝悅-KY","無，無統計相關數據","","無，無統計相關數據","",""
"=""1341""","富林-KY","119797.0000","僅子公司同奈廠","7.8300","產品","ISO 14001"
"=""1342""","八貫","無，無統計相關數據","","無，無統計相關數據","",""
"=""1402""","遠東新","22627000.0000","統計範疇共21個生產據點","2.9300","產品","ISO 14001"
"=""1409""","新纖","1981972.0000","新光合纖 中壢廠及觀音廠用水統計表","2.0500","產品",""
"=""1410""","南染","無，無統計相關數據","","無，無統計相關數據","",""
"=""1413""","宏洲","392110.0000","僅母公司","2.5900","產品",""
"=""1414""","東和","43478.0000","本公司","無，無統計相關數據","",""
"=""1416""","廣豐","無，無統計相關數據","","無，無統計相關數據","",""
"=""1417""","嘉裕","無，無統計相關數據","","無，無統計相關數據","",""
"=""1418""","東華","3515.0000","本公司新竹廠","無，本公司(廠)110年度壓克力纖維(棉)製程停工","",""
"=""1419""","新紡","80071.0000","母公司生產區域","0.0118","產品",""
"=""1423""","利華","2.2070","母公司","0.0000","元營業額",""
"=""1432""","大魯閣","無，無統計相關數據","","無，無統計相關數據","",""
"=""1434""","福懋","6137000.0000","台灣廠區","250.5900","營業額 百萬元(新台幣)",""
"=""1435""","中福","473.0000","僅母公司","39.0000","無生產活動，以平均每月用水量計算",""
"=""1436""","華友聯","0.1700","僅母公司","無，無統計相關數據","",""
"=""1437""","勤益控","無，無統計相關數據","","無，無統計相關數據","",""
"=""1438""","三地開發","無，詳年報說明","","無，詳年報說明","",""
"=""1439""","雋揚","無，無統計相關數據","","無，無統計相關數據","",""
"=""1440""","南紡","808560.0000","仁德廠+太子廠","2.6000","產量公噸","ISO 14001"
"=""1441""","大東","無，無統計相關數據","","無，無統計相關數據","",""
"=""1442""","名軒","237.0000","母公司","無，無統計相關數據","",""
"=""1443""","立益物流","無，無統計相關數據","","無，無統計相關數據","",""
"=""1444""","力麗","570444.0000","母公司各廠區","1.3800","產品",""
"=""1445""","大宇","無，無統計相關數據","","無，無統計相關數據","",""
"=""1446""","宏和","23572.0000","母公司","3600.0000","產品",""
"=""1447""","力鵬","4395898.0000","母公司各廠區","24.7000","產品",""
"=""1449""","佳和","2075900.0000","母公司","361.1800","產品",""
"=""1451""","年興","704199.0000","2021年母公司總用水量","0.0880","仟元營業額",""
"=""1452""","宏益","64039.0000","包含合併財務報表之母子公司","2.2458","產品",""
"=""1453""","大將","無，無統計相關數據","","無，無統計相關數據","",""
"=""1454""","台富","無，無統計相關數據","","無，無統計相關數據","",""
"=""1455""","集盛","695569.0000","母公司之5個紡織製品製造廠區","3.0000","產品",""
"=""1456""","怡華","2075.9000","台南官田廠","361.1800","服務",""
"=""1457""","宜進","557.0000","僅母公司","27.8500","員工人數",""
"=""1459""","聯發","5853.0000","工廠","0.2427","產品",""
"=""1460""","宏遠","2661715.0000","母公司","174.6800","產品",""
"=""1463""","強盛新","無，無統計相關數據","","無，無統計相關數據","",""
"=""1464""","得力","2964.0000","僅母公司","2964.0000","產品",""
"=""1465""","偉全","無，無統計相關數據","","無，無統計相關數據","",""
"=""1466""","聚隆","182737.0000","母公司","3.7200","產品",""
"=""1467""","南緯","4309.0000","母公司","無，無統計相關數據","",""
"=""1468""","昶和","無，無統計相關數據","","無，無統計相關數據","",""
"=""1470""","大統新創","1235482.0000","合併財務報表之母子公司之桃園廠區","171.0000","產量",""
"=""1471""","首利","無，無統計相關數據","","無，無統計相關數據","",""
"=""1472""","三洋實業","無，本公司於5/11董事會剛通過溫室氣體排放，目前因組織尚未完整，尚未決定由何單位及何種方式進行此一數據收集。","","無，本公司於5/11董事會剛通過溫室氣體排放，目前因組織尚未完整，尚未決定由何單位及何種方式進行此一數據收集。","",""
"=""1473""","台南","311623.0000","包含合併財務報表之母子公司","0.0150","產品",""
"=""1474""","弘裕","180011.0000","母公司","無，無統計相關數據","",""
"=""1475""","業旺","無，詳年報說明","","無，詳年報說明","",""
"=""1476""","儒鴻","2570840.0000","包含合併財務報表之母子公司","0.0716","營業額",""
"=""1477""","聚陽","7534.0000","台北總公司","0.2604","營業額(百萬元)","ISO 14001"
"=""1503""","士電","208600.0000","環境面資訊以母公司之電裝廠、新豐廠、重電廠為主， 不包含台北總公司。","0.0075","百萬公升/百萬元營業額",""
"=""1504""","東元","184150.0000","台灣所有廠區","8.0000","營業額",""
"=""1506""","正道","無，無統計相關數據","","無，無統計相關數據","",""
"=""1512""","瑞利","22827.0000","母公司","無，無統計相關數據","",""
"=""1513""","中興電","17028.0000","母公司110年度","0.9447","營業額",""
"=""1514""","亞力","25533.0000","母公司","無，無統計相關數據","",""
"=""1515""","力山","無，資料尚在驗證","","無，資料尚在驗證","",""
"=""1516""","川飛","無，無統計相關數據","","無，無統計相關數據","",""
"=""1517""","利奇","850.0000","母公司","無，無統計相關數據","",""
"=""1519""","華城","33661.0000","僅母公司","5.3600","產品",""
"=""1521""","大億","無，無統計相關數據","","無，無統計相關數據","",""
"=""1522""","堤維西","108651.0000","110年","957.4000","營業額",""
"=""1524""","耿鼎","73107.0000","母子公司","0.0429","烤漆數量",""
"=""1525""","江申","19584.0000","母公司","15.3500","噸/百萬元營業額",""
"=""1526""","日馳","12896.0000","母公司","無，無統計相關數據","",""
"=""1527""","鑽全","22594.0000","110年","502.0888","營業額","ISO 14001"
"=""1528""","恩德","無，無統計相關數據","","無，無統計相關數據","",""
"=""1529""","樂事綠能","無，無統計相關數據","","無，無統計相關數據","",""
"=""1530""","亞崴","無，無統計相關數據","","無，無統計相關數據","",""
"=""1531""","高林股","無，無統計相關數據","","無，無統計相關數據","",""
"=""1532""","勤美","129319.0000","勤美金屬成型事業處","5.6700","產品",""
"=""1533""","車王電","30.0000","母公司","30.0000","產值",""
"=""1535""","中宇","無，本公司非製造工廠，故無法取得數據。","","無，本公司非製造工廠，故無法取得數據。","",""
"=""1536""","和大","149646.0000","僅母公司","22.3800","百萬營業額","ISO 14001"
"=""1537""","廣隆","324636.0000","包含合併財務報表之母子公司","17.8600","仟元營業額/噸",""
"=""1538""","正峰","無，無統計相關數據","","無，無統計相關數據","",""
"=""1539""","巨庭","無，無統計相關數據","","無，無統計相關數據","",""
"=""1540""","喬福","2.1770","110/01-110/12","無，無統計相關數據","",""
"=""1541""","錩泰","59196.0000","僅母公司","0.0095","營業額",""
"=""1558""","伸興","271676.0000","合併財務報表之母子公司","0.0705","產品","ISO 14001"
"=""1560""","中砂","1464402.6000","母公司","267.7500","百萬元營業額",""
"=""1568""","倉佑","16815.0000","僅母公司","14.0600","百萬營業額",""
"=""1582""","信錦","無，無統計相關數據","","無，無統計相關數據","","ISO 9001"
"=""1583""","程泰","40.6200","110/01-110/12","無，無統計相關數據","",""
"=""1587""","吉茂","45949.0000","110年","無，無統計相關數據","",""
"=""1589""","永冠-KY","318277.0000","合併財務報表之子公司","1.5900","產品",""
"=""1590""","亞德客-KY","852140.0000","包含三個生產工廠，已涵蓋集團90%以上的排放量","53.9600","每百萬元產值",""
"=""1597""","直得","36038.0000","母公司","24.9000","每百萬營業額","ISO 14001"
"=""1598""","岱宇","21787.0000","本公司彰化一廠、二廠、五廠、台中辦公室","0.0032","營業額仟元",""
"=""1603""","華電","無，規劃中","","無，規劃中","",""
"=""1604""","聲寶","無，無統計相關數據","","無，無統計相關數據","",""
"=""1605""","華新","16409420.0000","臺灣區：楊梅廠、新莊廠、鹽水廠、臺中廠。 海外區：東莞華新、江陰華新、江陰合金、上海華新、煙台華新、常熟華新、華新精密","12.0000","產品",""
"=""1608""","華榮","41248.0000","涵蓋範圍僅限華榮電線電纜股份有限公司高楠工廠廠區","5.6200","百萬營業額",""
"=""1609""","大亞","106174.0000","大亞電線電纜","7.8000","營業額","ISO 9001"
"=""1611""","中電","4984.0000","工廠","無，無統計相關數據","",""
"=""1612""","宏泰","64843.0000","僅母公司","無，無統計相關數據","","ISO 14001"
"=""1614""","三洋電","59147.0000","母子公司","10.6375","噸/百萬元",""
"=""1615""","大山","9299.0000","母公司","2.0000","產品",""
"=""1616""","億泰","15895.0000","母公司","5.3100","營業額",""
"=""1617""","榮星","無，無統計相關數據","","無，無統計相關數據","",""
"=""1618""","合機","22567.0000","110年1-12月一.二.三廠自來水使用量22567噸","無，無統計相關數據","","ISO 14001"
"=""1626""","艾美特-KY","277845.0000","營運地深圳艾美特+九江艾美特","277845.0000","營業額",""
"=""1702""","南僑","1628537.0000","資訊涵蓋台灣、中國大陸、泰國地區之製造單位及台灣、中國大陸餐飲事業","0.0825","營業額",""
"=""1707""","葡萄王","280430.0000","葡萄王生技、葡眾企業","34.8000","每百萬營收","ISO 14001"
"=""1708""","東鹼","719840.8100","僅母公司","150.1200","百萬營業額",""
"=""1709""","和益","110072.0000","僅母公司林園工廠","16.6700","百萬營業額",""
"=""1710""","東聯","2105620.0000","母公司","0.1430","營業額；單位：公噸/仟元",""
"=""1711""","永光","824460.0000","合併財務報表之生產型廠區","88.5000","百萬元產值","ISO 14001"
"=""1712""","興農","718567.0000","母公司王田廠區(王田廠、王田二廠、生物工廠)","65.7000","植物保護產品佰萬元銷售額",""
"=""1713""","國化","84820.0000","屏南分公司","84820.0000","產品",""
"=""1714""","和桐","17579.0000","高雄仁武廠","0.5800","產品",""
"=""1717""","長興","1227720.0000","包含合併財務報表之母子公司","1.8020","產品(公噸)","ISO 14001"
"=""1718""","中纖","2035579.0000","110年度總用水量","3.5497","營業額573445.0898萬元",""
"=""1720""","生達","147206.0000","生達一廠+生達二廠","5187.0000","營業額",""
"=""1721""","三晃","194928.0000","母公司","7.9400","產品","ISO 14001"
"=""1722""","台肥","39486000.0000","母公司台中廠、苗栗廠、花蓮廠","41.7100","產品",""
"=""1723""","中碳","336000.0000","小港廠+屏南廠","336000.0000","營業額",""
"=""1725""","元禎","1847.0000","母公司","0.2209","百萬元營業額",""
"=""1726""","永記","61190.0000","20210101-20211231","無，無統計相關數據","營業額","ISO 14001"
"=""1727""","中華化","404.1850","桃園一廠、桃園二廠、彰化廠","0.0021","單位：百萬公升/產品",""
"=""1730""","花仙子","18780.0000","母公司","5.9800","營業額",""
"=""1731""","美吾華","23348.0000","台北總公司、台中及高雄服務中心、楊梅工廠及物流中心","無，無統計相關數據","",""
"=""1732""","毛寶","20939.0000","母公司","33.8050","噸CO2e/百萬營收",""
"=""1733""","五鼎","63526.0000","母公司","0.0182","營業額",""
"=""1734""","杏輝","129583.0000","母公司","0.0601","營業額仟元",""
"=""1735""","日勝化","42476.0000","母公司","2.2139","產品",""
"=""1736""","喬山","無，詳年報說明","","無，無統計相關數據","",""
"=""1737""","臺鹽","12125453.0000","臺鹽總公司、妝品廠、保健廠、通霄廠、儲運所、七股鹽場共6場域","58.6490","產品",""
"=""1752""","南光","110107.0000","總公司年度總用水量，含民生用水","6185.7865","營業額",""
"=""1760""","寶齡富錦","21100.0000","寶齡富錦生技股份有限公司平鎮廠","0.0376","每仟元產值",""
"=""1762""","中化生","36103.0000","母公司","0.2000","產品",""
"=""1773""","勝一","344005.0000","母公司","1.5922","產品",""
"=""1776""","展宇","2670.0000","範圍為母公司(第一廠及第二廠)","3.5224","以佰萬元營業額為單位",""
"=""1783""","和康生","14262.0000","合併財務報表之母子公司","無，無統計相關數據","",""
"=""1786""","科妍","32258.0000","母公司","無，無統計相關數據","",""
"=""1789""","神隆","149461.0000","僅母公司，2021年1月~12月","無，無統計相關數據","",""
"=""1795""","美時","74915.0000","母公司及重要子公司生產基地及研發中心","5.9200","百萬元營業額",""
"=""1802""","台玻","1880000.0000","僅母公司","無，無統計相關數據","","ISO 9001"
"=""1805""","寶徠","無，無統計相關數據","","無，無統計相關數據","",""
"=""1806""","冠軍","127125.0000","自來水","0.0126","產品",""
"=""1808""","潤隆","227.0000","僅本公司台北辦公室","無，無統計相關數據","",""
"=""1809""","中釉","22309.0000","僅母公司","無，尚未導入ISO 46001:2019","",""
"=""1810""","和成","225715.0000","母公司","62.2834","營業額","ISO 14001"
"=""1817""","凱撒衛","347.0000","母公司","2.1600","百萬營業額",""
"=""1903""","士紙","無，依規定本公司屬資本額50億元以下之公司別，應於第三階段完成溫室氣體盤查(115年)，本公司預計於112年啟動執行。","","無，依規定本公司屬資本額50億元以下之公司別，應於第三階段完成溫室氣體盤查(115年)，本公司預計於112年啟動執行。","",""
"=""1904""","正隆","410532.0000","母公司","8.8800","千公升/噸 (工業用紙產量)",""
"=""1905""","華紙","23826828.0000","華紙台灣四個生產據點","19.0000","產品",""
"=""1906""","寶隆","無，無統計相關數據","","無，無統計相關數據","",""
"=""1907""","永豐餘","45556301.0000","永豐餘年報所稱三大事業群（林漿紙事業群、工紙紙器事業群、消費品事業群）之台灣、大陸、越南三地共合計共35個生產據點。","9.9300","產品","ISO 14001"
"=""1909""","榮成","4029050.0000","僅母公司","3.7700","產品",""
"=""2002""","中鋼","44047000.0000","母公司","4.3200","產品","ISO 9001"
"=""2006""","東和鋼鐵","2205048.0000","母公司","1.0460","鋼胚產量","ISO 14001"
"=""2007""","燁興","117576.0000","本公司","無，無統計相關數據","",""
"=""2008""","高興昌","32845.0000","110年度屏南廠區","0.9200","產品",""
"=""2009""","第一銅","201180.0000","僅計算第一伸銅科技股份有限公司臨海廠","1.1884","產品",""
"=""2010""","春源","87162.0000","台灣總公司及北中南各生產營運據點。","0.1091","產品","ISO 14001"
"=""2012""","春雨","207.4800","母公司","347.0000","百萬營業額","ISO 14001"
"=""2013""","中鋼構","38265.0000","高雄廠區、官田廠區","無，無統計相關數據","",""
"=""2014""","中鴻","1327310.0000","母公司","0.4650","產品",""
"=""2015""","豐興","1970532.0000","僅母公司","1.0800","產品","ISO 14001"
"=""2017""","官田鋼","117032.0000","總管理處、永康廠、麻豆廠、官田廠","1.6000","產品",""
"=""2020""","美亞","22302.0000","110年度廢水排放量","無，無統計相關數據","","ISO 14001"
"=""2022""","聚亨","37770.0000","母公司","無，無統計相關數據","",""
"=""2023""","燁輝","379642.0000","2021全年度","0.3300","產量(公噸)",""
"=""2024""","志聯","207953.0000","自來水+地下水","無，無統計相關數據","",""
"=""2025""","千興","45948.0000","僅母公司","0.0186","營業額",""
"=""2027""","大成鋼","87279.0000","僅母公司","0.0057","營業額(百萬公升/百萬元)","ISO 14001"
"=""2028""","威致","610775.0000","個別公司","無，無統計相關數據","",""
"=""2029""","盛餘","488144.0000","2021年績效月報","0.3670","產品",""
"=""2030""","彰源","112416.0000","一廠、二廠、三廠、大連廠","112416.0000","營業額",""
"=""2031""","新光鋼","23333.0000","母公司","1.7400","百萬營業額",""
"=""2032""","新鋼","無，無統計相關數據","","無，無統計相關數據","",""
"=""2033""","佳大","無，無統計相關數據","","無，無統計相關數據","",""
"=""2034""","允強","116314.0000","僅母公司","0.6200","產品","ISO 9001"
"=""2038""","海光","80930.0000","自來水費","無，無統計相關數據","",""
"=""2049""","上銀","832904.0000","涵蓋營運據點13廠區，100%營運控制權","36.2037","百萬營業額",""
"=""2059""","川湖","54093.0000","母公司","14.5100","平方公尺產品表面積",""
"=""2062""","橋椿","135527.0000","母公司","0.0370","產量",""
"=""2069""","運錩","9851.0000","僅母公司所有廠區","無，無統計相關數據","",""
"=""2101""","南港","141482.0000","110年總廢水量","4.1330","產品",""
"=""2102""","泰豐","98268.0000","僅母公司","13.3500","每噸產品",""
"=""2103""","台橡","5835000.0000","合併財務報表之生產營運母子公司","10.3800","公噸","ISO 14001"
"=""2104""","國際中橡","1256573.0000","國際中橡100%持有之子公司林園先進。","14.0000","產品","ISO 14001"
"=""2105""","正新","1079686.0000","母公司","7.4400","產品",""
"=""2106""","建大","334829.0000","台灣地區","7.2400","產品","ISO 14001"
"=""2107""","厚生","無，無統計相關數據","","無，無統計相關數據","",""
"=""2108""","南帝","403216.0000","母公司","無，無統計相關數據","",""
"=""2109""","華豐","","","","",""
"=""2114""","鑫永銓","10874.0000","母公司","無，無統計相關數據","",""
"=""2115""","六暉-KY","無，無統計相關數據","","無，無統計相關數據","",""
"=""2201""","裕隆","332346.0000","裕隆汽車製造(股)公司三義廠區","10.9000","產品",""
"=""2204""","中華","212954.0000","占營運範圍比率100%","4.2600","產品","ISO 14001"
"=""2206""","三陽工業","472862.0000","三陽工業股份有限公司新竹廠","319198.0000","產品",""
"=""2207""","和泰車","18.2530","母公司","32.4000","人",""
"=""2208""","台船","462088.0000","台船高雄廠和基隆廠彙計","462088.0000","營業額17,852,881仟元",""
"=""2211""","長榮鋼","57272.0000","僅母公司","4.9300","百萬營業額",""
"=""2227""","裕日車","1530.0000","母公司","4.0800","每年人均用水輛 (公噸-水 /人)",""
"=""2228""","劍麟","無，無統計相關數據","","無，無統計相關數據","",""
"=""2231""","為升","1006.5000","為升電裝工業(股)公司2021/01~2022/05用水量","無，無統計相關數據","",""
"=""2233""","宇隆","14826.0000","110/1/1-110/12/31","無，只有總體水費單無細項","",""
"=""2236""","百達-KY","22250.7100","包含合併財務報表之母子公司","0.0000","營業額",""
"=""2239""","英利-KY","無，無統計相關數據","","無，無統計相關數據","",""
"=""2241""","艾姆勒","105781.0000","母公司","0.0629","產品",""
"=""2243""","宏旭-KY","無，無統計相關數據","","無，無統計相關數據","",""
"=""2247""","汎德永業","79902.5500","合併財務報表","0.0019","營業額(千元)",""
"=""2250""","IKKA-KY","無，無統計相關數據","","無，無統計相關數據","",""
"=""2301""","光寶科","2539346.0000","包含母公司與合併財報之部分子公司 光寶科技股份有限公司、光林智能科技股份有限公司、光寶電子(天津)有限公司、光寶網絡通訊(東莞)有限公司、光寶光電(常州)有限公司、光寶科技(常州)有限公司、光寶電子(東莞)有限公司、旭麗電子(東莞)有限公司、惠州市力信電子有限公司、光寶電子(廣州)有限公司、建興光電科技(北海)有限公司、敦揚(廣州)汽車電子有限公司、LITE-ON VIETNAM CO., LTD.、Lite-On Electronics (Thailand) Co., Ltd.、LITE-ON POWER ELECTRONIC INDIA PRIVATE LIMITED","17.3200","百萬營收","ISO 14001"
"=""2302""","麗正","13792.0000","母子公司","63.3200","產品",""
"=""2303""","聯電","16213000.0000","僅母公司(含新加坡分公司)","66.5400","wafer-m2","ISO 14001"
"=""2305""","全友","11000.0000","母公司","無，無統計相關數據","",""
"=""2308""","台達電","4160237.8900","母公司及子公司之生產廠區","415.5700","產值(單位：百萬美金)","ISO 14001"
"=""2312""","金寶","335000.0000","母公司","65.1100","營業額",""
"=""2313""","華通","3016000.0000","110年度","0.2200","產品",""
"=""2314""","台揚","42.3000","母公司","0.0640","員工人數","ISO 14001"
"=""2316""","楠梓電","1674706.0000","僅母公司","0.6600","產品",""
"=""2317""","鴻海","87706000.0000","依2021年永續報告書邊界","14.6000","百萬新台幣營業額",""
"=""2321""","東訊","20701.0000","自來水公司提供 110.01~110.12","129.3800","僅有民生用水，約160人",""
"=""2323""","中環","578000.0000","僅母公司生產廠區","0.8100","員工人數",""
"=""2324""","仁寶","2683948.0000","母公司、仁寶(越南)、仁寶電腦(重慶)、仁寶電腦(成都)及仁寶視訊電子(昆山)、仁寶電子科技(昆山)、仁寶資訊工業(昆山)、仁寶信息技術(昆山)、仁寶數碼科技（昆山）、吉寶通訊（南京）、重慶翊寶智慧電子裝置及Compalead Eletr&#244;nica do Brasil Ind&#250;stria e Com&#233;rcio","2.1700","營業額;單位為新台幣百萬元",""
"=""2327""","國巨","362099.0000","母公司","9.0000","百萬營業額",""
"=""2328""","廣宇","5512.0000","母公司","0.0004","百萬營業額",""
"=""2329""","華泰","1478550.0000","2021.01.01-2021.12.31","0.0001","營業額",""
"=""2330""","台積電","82823740.0000","台灣廠區及子公司","119.9000","單位產品用水量（公升／十二吋晶圓當量－光罩數）","ISO 14001"
"=""2331""","精英","329789.0000","用水量涵蓋精英電腦股份有限公司、興英數位科技(深圳)有限公司、精英電腦(蘇州工業園區)有限公司、與精英科技(泰國)股份有限公司。","18.1360","2021年 精英電腦總部大樓人均年用水量  18.136 公噸/  人.年；TPE 13,802公噸/761人=18.136",""
"=""2332""","友訊","11560.0000","僅母公司大樓","19.0131","員工人數",""
"=""2337""","旺宏","2886898.0000","僅母公司","57.0800","年度總營收(百萬元)",""
"=""2338""","光罩","15349.0000","僅母公司","2.3900","產品",""
"=""2340""","台亞","1392952.0000","創新廠及力行廠","276.0000","佰萬元營業額","ISO 14001"
"=""2342""","茂矽","583235.0000","僅母公司","52.5600","產品",""
"=""2344""","華邦電","3292825.0000","母公司","0.1310","噸/layer(層-晶圓光罩)","ISO 14001"
"=""2345""","智邦","51982.0000","僅母公司","1.0540","百萬元營業額",""
"=""2347""","聯強","21696.0000","聯強台灣與合併財務報表之子公司通達智能運籌","18.2300","員工人數",""
"=""2348""","海悅","無，無統計相關數據","","無，無統計相關數據","",""
"=""2349""","錸德","91541.0000","僅母公司","0.0330","營業額",""
"=""2351""","順德","1382382.0000","母公司","1232440.0000","產品",""
"=""2352""","佳世達","517562.0000","佳世達台灣/蘇州/越南廠區","106.3300","營業額",""
"=""2353""","宏碁","164324.0000","包含合併財務報表之母子公司","0.5200","百萬營業額",""
"=""2354""","鴻準","1903.0000","鴻準集團主要廠區","0.0000","營業額","ISO 9001"
"=""2355""","敬鵬","3873.9600","母公司+ 子公司 敬鵬(常熟)電子有限公司","153.1300","營業額",""
"=""2356""","英業達","1081588.0000","""英業達股份有限公司Inventec Corporation (士林廠 Shilin site(IET)、桃園廠 Taoyuan site(TAO)、桃園廠 Taoyuan site(ITO))、 英業達(重慶)有限公司Inventec (Chongqing) Corporation (ICC)、 英業達科技有限公司Inventec (Pudong) Technology Corporation (IPT)、 上海順詮科技有限公司SQ Technology (Shanghai) Corporation (SQT)、 Inventec (Czech) S.R.O. (ICZ)、 IEC Technologies, S . de R. L. de C. V. (IMX)","245273.0000","千億營業額",""
"=""2357""","華碩","142443.0000","華碩全台辦公室(皇家除外)","22.0000","公噸/平均每人/年",""
"=""2359""","所羅門","無，無統計相關數據","","無，無統計相關數據","",""
"=""2360""","致茂","83835.8000","僅母公司","0.0048","營業額(仟元)",""
"=""2362""","藍天","25777.0000","母公司","無，無統計相關數據","",""
"=""2363""","矽統","23228.0000","水費繳費單","無，無統計相關數據","",""
"=""2364""","倫飛","6038.0000","母公司","無，無統計相關數據","",""
"=""2365""","昆盈","無，無統計相關數據","","無，無統計相關數據","",""
"=""2367""","燿華","2070450.0000","僅母公司","0.6100","產量",""
"=""2368""","金像電","7433736.0000","合併財務報表之母子公司","279.0000","百萬元營業額",""
