"公司代號","公司名稱","英文簡稱","申報原因","產業類別","報告書內容涵蓋期間","編製依循準則","第三方驗證單位","第三方採用標準","會計師確信驗證單位","會計師確信採用標準","永續報告書網址","永續報告書檔案","上傳日期","修正後報告書","修正後報告書上傳日期","永續報告書英文版網址","永續報告書英文版檔案","英文版上傳日期","英文版修正後報告書","英文版修正後報告書上傳日期","報告書聯絡資訊","備註"
"1220","台榮","TAIROUN","1. 屬食品工業者","食品工業","2021/01/01~2021/12/31","1. GRI Standards GRI 準則","會計師事務所：","1.確信準則公報第一號","立本台灣聯合會計師事務所","","http://www.tairoun.com.tw/pdf/responsibility/tairoun2021%E5%B9%B4%E6%B0%B8%E7%BA%8C%E5%A0%B1%E5%91%8A%E6%9B%B8.pdf","","2022/09/23","","","                                                                                                                                                                                                        ","","","","","csr@tairoun.com.tw                                                                                                      ",""
"1225","福懋油","FOPCO","1. 屬食品工業者","食品工業","2021/01/01~2021/12/31","1. GRI Standards GRI 準則","會計師事務所：","1.確信準則公報第一號","勤業眾信聯合會計師事務所","","http//www.fopco.com.tw","","2022/06/30","","","                                                                                                                                                                                                        ","","","","","matt.kuo@fopco.com.tw                                                                                                   ",""
"1227","佳格","S.F.C","","食品工業","2021/01/01~2021/12/31","1. GRI Standards GRI 準則","會計師事務所：","1.確信準則公報第一號","勤業眾信聯合會計師事務所","","https://www.sfworldwide.com/sustainability-reports.html","","2022/09/20","","","https://www.sfworldwide.com/sustainability-reports.html                                                                                                                                                 ","","2022/10/17","","","verenashih@sfworldwide.com                                                                                              ",""
"1229","聯華","LHIHC","","食品工業","2021/01/01~2021/12/31","1. GRI Standards GRI 準則","會計師事務所：","1.確信準則公報第一號","安侯建業聯合會計師事務所","","https://www.lhicholdings.com/csr/report/","","2022/09/05","","","https://www.lhicholdings.com/en/csr/report/                                                                                                                                                             ","","2022/12/20","","","csr@lhic.com.tw                                                                                                         ",""
"1231","聯華食","Lian Hwa Foods","1. 屬食品工業者","食品工業","2021/01/01~2021/12/31","1. GRI Standards GRI 準則","會計師事務所：","1.確信準則公報第一號","勤業眾信聯合會計師事務所","","http://file_name_2738.pdf (lianhwa.com.tw)","","2022/09/30","","","                                                                                                                                                                                                        ","","","","","pennyw@lianhwa.com.tw                                                                                                   ",""
"1232","大統益","TTET","1. 屬食品工業者","食品工業","2021/01/01~2021/12/31","1. GRI Standards GRI 準則","會計師事務所：","1.確信準則公報第一號","資誠聯合會計師事務所","","https://www.ttet.com.tw/index.php?option=module&lang=cht&task=showlist&id=17&index=6","","2022/08/12","","","                                                                                                                                                                                                        ","","","","","ttet@mail.ttet.com.tw                                                                                                   ",""
"1233","天仁","Ten Ren","1. 屬食品工業者","食品工業","2021/01/01~2021/12/31","1. GRI Standards GRI 準則","會計師事務所：","1.確信準則公報第一號","安永聯合會計師事務所","","https://www.tenren.com.tw/Content/Downloads/List.aspx?SiteID=10&MmmID=654047254431755517","","2022/08/18","","","                                                                                                                                                                                                        ","","","","","joy66888.wang@gmail.com                                                                                                 ","無"
"1234","黑松","HEY SONG","1. 屬食品工業者","食品工業","2021/01/01~2021/12/31","1. GRI Standards GRI 準則","會計師事務所：","1.確信準則公報第一號","勤業眾信聯合會計師事務所","","https://www.heysong.com.tw/corporate-social-responsibility/csrreport","","2022/08/09","","","https://en.heysong.com.tw/corporate-social-responsibility/sustainability-report/                                                                                                                        ","","2022/11/03","","","http://www.heysong.com.tw/Contact                                                                                       ",""
"1235","興泰","ST","1. 屬食品工業者","食品工業","2021/01/01~2021/12/31","1. GRI Standards GRI 準則","會計師事務所：","1.確信準則公報第一號","群智聯合會計師事務所","","http://www.goldenbrand.com.tw","","2022/09/30","","","                                                                                                                                                                                                        ","","","","","queena_tai@godknow.tech                                                                                                 ",""
"1236","宏亞","Hunya","1. 屬食品工業者","食品工業","2021/01/01~2021/12/31","1. GRI Standards GRI 準則","會計師事務所：","1.確信準則公報第一號","安永聯合會計師事務所","","https://www.hunya.com.tw/","","2022/09/02","","","https://csr.hunya.com.tw/en/download.php                                                                                                                                                                ","","2022/12/02","","","charleshus@hunya.com.tw                                                                                                 ",""
"1256","鮮活果汁-KY","Sunjuice","1. 屬食品工業者","食品工業","2021/01/01~2021/12/31","1. GRI Standards GRI 準則","會計師事務所：","1.確信準則公報第一號","勤業眾信聯合會計師事務所","","http://www.myfreshjuice.com/list/?162_1.html","","2022/09/30","","","                                                                                                                                                                                                        ","","","","","CSR@sunjuice.com.cn                                                                                                     ",""
"1301","台塑","FPC","5. 股本達新臺幣一百億元以上者","塑膠工業","2021/01/01~2021/12/31","1. GRI Standards GRI 準則","其他查驗證單位：","1. AA1000 第1類型(Type1 ) 中度保證","英國標準協會(BSI)","","http://csr.fpc.com.tw/FPC_CSR/csr_download.aspx","","2022/06/29","","","http://csr.fpc.com.tw/FPC_CSR/csr_download.aspx                                                                                                                                                         ","","2022/09/30","","","fpccsr@fpc.com.tw                                                                                                       ",""
"1303","南亞","NPC","5. 股本達新臺幣一百億元以上者","塑膠工業","2021/01/01~2021/12/31","1. GRI Standards GRI 準則","其他查驗證單位：","1. AA1000 第1類型(Type1 ) 中度保證","英國標準協會(BSI)","","https://www.npc.com.tw/j2npc/zhtw/csr_report.jsp","","2022/06/30","","","https://www.npc.com.tw/j2npc/zhtw/csr_report.jsp                                                                                                                                                        ","","2022/12/23","","","NPC_ESG@npc.com.tw                                                                                                      ",""
"1304","台聚","USI","5. 股本達新臺幣一百億元以上者","塑膠工業","2021/01/01~2021/12/31","1. GRI Standards GRI 準則","其他查驗證單位：","1. AA1000 第1類型(Type1 ) 中度保證","英國標準協會台灣分公司 (BSI Taiwan )","","http://www.usife.com/ESG/zh-tw/ESG72.aspx","","2022/06/29","","","http://www.usife.com/ESG/en-us/ESG72.aspx                                                                                                                                                               ","","2022/10/27","","","Cally@usig.com                                                                                                          ",""
"1305","華夏","CGPC","5. 股本達新臺幣一百億元以上者","塑膠工業","2021/01/01~2021/12/31","1. GRI Standards GRI 準則","其他查驗證單位：","1. AA1000 第1類型(Type1 ) 中度保證","英國標準協會（British Standards Institution，BSI）","","https://www.cgpc.com.tw/ESG/tw/ESG-Report.aspx","","2022/06/29","","2022/09/05","https://www.cgpc.com.tw/en-us/dirESG/ESG-Report.aspx                                                                                                                                                    ","","2022/09/05","","","jessicachen@cgpc.com.tw                                                                                                 ","本報告書不含海外子公司，部份資料回溯至110年之前及111年之內容與績效。"
"1308","亞聚","APC","5. 股本達新臺幣一百億元以上者","塑膠工業","2021/01/01~2021/12/31","1. GRI Standards GRI 準則","其他查驗證單位：","1. AA1000 第1類型(Type1 ) 中度保證","BSI","","https://www.apc.com.tw/CSR/zh-tw/CSR82.aspx","","2022/06/21","","2022/06/21","                                                                                                                                                                                                        ","","","","","herochen@usig.com                                                                                                       ",""
"1309","台達化","TTC","6. 股本達新臺幣五十億元以上者，但未達新臺幣一百億元以上者","塑膠工業","2021/01/01~2021/12/31","1. GRI Standards GRI 準則","其他查驗證單位：","1. AA1000 第1類型(Type1 ) 中度保證","BSI英國標準協會台灣分公司","","https://www.ttc.com.tw/zh-tw/dirCSRnew/frmReport.aspx","","2022/08/04","","","                                                                                                                                                                                                        ","","","","","leeclong@usig.com                                                                                                       ",""
"1310","台苯","T.S.M.C.","5. 股本達新臺幣一百億元以上者","塑膠工業","2021/01/01~2021/12/31","1. GRI Standards GRI 準則","無","無資料","N/A","","https://www.smct.com.tw/Responsibility/responsibility","","2022/06/17","","2022/06/17","                                                                                                                                                                                                        ","","","","","adam@mail.smct.com.tw                                                                                                   ",""
"1312","國喬","GPPC","5. 股本達新臺幣一百億元以上者","塑膠工業","2021/01/01~2021/12/31","1. GRI Standards GRI 準則","其他查驗證單位：","3. AA1000 第2類型(Type2 ) 中度保證","TUV NORD","","https://www.gppc.com.tw/","","2022/06/28","","","https://www.gppc.com.tw/                                                                                                                                                                                ","","2022/06/28","","","popeye@gppc.com.tw                                                                                                      ",""
"1313","聯成","UPC","5. 股本達新臺幣一百億元以上者","塑膠工業","2021/01/01~2021/12/31","1. GRI Standards GRI 準則","其他查驗證單位：","1. AA1000 第1類型(Type1 ) 中度保證","英國標準協會(BSI)","","https://www.upc.com.tw/zh-TW/esg_reports","","2022/06/29","","","                                                                                                                                                                                                        ","","","","","esg@upc.com.tw                                                                                                          ",""
"1314","中石化","CPDC","5. 股本達新臺幣一百億元以上者","塑膠工業","2021/01/01~2021/12/31","1. GRI Standards GRI 準則","其他查驗證單位：","4. AA1000 第2類型(Type2 ) 高度保證","英國標準協會bsi","","https://www.cpdc.com.tw/tw/csr_pdf","","2022/06/30","","","https://www.cpdc.com.tw/en/csr_pdf                                                                                                                                                                      ","","2022/11/23","","","CSR@cpdc.com.tw,venessachi@cpdc.com.tw                                                                                  ",""
"1316","上曜","SUN  YAD","6. 股本達新臺幣五十億元以上者，但未達新臺幣一百億元以上者","建材營造","2021/01/01~2021/12/31","1. GRI Standards GRI 準則","無","無資料","N/A","","http://www.sunyad.com.tw/responsibility.asp","","2022/05/31","","2022/05/31","                                                                                                                                                                                                        ","","","","","sunyad_101@yahoo.com.tw                                                                                                 ",""
"1319","東陽","OTN","5. 股本達新臺幣一百億元以上者","汽車工業","2021/01/01~2021/12/31","1. GRI Standards GRI 準則","無","無資料","N/A","","http://www.tyg.com.tw","","2022/06/30","","","http://www.tyg.com.tw                                                                                                                                                                                   ","","2022/07/27","","","15787@tyg.com.tw                                                                                                        ",""
"1321","大洋","OPC","6. 股本達新臺幣五十億元以上者，但未達新臺幣一百億元以上者","塑膠工業","2021/01/01~2021/12/31","1. GRI Standards GRI 準則","其他查驗證單位：","1. AA1000 第1類型(Type1 ) 中度保證","格瑞國際驗證有限公司","","https://www.opc.com.tw/zh-tw/news-48818/%E5%A4%A7%E6%B4%8B%E5%A1%91%E8%86%A0%E9%A6%96%E6%AC%A1%E7%99%BC%E8%A1%8C%E3%80%8C2021%E5%B9%B4ESG%E6%B0%B8%E7%BA%8C%E5%A0%B1%E5%91%8A%E6%9B%B8%E3%80%8D.html","","2022/06/29","","","                                                                                                                                                                                                        ","","","","","webmaster@opc.com.tw                                                                                                    ",""
"1323","永裕","YONYU","6. 股本達新臺幣五十億元以上者，但未達新臺幣一百億元以上者","塑膠工業","2021/01/01~2021/12/31","1. GRI Standards GRI 準則","無","無資料","N/A","","https://www.yonyu.com.tw/yonyu/esg.php","","2022/09/27","","","                                                                                                                                                                                                        ","","","","","hch2470@yonyu.com.tw                                                                                                    ",""
"1326","台化","FCFC","5. 股本達新臺幣一百億元以上者","塑膠工業","2021/01/01~2021/12/31","1. GRI Standards GRI 準則","其他查驗證單位：","1. AA1000 第1類型(Type1 ) 中度保證","英國標準協會","","https://www.fcfc.com.tw/data-22345","","2022/06/30","","","https://www.fcfc.com.tw/data-22345                                                                                                                                                                      ","","2022/11/01","","","management@fcfc.com.tw                                                                                                  ",""
"1338","廣華-KY","Hiroca","6. 股本達新臺幣五十億元以上者，但未達新臺幣一百億元以上者","汽車工業","2021/01/01~2021/12/31","1. GRI Standards GRI 準則","無","無資料","N/A","","http://www.hirosawa.com.cn/","","2022/09/30","","","                                                                                                                                                                                                        ","","","","","joey@hirosawa.com.cn                                                                                                    ",""
"1402","遠東新","FENC","5. 股本達新臺幣一百億元以上者","紡織纖維","2021/01/01~2021/12/31","2. OTHERS其他依循標準：GRI 準則、永續會計準則委員會（SASB）化學行業指標及氣候相關財務揭露（TCFD）","其他查驗證單位：","1. AA1000 第1類型(Type1 ) 中度保證","台灣檢驗科技股份有限公司(SGS)","","https://csr.fenc.com/report-download?lang=zh","","2022/06/29","","","https://csr.fenc.com/report-download?lang=en                                                                                                                                                            ","","2022/08/10","","","csr@fenc.com                                                                                                            ",""
"1409","新纖","SSFC","5. 股本達新臺幣一百億元以上者","紡織纖維","2021/01/01~2021/12/31","1. GRI Standards GRI 準則","其他查驗證單位：","1. AA1000 第1類型(Type1 ) 中度保證","BSI Taiwan","","http://www.shinkong.com.tw/front/investors","","2022/06/28","","","                                                                                                                                                                                                        ","","","","","corp_pd@shinkong.com.tw                                                                                                 ",""
"1413","宏洲","H.C.","6. 股本達新臺幣五十億元以上者，但未達新臺幣一百億元以上者","紡織纖維","2021/01/01~2021/12/31","1. GRI Standards GRI 準則","無","無資料","N/A","","http:\\www.hungchou.com.tw","","2022/06/07","","2022/06/07","                                                                                                                                                                                                        ","","","","","albert@yijinn.com.tw                                                                                                    ",""
"1434","福懋","F.T.C","5. 股本達新臺幣一百億元以上者","紡織纖維","2021/01/01~2021/12/31","1. GRI Standards GRI 準則","其他查驗證單位：","1. AA1000 第1類型(Type1 ) 中度保證","台灣檢驗科技股份有限公司 (SGS Taiwan)","","http://www.ftc.com.tw/newftc/respons_report.php","","2022/06/28","","","http://www.ftc.com.tw/newftc/en/respons_report.php                                                                                                                                                      ","","2022/12/20","","","t113001@ftc.com.tw                                                                                                      ","包含部分111年資訊。"
"1440","南紡","TAINAN SPINNING","5. 股本達新臺幣一百億元以上者","紡織纖維","2021/01/01~2021/12/31","1. GRI Standards GRI 準則","無","無資料","N/A","","http://www.tainanspin.com.tw/","","2022/06/22","","2022/06/22","https://www.tainanspin.com.tw/index.php?temp=csr&lang=en                                                                                                                                                ","","2022/10/05","","","CSR@tainanspin.com.tw                                                                                                   ",""
"1444","力麗","LEALEA","5. 股本達新臺幣一百億元以上者","紡織纖維","2021/01/01~2021/12/31","1. GRI Standards GRI 準則","無","無資料","N/A","","https://www.lealeagroup.com.tw/project-detail/ll22/","","2022/06/30","","","                                                                                                                                                                                                        ","","","","","hung0612@lipeng.com.tw                                                                                                  ",""
"1447","力鵬","LP","5. 股本達新臺幣一百億元以上者","紡織纖維","2021/01/01~2021/12/31","1. GRI Standards GRI 準則","無","無資料","N/A","","https://www.lealeagroup.com.tw/project-detail/lp22/","","2022/06/30","","","                                                                                                                                                                                                        ","","","","","kenny110@lealea.com.tw                                                                                                  ",""
"1455","集盛","ZIG SHENG","5. 股本達新臺幣一百億元以上者","紡織纖維","2021/01/01~2021/12/31","1. GRI Standards GRI 準則","其他查驗證單位：","1. AA1000 第1類型(Type1 ) 中度保證","英國標準協會台灣分公司（BSI Taiwan）","","http://www.zigsheng.com/corporate-social-responsibility-zh/historical-corporate-social-responsibility-reports-zh/","","2022/06/27","","","http://www.zigsheng.com/en/csr/past-csr-reports/                                                                                                                                                        ","","2022/10/27","","","CSR@zigsheng.com                                                                                                        ","無"
"1457","宜進","YI JINN","6. 股本達新臺幣五十億元以上者，但未達新臺幣一百億元以上者","紡織纖維","2021/01/01~2021/12/31","1. GRI Standards GRI 準則","無","無資料","N/A","","http:\\www.yijinn.com.tw","","2022/06/07","","2022/06/07","                                                                                                                                                                                                        ","","","","","albert@yijinn.com.tw                                                                                                    ",""
"1460","宏遠","EVEREST","5. 股本達新臺幣一百億元以上者","紡織纖維","2021/01/01~2021/12/31","1. GRI Standards GRI 準則","其他查驗證單位：","1. AA1000 第1類型(Type1 ) 中度保證","台灣科技檢驗股份有限公司","","https://ms.everest.com.tw/df/k3j8n27pjd8g1w6fn28whfmt7y97fk","","2022/06/30","","","https://ms.everest.com.tw/df/zjyh5lludu2slwhuxa6wjslchj8kfu                                                                                                                                             ","","2022/10/21","","","taih.chen@everest.com.tw                                                                                                ","無"
"1466","聚隆","Acelon","6. 股本達新臺幣五十億元以上者，但未達新臺幣一百億元以上者","紡織纖維","2021/01/01~2021/12/31","1. GRI Standards GRI 準則","其他查驗證單位：","1. AA1000 第1類型(Type1 ) 中度保證","BSI","","https://www.acelon.com.tw/zh-tw/csr-cate-first/75bec572214c0edf75535683d4cf5b0a","","2022/08/11","","","                                                                                                                                                                                                        ","","","","","peter@acelon.com.tw                                                                                                     ",""
"1467","南緯","TEX-RAY","6. 股本達新臺幣五十億元以上者，但未達新臺幣一百億元以上者","紡織纖維","2021/01/01~2021/12/31","1. GRI Standards GRI 準則","無","無資料","N/A","","http://www.texray.com","","2022/09/30","","","                                                                                                                                                                                                        ","","","","","tr-hq@texray.com                                                                                                        ","無"
"1473","台南","TAINAN","6. 股本達新臺幣五十億元以上者，但未達新臺幣一百億元以上者","紡織纖維","2021/01/01~2021/12/31","1. GRI Standards GRI 準則","無","無資料","N/A","","https://www.eng.tai-nan.com/sustainability-report?lang=zh","","2022/09/30","","","https://www.eng.tai-nan.com/sustainability-report?lang=zh                                                                                                                                               ","","2022/12/23","","","SQ@tai-nan.com                                                                                                          ","無"
"1476","儒鴻","ECLAT","6. 股本達新臺幣五十億元以上者，但未達新臺幣一百億元以上者","紡織纖維","2021/01/01~2021/12/31","1. GRI Standards GRI 準則","會計師事務所：","1.確信準則公報第一號","安永聯合會計師事務所","","http://www.eclat.com.tw/Uploads/article/MKWKmj1NKqyUM4YNhuwth9ftKg12nYcQ_F3VxuInva9EUdqJ.pdf","","2022/09/27","","","https://www.eclat.com.tw/Uploads/article/MKWKmj1NKqyUM4YNhuwth9ftKg12nYcQ_5Qri2SRQMqdRZXV.pdf                                                                                                           ","","2022/12/26","","","paul.chiang@eclat.com.tw                                                                                                ",""
"1477","聚陽","Makalot","6. 股本達新臺幣五十億元以上者，但未達新臺幣一百億元以上者","紡織纖維","2021/01/01~2021/12/31","1. GRI Standards GRI 準則","會計師事務所：","1.確信準則公報第一號","安侯建業聯合會計師事務所","","https://www.makalot.com.tw/esg/sustainability-report","","2022/09/21","","","https://www.makalot.com.tw/esg/sustainability-report                                                                                                                                                    ","","2022/09/21","","","TinaLee@makalot.com.tw;mengyinghong@makalot.com.tw                                                                      ",""
"1503","士電","SEEC","5. 股本達新臺幣一百億元以上者","電機機械","2021/01/01~2021/12/31","1. GRI Standards GRI 準則","其他查驗證單位：","1. AA1000 第1類型(Type1 ) 中度保證","英國標準協會(BSI)","","https://www.seec.com.tw/Content/Downloads/List01.aspx?SiteID=10&MmmID=744733351225613026","","2022/06/29","","","https://en.seec.com.tw/Content/Downloads/List.aspx?SiteID=30&MmmID=1130212025014175315                                                                                                                  ","","2022/08/25","","","weifang@seec.com.tw                                                                                                     ",""
"1504","東元","TECO","5. 股本達新臺幣一百億元以上者","電機機械","2021/01/01~2021/12/31","1. GRI Standards GRI 準則","其他查驗證單位：","1. AA1000 第1類型(Type1 ) 中度保證","BSI","","https://www.teco.com.tw/CSR","","2022/06/29","","","https://www.teco.com.tw/csr/eng/download1.aspx                                                                                                                                                          ","","2023/01/10","","","csr@teco.com.tw                                                                                                         ",""
"1513","中興電","CHEM","6. 股本達新臺幣五十億元以上者，但未達新臺幣一百億元以上者","電機機械","2021/01/01~2021/12/31","1. GRI Standards GRI 準則","無","無資料","N/A","","https://www.chem.com.tw/tc/organization.aspx?PKey=1098","","2022/08/17","","","https://www.chem.com.tw/en/organization.aspx?PKey=1101                                                                                                                                                  ","","2022/12/22","","","tw006466@chem.com.tw                                                                                                    ","無"
"1522","堤維西","TYC","6. 股本達新臺幣五十億元以上者，但未達新臺幣一百億元以上者","汽車工業","2021/01/01~2021/12/31","1. GRI Standards GRI 準則","無","無資料","N/A","","http://www.tyc.com.tw","","2022/12/07","","","                                                                                                                                                                                                        ","","","","","CSR_TYC@tyc.com.tw                                                                                                      ",""
"1525","江申","KSC","6. 股本達新臺幣五十億元以上者，但未達新臺幣一百億元以上者","汽車工業","2021/01/01~2021/12/31","1. GRI Standards GRI 準則","無","無資料","N/A","","https://www.kian-shen.com/csr-3.php","","2022/06/28","","","                                                                                                                                                                                                        ","","","","","jody.ciou@kian-shen.com                                                                                                 ",""
"1526","日馳","SUNRACE","6. 股本達新臺幣五十億元以上者，但未達新臺幣一百億元以上者","電機機械","2021/01/01~2021/12/31","1. GRI Standards GRI 準則","無","無資料","N/A","","http://www.sunrace.tw","","2022/06/23","","2022/06/23","                                                                                                                                                                                                        ","","","","","meilian.zhu@sunrace.com                                                                                                 ","無"
"1532","勤美","CMP","6. 股本達新臺幣五十億元以上者，但未達新臺幣一百億元以上者","電機機械","2021/01/01~2021/12/31","1. GRI Standards GRI 準則","其他查驗證單位：","1. AA1000 第1類型(Type1 ) 中度保證","BSI英國標準協會","","http://www.cmp.com.tw/cht/csr/download","","2022/06/24","","2022/07/29","http://www.cmp.com.tw/en/csr/download                                                                                                                                                                   ","","2022/07/29","","","ashley.yang@cmp.com.tw                                                                                                  ",""
"1533","車王電","MORE","6. 股本達新臺幣五十億元以上者，但未達新臺幣一百億元以上者","汽車工業","2021/01/01~2021/12/31","1. GRI Standards GRI 準則","其他查驗證單位：","1. AA1000 第1類型(Type1 ) 中度保證","英國標準協會（BSI）台灣分公司","","http://www.more.com.tw","","2022/07/27","","","                                                                                                                                                                                                        ","","","","","mobiletron.csr@more.com.tw                                                                                              ",""
"1535","中宇","CEC","6. 股本達新臺幣五十億元以上者，但未達新臺幣一百億元以上者","電機機械","2021/01/01~2021/12/31","1. GRI Standards GRI 準則","其他查驗證單位：","5.其他","英國標準協會(BSI)","","https://www.ecotek.com.tw","","2022/06/29","","","                                                                                                                                                                                                        ","","","","","finance@ecotek.com.tw                                                                                                   ","無"
