"報告年度:2022","議題:溫室氣體排放"
"公司代號","公司名稱","範疇一-排放量(噸CO2e)","範疇一-資料邊界","範疇一-取得驗證","範疇二-排放量(噸CO2e)","範疇二-資料邊界","範疇二-取得驗證","範疇三-排放量(噸CO2e)","範疇三-資料邊界","範疇三-取得驗證","溫室氣體排放密集度-密集度(噸CO2e/單位)","溫室氣體排放密集度-單位"
"=""1474""","弘裕","1481.0000","母公司","","15381.7000","母公司","","無，無統計相關數據","","","6.7900","百萬元營業額"
"=""1475""","業旺","無，詳年報說明","","","無，詳年報說明","","","無，詳年報說明","","","無，詳年報說明",""
"=""1476""","儒鴻","27129.8083","包含合併財務報表之母子公司","ISO 9001","97001.4456","包含合併財務報表之母子公司","ISO 9001","2848.8975","包含合併財務報表之母子公司","ISO 9001","0.0031","百萬元營業額"
"=""1477""","聚陽","15114.5600","範圍含聚陽股份有限公司(總公司)、Leader Garments Corp.、Moha Garments Co., Ltd.、Triple Garment(Vietnam) Co., Ltd.、Makalot Garments(Vietnam) Co., Ltd.、Makalot Garments(Cambodia) Co., Ltd.、PT. Glory Industrial Semarang、 PT. Starlight Garment Semarang、Leader Garment(Vietnam) Co., Ltd.、Jiaxing Ruiyang Garment Co., Ltd、Jiaxing Rising Garment Co.,Ltd、Jiaxing Suntex Garment Co.,Ltd","ISO 9001","22446.3200","範圍含聚陽股份有限公司(總公司)、Leader Garments Corp.、Moha Garments Co., Ltd.、Triple Garment(Vietnam) Co., Ltd.、Makalot Garments(Vietnam) Co., Ltd.、Makalot Garments(Cambodia) Co., Ltd.、PT. Glory Industrial Semarang、 PT. Starlight Garment Semarang、Leader Garment(Vietnam) Co., Ltd.、Jiaxing Ruiyang Garment Co., Ltd、Jiaxing Rising Garment Co.,Ltd、Jiaxing Suntex Garment Co.,Ltd","ISO 9001","587.9800","聚陽股份有限公司(總公司)","ISO 9001","1.1700","百萬元營業額"
"=""1503""","士電","3190.8262","揭露範疇涵蓋士電台灣營運地區，包含台北總部及四大事業群(重電事業群、電裝品事業群、機器事業群與自動化事業群)但揭露範疇不包含合併報表之子公司及海外據點。","","19064.6104","揭露範疇涵蓋士電台灣營運地區，包含台北總部及四大事業群(重電事業群、電裝品事業群、機器事業群與自動化事業群)但揭露範疇不包含合併報表之子公司及海外據點。","","無，無統計相關數據","","","0.9430","百萬元營業額"
"=""1504""","東元","55536.0600","包含部分合併財務報表之母子公司","ISO 9001","21007.4900","包含部分合併財務報表之母子公司","ISO 9001","148567.4198","僅母公司","ISO 9001","1.5900","百萬元營業額"
"=""1506""","正道","1667.0708","母公司及馬來西亞子公司","","6413.9272","母公司及馬來西亞子公司","","無，無統計相關數據","","","12.7620","百萬元營業額"
"=""1512""","瑞利","2216.0000","母公司","","無，無統計相關數據","","","無，無統計相關數據","","","無，無統計相關數據",""
"=""1513""","中興電","363.8433","母公司","","5572.5000","母公司","","4.1370","母公司","","0.3203","百萬元營業額"
"=""1514""","亞力","無，無統計相關數據","","","2121.4799","母公司","","無，無統計相關數據","","","無，無統計相關數據",""
"=""1515""","力山","351.3706","僅母公司","","2813.2430","僅母公司","","37504.0341","僅母公司","","8.9400","百萬元營業額"
"=""1516""","川飛","無，無統計相關數據","","","無，無統計相關數據","","","無，無統計相關數據","","","無，無統計相關數據",""
"=""1517""","利奇","974.3799","利奇機械工業股份有限公司 總公司：彰化市石牌里石牌路一段112號 南崗廠：南投縣南投市南崗工業區工業南五路8號","","5294.8440","利奇機械工業股份有限公司 總公司：彰化市石牌里石牌路一段112號 南崗廠：南投縣南投市南崗工業區工業南五路8號","","3778.4196","利奇機械工業股份有限公司 總公司：彰化市石牌里石牌路一段112號 南崗廠：南投縣南投市南崗工業區工業南五路8號","","1.6277","百萬元營業額"
"=""1519""","華城","661.0239","僅母公司","","4586.6616","僅母公司","","無，未盤查","","","0.7233","百萬元營業額"
"=""1521""","大億","無，無統計相關數據","","","無，無統計相關數據","","","無，無統計相關數據","","","無，無統計相關數據",""
"=""1522""","堤維西","671.6600","母公司","ISO 9001","17494.4100","母公司","ISO 9001","4000.1100","母公司-類別3及類別4","ISO 9001","157.5400","億元營收"
"=""1524""","耿鼎","無，無統計相關數據","","","5502.1520","母公司","","無，無統計相關數據","","","0.3720","產品"
"=""1525""","江申","934.0000","僅母公司","","2883.0000","僅母公司","","無，無統計相關數據","","","3.9300","百萬元營業額"
"=""1526""","日馳","152.7100","母公司","","975.7000","母公司","","無，無統計相關數據","","","0.4625","新台幣仟元為單位"
"=""1527""","鑽全","15275.6541","全公司","ISO 9001","8539.2040","全公司","ISO 9001","43677.4634","全公司","ISO 9001","0.0061","千元營業額"
"=""1528""","恩德","無，無統計相關數據","","","無，無統計相關數據","","","無，無統計相關數據","","","無，無統計相關數據",""
"=""1529""","樂事綠能","無，無統計相關數據","","","無，無統計相關數據","","","無，無統計相關數據","","","無，無統計相關數據",""
"=""1530""","亞崴","無，無統計相關數據","","","無，無統計相關數據","","","無，無統計相關數據","","","無，無統計相關數據",""
"=""1531""","高林股","470.5370","總公司.桃園廠及高銀廠","ISO 9001","5518.1216","總公司.桃園廠及高銀廠","ISO 9001","61.8677","總公司.桃園廠及高銀廠","ISO 9001","無，無統計相關數據",""
"=""1532""","勤美","3499.2200","勤美股份有限公司金屬成型事業處","","16044.2373","勤美股份有限公司金屬成型事業處","","22773.0835","勤美股份有限公司金屬成型事業處","","1.2031","產品"
"=""1533""","車王電","79.6804","母公司","ISO 9001","1619.9194","母公司","ISO 9001","281.5445","母公司","ISO 9001","0.0001","千元營業額"
"=""1535""","中宇","330.4835","包含合併財務報表之母子公司","ISO 9001","1954.9127","包含合併財務報表之母子公司","ISO 9001","4.5098","包含合併財務報表之母子公司","ISO 9001","0.2584","百萬元營業額"
"=""1536""","和大","2722.4260","僅母公司","ISO 9001","44735.9720","僅母公司","ISO 9001","1449.0060","僅母公司","ISO 9001","7.7700","百萬元營業額"
"=""1537""","廣隆","8024.1000","包含合併財務報表之母子公司","","71621.8000","包含合併財務報表之母子公司","","無，無統計相關數據","","","無，無統計相關數據",""
"=""1538""","正峰","無，無統計相關數據","","","無，無統計相關數據","","","無，無統計相關數據","","","無，無統計相關數據",""
"=""1539""","巨庭","175.5939","母公司","ISO 9001","773.6629","母公司","ISO 9001","42.6513","母公司","ISO 9001","0.3968","百萬元營業額"
"=""1540""","喬福","6.8900","母公司","","無，無統計相關數據","","","117.9900","母公司","","無，無統計相關數據",""
"=""1541""","錩泰","1353.0000","僅母公司","","3703.0000","僅母公司","","無，無統計相關數據","","","0.0012","百萬元營業額"
"=""1558""","伸興","1801.0000","合併財務報表之母子公司","ISO 14001","14831.0000","合併財務報表之母子公司","ISO 14001","75717.0000","合併財務報表之母子公司","ISO 14001","0.0065","產品"
"=""1560""","中砂","8235.6821","母公司","ISO 9001","35592.8388","母公司","ISO 9001","7034.7938","母公司","ISO 9001","8.4400","營業額"
"=""1568""","倉佑","296.8969","僅母公司","","4306.3700","僅母公司","","無，資料蒐集不易,目前尚在盤點中","","","3.4124","百萬營業額"
"=""1582""","信錦","10.4900","母公司","","420.0330","母公司","","無，無統計相關數據","","","無，無統計相關數據",""
"=""1583""","程泰","133.0300","母公司","","2110.0000","母公司","","無，無統計相關數據","","","無，無統計相關數據",""
"=""1587""","吉茂","無，無統計相關數據","","","無，無統計相關數據","","","無，無統計相關數據","","","無，無統計相關數據",""
"=""1589""","永冠-KY","5285.5100","合併財務報表之母子公司","","129567.5800","合併財務報表之母子公司","","無，無統計相關數據","","","14.3706","百萬元營業額"
"=""1590""","亞德客-KY","13367.0000","包含集團全部生產工廠及大陸地區全部銷售公司，已涵蓋集團95%以上之排放量","","108044.0000","包含集團全部生產工廠及大陸地區全部銷售公司，已涵蓋集團95%以上之排放量","","無，無統計相關數據","","","7.5800","每百萬元產值"
"=""1597""","直得","55.0100","母公司","","5220.9600","母公司","","55.5500","母公司","","3.7500","百萬元營業額"
"=""1598""","岱宇","238.6790","彰化一廠、二廠及五廠","","1525.1410","彰化一廠、二廠及五廠","","無，無統計相關數據","","","無，無統計相關數據",""
"=""1603""","華電","無，無統計相關數據","","","無，無統計相關數據","","","無，無統計相關數據","","","無，無統計相關數據",""
"=""1604""","聲寶","無，無統計相關數據","","","無，無統計相關數據","","","無，無統計相關數據","","","無，無統計相關數據",""
"=""1605""","華新","194649.6300","台灣廠區：新莊廠、楊梅廠、台中廠、鹽水廠 海外區：東莞華新、江陰華新、江陰合金、上海華新、煙台華新、常熟華新、華新精密","ISO 9001","427116.8000","台灣廠區：新莊廠、楊梅廠、台中廠、鹽水廠 海外區：東莞華新、江陰華新、江陰合金、上海華新、煙台華新、常熟華新、華新精密","ISO 9001","2969214.5300","台灣廠區：新莊廠、楊梅廠、台中廠、鹽水廠","ISO 9001","0.4900","產品"
"=""1608""","華榮","1538.6900","涵蓋範圍僅限華榮電線電纜股份有限公司高楠工廠廠區","","15876.3200","涵蓋範圍僅限華榮電線電纜股份有限公司高楠工廠廠區","","無，無統計相關數據","","","2.2000","百萬元營業額"
"=""1609""","大亞","15953.0000","包含合併財務報表之母子公司","ISO 9001","59492.0000","包含合併財務報表之母子公司","ISO 9001","295369.0000","關廟總公司","ISO 9001","2.8200","百萬元營業額"
"=""1611""","中電","74.6503","工廠","","394.3161","工廠","","無，無統計相關數據","","","無，無統計相關數據",""
"=""1612""","宏泰","1450.4665","僅母公司","","10846.9605","僅母公司","","無，無統計相關數據","","","1.9271","百萬元營業額"
