"報告年度:2021","議題:溫室氣體排放"
"公司代號","公司名稱","範疇一-排放量(噸CO2e)","範疇一-資料邊界","範疇一-取得驗證","範疇二-排放量(噸CO2e)","範疇二-資料邊界","範疇二-取得驗證","範疇三-排放量(噸CO2e)","範疇三-資料邊界","範疇三-取得驗證","溫室氣體排放密集度-密集度(噸CO2e/單位)","溫室氣體排放密集度-單位"
"=""1235""","興泰","919.2922","依108年製成排放量檢測結果換算110年母子公司排放量","","181.6340","依110年台灣電力公司記錄排放量資訊之母子公司排放量","","無，無統計相關數據","","","0.0268","營業額"
"=""1236""","宏亞","2878.0270","母公司","","6477.8800","母公司","","無，無統計相關數據","","","5.3100","營業額"
"=""1256""","鮮活果汁-KY","3076.7318","集團主要營運主體，子公司蘇州鮮活飲品股份有限公司","ISO 14001","15070.9039","集團主要營運主體，子公司蘇州鮮活飲品股份有限公司","ISO 14001","775.8442","集團主要營運主體，子公司蘇州鮮活飲品股份有限公司","","0.0041","營業額"
"=""1301""","台塑","3966548.0000","母公司2020年經第三方查證數據，請參閱本公司2021年永續報告書P.66","ISO 9001","4668706.0000","母公司2020年經第三方查證數據，請參閱本公司2021年永續報告書P.66","ISO 9001","11332873.0000","母公司2020年經第三方查證數據，請參閱本公司2021年永續報告書P.66","ISO 9001","6205.4000","範疇一+範疇二/當年度個體財報營收(億元)，請參閱本公司2021年永續報告書P.66"
"=""1303""","南亞","2499081.0000","揭露母公司110年度溫室氣體排放量。","ISO 9001","3636122.0000","揭露母公司110年度溫室氣體排放量。","ISO 9001","14868345.0000","揭露母公司110年度溫室氣體排放量。","ISO 9001","0.0280","單位:噸CO2e/110年個體營業額(千元)；其他說明：本次申報之營業額均以母公司當期個體營收(千元)計算。"
"=""1304""","台聚","16383.8000","台聚高雄廠","ISO 9001","131602.7100","台聚高雄廠","ISO 9001","186.5500","台聚高雄廠","ISO 9001","0.5950","產品"
"=""1305""","華夏","158309.2600","華夏頭份廠、華聚林園廠、台氯林園廠。","ISO 9001","227328.9600","華夏頭份廠、華聚林園廠、台氯林園廠。","ISO 9001","無，定性說明。因實質性不易歸類及量化，目前以組織地理邊界範圍內非屬本公司所有之排放源為主，並且只進行定性盤查工作。","","","0.3400","產品"
"=""1307""","三芳","10395.6400","母公司","ISO 9001","23791.9200","母公司","ISO 9001","無，無統計相關數據","","","44.9800","百萬營業額"
"=""1308""","亞聚","10133.6900","亞聚林園廠","ISO 9001","102834.2700","亞聚林園廠","ISO 9001","231370.0300","亞聚林園廠","ISO 9001","0.8300","產品"
"=""1309""","台達化","14935.0000","前鎮廠、林園廠、頭份廠、中山廠","","75481.0000","前鎮廠、林園廠、頭份廠、中山廠","","無，無統計相關數據","","","2.7020","產品"
"=""1310""","台苯","331800.8100","台苯高雄廠","ISO 9001","33435.7100","台苯高雄廠","ISO 9001","無，僅進行排放源鑑別，無量化。","","","0.9570","產品"
"=""1312""","國喬","526801.9867","國喬石油化學股份有限公司高雄廠","ISO 9001","14043.1488","國喬石油化學股份有限公司高雄廠","ISO 9001","無，無統計相關數據","","","29.2100","營業額"
"=""1313""","聯成","28627.8097","聯成林園廠","ISO 9001","10938.5049","聯成林園廠","ISO 9001","無，無統計相關數據","","","無，無統計相關數據",""
"=""1314""","中石化","1703474.0000","僅母公司","ISO 9001","204332.0000","僅母公司","ISO 9001","1758458.0000","僅母公司","ISO 9001","0.0001","範疇1+2=1,907,806公噸CO2e，營業收入：35,163,380仟元"
"=""1315""","達新","無，3","","","3160.0000","母公司","","無，無統計相關數據","","","無，無統計相關數據",""
"=""1316""","上曜","151.5160","僅母公司","","134.9740","僅母公司","","無，無統計相關數據","","","無，無統計相關數據",""
"=""1319""","東陽","9736.2100","母公司","","49926.1500","母公司","","無，無統計相關數據","","","4.3400","百萬營業額"
"=""1321""","大洋","4313.0000","母公司","","41425.0000","母公司","","無，無統計相關數據","","","0.3222","產品"
"=""1323""","永裕","543.9900","永裕塑膠:227.46噸 上海永裕:309.91噸 威瑪精密:6.62噸","","33421.4730","台灣永裕:13498.83噸 上海永裕:19856.753噸 威瑪精密:65.89噸","","3246.7300","僅 母公司台灣永裕","","0.0072","台灣永裕 13726.28(噸)/1907428千元=0.0072"
"=""1324""","地球","無，3","","","無，目前已由輔導公司協助輔導執行ISO14064-1溫室氣體盤查作業。","","","無，目前已由輔導公司協助輔導執行ISO14064-1溫室氣體盤查作業。","","","無，目前已由輔導公司協助輔導執行ISO14064-1溫室氣體盤查作業。",""
"=""1325""","恆大","無，無統計相關數據","","","無，無統計相關數據","","","無，無統計相關數據","","","無，無統計相關數據",""
"=""1326""","台化","5398217.2500","資料係110年度母公司及台醋經第三方查證數據。","ISO 9001","3265112.7000","資料係110年母公司及台醋經第三方查證數據。","ISO 9001","18701609.8200","資料係110年母公司及台醋經第三方查證數據。","ISO 9001","3423.7700","營業額億元"
"=""1337""","再生-KY","無，無統計相關數據","","","無，無統計相關數據","","","無，無統計相關數據","","","無，無統計相關數據",""
"=""1338""","廣華-KY","1635.2800","僅重要子公司東莞廣澤汽車飾件有限公司","","26860.5700","僅重要子公司東莞廣澤汽車飾件有限公司","","0.0000","僅重要子公司東莞廣澤汽車飾件有限公司","","0.0003","產品"
"=""1339""","昭輝","無，無統計相關數據","","","無，無統計相關數據","","","無，無統計相關數據","","","無，無統計相關數據",""
"=""1340""","勝悅-KY","無，無統計相關數據","","","無，無統計相關數據","","","無，無統計相關數據","","","無，無統計相關數據",""
"=""1341""","富林-KY","8387.0000","僅子公司同奈廠","ISO 14001","9043.8000","僅子公司同奈廠","ISO 14001","無，無統計相關數據","","","1.1393","產品"
"=""1342""","八貫","無，無統計相關數據","","","無，無統計相關數據","","","無，無統計相關數據","","","無，無統計相關數據",""
"=""1402""","遠東新","1341000.0000","統計範疇共21個生產據點","","1145000.0000","統計範疇共21個生產據點","","8211000.0000","統計範疇共20個生產據點(遠東服裝(蘇州)預計搬遷，故未盤查範疇三數據)","","0.3200","產品"
"=""1409""","新纖","112287.8600","新光合纖中壢廠","ISO 9001","177128.3900","新光合纖中壢廠","ISO 9001","無，無統計相關數據","","","15.3100","營業額"
"=""1410""","南染","無，無統計相關數據","","","無，無統計相關數據","","","無，無統計相關數據","","","無，無統計相關數據",""
"=""1413""","宏洲","19626.0000","僅母公司","","46167.0000","僅母公司","","無，無統計相關數據","","","0.4360","產品"
"=""1414""","東和","0.0000","本公司","","15865.0000","本公司","","0.0000","本公司","","無，無統計相關數據",""
"=""1416""","廣豐","無，無統計相關數據","","","無，無統計相關數據","","","無，無統計相關數據","","","無，無統計相關數據",""
"=""1417""","嘉裕","無，無統計相關數據","","","無，無統計相關數據","","","無，無統計相關數據","","","無，無統計相關數據",""
"=""1418""","東華","32.8251","僅母公司","ISO 14001","786.4050","僅母公司","ISO 14001","無，範疇3是針對本公司其他的委外活動所產生的其他間接排放， 排放源是由其他公司所擁有或控制的。因實質性不易歸類及 量化，只定性種類，進行鑑別之工作。","","ISO 14001","無，本公司(廠)110年度壓克力纖維(棉)製程生產停工。",""
"=""1419""","新紡","無，無統計相關數據","","","14227.0000","母公司生產單位","","無，無統計相關數據","","","0.0021","產品"
"=""1423""","利華","1036.0000","母公司","","無，無統計相關數據","","","無，無統計相關數據","","","0.0000","營業額"
"=""1432""","大魯閣","無，無統計相關數據","","","無，無統計相關數據","","","無，無統計相關數據","","","無，無統計相關數據",""
"=""1434""","福懋","254487.0000","台灣廠區","ISO 9001","93266.0000","台灣廠區","ISO 9001","無，2021年度溫室氣體範疇3尚在盤查中","","","14.2200","營業額 百萬元(新台幣)"
"=""1435""","中福","無，3","","","729.0000","僅母公司","","無，無相關排放","","","60.7500","無生產活動，以平均每月用電量計算"
"=""1436""","華友聯","無，詳年報說明","","","52.9600","僅母公司","","無，無統計相關數據","","","無，無統計相關數據",""
"=""1437""","勤益控","無，無統計相關數據","","","無，無統計相關數據","","","無，無統計相關數據","","","無，無統計相關數據",""
"=""1438""","三地開發","無，詳年報說明","","","無，詳年報說明","","","無，詳年報說明","","","無，詳年報說明",""
"=""1439""","雋揚","無，無統計相關數據","","","無，無統計相關數據","","","無，無統計相關數據","","","無，無統計相關數據",""
"=""1440""","南紡","60595.7301","仁德廠,太子廠","ISO 9001","83942.2440","仁德廠,太子廠","ISO 9001","677495.1230","仁德廠,太子廠","ISO 9001","2.6400","產量公噸"
"=""1441""","大東","無，無統計相關數據","","","無，無統計相關數據","","","無，無統計相關數據","","","無，無統計相關數據",""
"=""1442""","名軒","22.9300","母公司","","無，無統計相關數據","","","無，無統計相關數據","","","無，無統計相關數據",""
"=""1443""","立益物流","無，無統計相關數據","","","無，無統計相關數據","","","無，無統計相關數據","","","無，無統計相關數據",""
"=""1444""","力麗","129795.7500","力麗化纖總廠","ISO 9001","60693.0400","力麗化纖總廠","ISO 9001","無，無統計相關數據","","","0.4003","產品"
"=""1445""","大宇","無，無統計相關數據","","","無，無統計相關數據","","","無，無統計相關數據","","","無，無統計相關數據",""
"=""1446""","宏和","無，3","","","276.9000","母公司","","無，無相關排放設備","","","無，無相關排放設備",""
"=""1447""","力鵬","94305.5000","母公司楊梅廠及尼龍廠","ISO 9001","144960.7000","母公司楊梅廠及尼龍廠","ISO 9001","無，無統計相關數據","","","無，依產品別驗證，無法提供單一數據",""
"=""1449""","佳和","7735.9970","母公司","","67643.2340","母公司","","無，無統計相關數據","","","8.0240","產品"
"=""1451""","年興","無，3","","","無，尚在盤查中，預計於2022/08統計出母公司之排放量。","","","無，無統計相關數據","","","無，尚在盤查中，預計於2022/08統計出母公司之排放量。",""
"=""1452""","宏益","9.7650","包含合併財務報表之母子公司","","26761.6200","包含合併財務報表之母子公司","","無，無統計相關數據","","","0.9389","產品"
"=""1453""","大將","無，無統計相關數據","","","無，無統計相關數據","","","無，無統計相關數據","","","無，無統計相關數據",""
"=""1454""","台富","無，無統計相關數據","","","無，無統計相關數據","","","無，無統計相關數據","","","無，無統計相關數據",""
"=""1455""","集盛","36994.7500","母公司之5個紡織製品製造廠區","ISO 9001","151731.0400","母公司之5個紡織製品製造廠區","ISO 9001","23895.3400","母公司之5個紡織製品製造廠區","ISO 9001","0.8100","產品"
"=""1456""","怡華","7735.9970","台南官田廠","","67643.2340","台南官田廠","","無，尚未執行","","","8.0240","服務"
"=""1457""","宜進","18.0000","僅母公司","","59.0000","僅母公司","","無，無統計相關數據","","","3.8500","員工人數"
"=""1459""","聯發","0.0000","工廠","","28659.0000","工廠","","無，無統計相關數據","","","1.1885","產品"
"=""1460""","宏遠","75930.5400","母公司","ISO 9001","62616.8300","母公司","ISO 9001","無，無統計相關數據","","","9.0900","產品"
"=""1463""","強盛新","無，無統計相關數據","","","無，無統計相關數據","","","無，無統計相關數據","","","無，無統計相關數據",""
"=""1464""","得力","38863.8400","僅母公司","ISO 9001","32999.0100","僅母公司","ISO 9001","無，無統計相關數據","","","13.5400","產品"
"=""1465""","偉全","無，無統計相關數據","","","無，無統計相關數據","","","無，無統計相關數據","","","無，無統計相關數據",""
"=""1466""","聚隆","0.0000","母公司","","50952.9900","母公司(電力)","","無，無統計相關數據","","","3.3700","產品"
"=""1467""","南緯","無，無統計相關數據","","","444.7530","母公司","","無，無統計相關數據","","","無，詳永續報告書",""
"=""1468""","昶和","無，無統計相關數據","","","無，無統計相關數據","","","無，無統計相關數據","","","無，無統計相關數據",""
"=""1470""","大統新創","35668.0000","合併財務報表之母子公司之桃園廠區","","6331.0000","合併財務報表之母子公司之桃園廠區","","無，無統計相關數據","","","5.8000","產量"
"=""1471""","首利","無，無統計相關數據","","","無，無統計相關數據","","","無，無統計相關數據","","","無，無統計相關數據",""
"=""1472""","三洋實業","無，3","","","無，本公司於5/11董事會剛通過溫室氣體排放，目前因組織尚未完整，尚未決定由何單位及何種方式進行此一數據收集。","","","無，本公司於5/11董事會剛通過溫室氣體排放，目前因組織尚未完整，尚未決定由何單位及何種方式進行此一數據收集。","","","無，本公司於5/11董事會剛通過溫室氣體排放，目前因組織尚未完整，尚未決定由何單位及何種方式進行此一數據收集。",""
"=""1473""","台南","7001.0900","包含合併財務報表之母子公司","","6442.3400","包含合併財務報表之母子公司","","無，無統計相關數據","","","0.0007","產品"
"=""1474""","弘裕","4088.0000","母公司","","16057.0000","母公司","","無，無統計相關數據","","","無，無統計相關數據",""
"=""1475""","業旺","無，詳年報說明","","","無，詳年報說明","","","無，詳年報說明","","","無，詳年報說明",""
"=""1476""","儒鴻","30530.3550","包含合併財務報表之母子公司","ISO 9001","96382.2382","包含合併財務報表之母子公司","ISO 9001","2570.8380","包含合併財務報表之母子公司","ISO 9001","0.0035","營業額"
"=""1477""","聚陽","0.0000","台北總公司","ISO 9001","638.2400","台北總公司","ISO 9001","無，2021年度資料目前在盤查中，將於2022年底前查證完成並取得查證聲明書","","ISO 9001","0.0221","營業額(百萬元)"
"=""1503""","士電","2087.8800","環境面資訊以母公司之電裝廠、新豐廠、重電廠為主， 不包含台北總公司。","","18949.0900","環境面資訊以母公司之電裝廠、新豐廠、重電廠為主， 不包含台北總公司。","","無，無統計相關數據","","","0.7597","百萬元營業額"
"=""1504""","東元","19905.2541","台灣所有廠區","ISO 9001","27000.6547","台灣所有廠區","ISO 9001","22735295.0100","「上游運輸及配送」以2021東元台灣廠區採購量計算、「採購商品與服務」以2021東元台灣及大陸廠區採購量計算、「營運產生之廢棄物」以2021東元廠區廢棄物產生量計算、「銷售產品之使用」依據2021年全球銷售馬達數量計算  ，其中銷售產品之使用採估算，未經BSI查證 ；其餘皆經查證。","ISO 9001","2.0400","營業額"
"=""1506""","正道","無，無統計相關數據","","","無，無統計相關數據","","","無，無統計相關數據","","","無，無統計相關數據",""
"=""1512""","瑞利","2228.0000","母公司","","無，無統計相關數據","","","無，無統計相關數據","","","無，無統計相關數據",""
"=""1513""","中興電","406.5360","母公司110年度","","5044.5500","母公司110年度","","無，無統計相關數據","","","0.3024","營業額"
"=""1514""","亞力","無，無統計相關數據","","","2136.5662","母公司","","無，無統計相關數據","","","無，無統計相關數據",""
"=""1515""","力山","無，3","","","無，資料尚在驗證","","","無，資料尚在驗證","","","無，資料尚在驗證",""
"=""1516""","川飛","無，無統計相關數據","","","無，無統計相關數據","","","無，無統計相關數據","","","無，無統計相關數據",""
"=""1517""","利奇","5870.0000","母公司","","無，無統計相關數據","","","無，無統計相關數據","","","無，無統計相關數據",""
"=""1519""","華城","375.4879","僅母公司","","4576.8674","僅母公司","","91.5922","僅母公司","","0.8025","產品"
"=""1521""","大億","無，無統計相關數據","","","無，無統計相關數據","","","無，無統計相關數據","","","無，無統計相關數據",""
"=""1522""","堤維西","無，無統計相關數據","","","無，無統計相關數據","","","無，無統計相關數據","","","無，無統計相關數據",""
"=""1524""","耿鼎","無，無統計相關數據","母公司","","7074.5180","母子公司","","無，無統計相關數據","","","0.6102","產能總重"
"=""1525""","江申","991.0000","僅母公司","","2742.0000","僅母公司","","無，無統計相關數據","","","2.9300","百萬元營業額"
"=""1526""","日馳","159.3600","母公司","","1132.6100","母公司","","無，無統計相關數據","","","0.9870","營運成本新台幣仟元為單位"
"=""1527""","鑽全","無，3","","","11648.9000","全公司","","無，預計2023年第1季完成盤查","","","無，預計2023年第1季完成盤查",""
"=""1528""","恩德","無，無統計相關數據","","","無，無統計相關數據","","","無，無統計相關數據","","","無，無統計相關數據",""
"=""1529""","樂事綠能","無，無統計相關數據","","","無，無統計相關數據","","","無，無統計相關數據","","","無，無統計相關數據",""
"=""1530""","亞崴","無，無統計相關數據","","","無，無統計相關數據","","","無，無統計相關數據","","","無，無統計相關數據",""
"=""1531""","高林股","無，無統計相關數據","","","無，無統計相關數據","","","無，無統計相關數據","","","無，無統計相關數據",""
"=""1532""","勤美","3715.1260","勤美金屬成型事業處","ISO 9001","19223.3210","勤美金屬成型事業處","ISO 9001","32732.6670","勤美金屬成型事業處","ISO 9001","1.0058","產品"
"=""1533""","車王電","1947.6330","母公司","","1833.5291","母公司","","無，無統計相關數據","","","1948.0000","產值"
"=""1535""","中宇","無，3","","","265.9170","僅母公司","","164.3460","僅母公司","","0.5600","坪"
"=""1536""","和大","1681.1321","僅母公司","ISO 9001","45534.3073","僅母公司","ISO 9001","10234.9942","僅母公司","ISO 9001","3.6494","百萬營業額"
"=""1537""","廣隆","4684.1500","包含合併財務報表之母子公司","","51375.4800","包含合併財務報表之母子公司","","無，無統計相關數據","","","103.4200","仟元營業額/噸"
"=""1538""","正峰","無，無統計相關數據","","","無，無統計相關數據","","","無，無統計相關數據","","","無，無統計相關數據",""
"=""1539""","巨庭","88.3700","母公司","","967.3800","母公司","","無，無統計相關數據","","","1055.7500","營業額"
"=""1540""","喬福","6.8800","個體公司","","117.9700","個體公司","","無，無統計相關數據","","","無，無統計相關數據",""
"=""1541""","錩泰","2239.0000","僅母公司","","5186.0000","僅母公司","","無，僅進行排放源鑑別，無盤查相關數據。","","","0.0012","營業額"
"=""1558""","伸興","2120.0000","合併財務報表之母子公司","","18492.0000","合併財務報表之母子公司","","113302.0000","合併財務報表之母子公司","","0.0054","產品"
"=""1560""","中砂","4055.1300","母公司","ISO 9001","40397.2900","母公司","ISO 9001","無，無統計相關數據","","","8.1300","百萬元營業額"
"=""1568""","倉佑","105.9379","僅母公司","","4615.9603","僅母公司","","無，資料收集不易,尚在收集統計中","","","3.9484","百萬營業額"
"=""1582""","信錦","無，無統計相關數據","","","201.0000","母公司","","無，無統計相關數據","","","無，無統計相關數據",""
"=""1583""","程泰","128.4300","母公司","","2201.0000","母公司","","無，無統計相關數據","","","無，無統計相關數據",""
"=""1587""","吉茂","無，無統計相關數據","","","無，無統計相關數據","","","無，無統計相關數據","","","無，無統計相關數據",""
"=""1589""","永冠-KY","4934.0100","合併財務報表之子公司","","127868.1800","合併財務報表之子公司","","無，無統計相關數據","","","0.6400","產品"
"=""1590""","亞德客-KY","8227.0000","包含集團全部的三個生產工廠，已涵蓋集團90%以上之排放量","","125129.0000","包含集團全部的三個生產工廠，已涵蓋集團90%以上之排放量","","無，無統計相關數據","","","8.4445","每百萬元產值"
"=""1597""","直得","97.4300","母公司","","4787.7000","母公司","","960.6800","母公司","","15.3000","每百萬營業額"
"=""1598""","岱宇","434.6800","本公司彰化一廠、二廠與五廠","","1848.4400","本公司彰化一廠、二廠與五廠","","無，無統計相關數據","","","0.0003","營業額仟元"
"=""1603""","華電","無，3","","","無，規劃中","","","無，規劃中","","","無，規劃中",""
"=""1604""","聲寶","無，無統計相關數據","","","無，無統計相關數據","","","無，無統計相關數據","","","無，無統計相關數據",""
"=""1605""","華新","201262.0200","臺灣區：楊梅廠、新莊廠、鹽水廠、臺中廠。 海外區：東莞華新、江陰華新、江陰合金、上海華新、煙台華新、常熟華新、華新精密","ISO 9001","414803.7400","臺灣區：楊梅廠、新莊廠、鹽水廠、臺中廠。 海外區：東莞華新、江陰華新、江陰合金、上海華新、煙台華新、常熟華新、華新精密","ISO 9001","2408341.6200","母公司","ISO 9001","0.4600","產品"
"=""1608""","華榮","1298.3000","涵蓋範圍僅限華榮電線電纜股份有限公司高楠工廠廠區","","15564.2000","涵蓋範圍僅限華榮電線電纜股份有限公司高楠工廠廠區","","無，無統計相關數據","","","2.3000","百萬營業額"
"=""1609""","大亞","2233.0500","大亞電線電纜","","21978.5000","大亞電線電纜","","無，無統計相關數據","","","1.7800","營業額"
"=""1611""","中電","87.0199","工廠","","468.4600","工廠","","無，無統計相關數據","","","無，無統計相關數據",""
"=""1612""","宏泰","無，無統計相關數據","","","無，無統計相關數據","","","無，無統計相關數據","","","無，無統計相關數據",""
"=""1614""","三洋電","無，無統計相關數據","","","無，無統計相關數據","","","無，無統計相關數據","","","無，無統計相關數據",""
"=""1615""","大山","無，3","","","無，尚未建立","","","無，尚未建立","","","無，尚未建立",""
"=""1616""","億泰","4945.0000","母公司","","無，無統計相關數據","","","無，無統計相關數據","","","1.6500","營業額"
"=""1617""","榮星","無，無統計相關數據","","","無，無統計相關數據","","","無，無統計相關數據","","","無，無統計相關數據",""
"=""1618""","合機","無，無統計相關數據","","","無，無統計相關數據","","","無，無統計相關數據","","","無，無統計相關數據",""
"=""1626""","艾美特-KY","595.3500","主要生產公司深圳艾美特","ISO 14001","19727.5600","主要生產公司深圳艾美特","ISO 14001","無，無統計相關數據","","","20322.9000","營業額"
"=""1702""","南僑","74520.9000","範疇一資訊涵蓋台灣、中國大陸、泰國地區之製造單位及台灣、中國大陸餐飲事業","","105527.3800","範疇二資訊涵蓋台灣、中國大陸、泰國地區之製造單位及台灣、中國大陸餐飲事業","","無，無統計相關數據","","","9.0700","營業額"
"=""1707""","葡萄王","3862.0400","葡萄王生技、葡眾企業","","14829.3900","葡萄王生技、葡眾企業","","無，規劃111年進行盤查","","","3.4700","產品"
"=""1708""","東鹼","23680.4553","僅母公司","","7499.9909","僅母公司","","無，無統計相關數據","","","6.5000","百萬營業額"
"=""1709""","和益","67429.0078","僅母公司林園工廠","ISO 14001","23049.7314","僅母公司林園工廠","ISO 14001","無，無統計相關數據","","","13.7000","百萬營業額"
"=""1710""","東聯","40762.3900","母公司","ISO 9001","312448.9300","母公司","ISO 9001","72656.7351","母公司","ISO 9001","0.0240","營業額；單位：t-CO2e / 仟元"
"=""1711""","永光","19141.0600","合併財務報表之母子公司生產型廠區","ISO 14001","63671.7000","合併財務報表之母子公司生產型廠區","ISO 14001","無，本公司早期至2021年止，皆依循環保署公告之溫室氣體排放量盤查登錄作業指引(2016版)以自願性方式進行溫室氣體盤查，且據指引僅將範疇三鑑別出排放源項目，而不需列入排放量計算範圍。後續將再依2022年最新公告指引作業","","","8.9000","百萬元產值"
