"公司代號","公司名稱","英文簡稱","申報原因","產業類別","報告書內容涵蓋期間","編製依循準則","第三方驗證單位","第三方採用標準","會計師確信驗證單位","會計師確信採用標準","永續報告書網址","永續報告書檔案","上傳日期","修正後報告書","修正後報告書上傳日期","永續報告書英文版網址","永續報告書英文版檔案","英文版上傳日期","英文版修正後報告書","英文版修正後報告書上傳日期","報告書聯絡資訊","備註"
"3093","港建*","TKK","6. 股本達新臺幣五十億元以上者，但未達新臺幣一百億元以上者","其他電子業","2022/01/01~2022/12/31","1. GRI Standards GRI 準則","無","無資料","N/A","","https://www.tkk.com/tw/Csr","","2023/09/27","","","https://www.tkk.com/tw/Csr                                                                                                                                                                              ","","2023/12/14","","","nina_lin@tkk.com.tw                                                                                                     ",""
"3105","穩懋","WIN","5. 股本達新臺幣一百億元以上者","半導體業","2022/01/01~2022/12/31","1. GRI Standards GRI 準則","其他查驗證單位：","3. AA1000 第2類型(Type2 ) 中度保證","台灣檢驗科技股份有限公司(SGS Taiwan Ltd.)","","https://www.winfoundry.com/wincsr/tw/downlaod.html","","2023/06/29","","","https://www.winfoundry.com/wincsr/en/downlaod.html                                                                                                                                                      ","","2023/06/29","","","wincsr@winfoundry.com                                                                                                   ",""
"3118","進階","LEVEL","6. 股本達新臺幣五十億元以上者，但未達新臺幣一百億元以上者","生技醫療業","2022/01/01~2022/12/31","1. GRI Standards GRI 準則","無","無資料","N/A","","https://www.level.com.tw/corporate_tw_3.php","","2023/09/28","","","                                                                                                                                                                                                        ","","","","","pr@mail.level.com.tw                                                                                                    ",""
"3131","弘塑","GPTC","6. 股本達新臺幣五十億元以上者，但未達新臺幣一百億元以上者","其他電子業","2022/01/01~2022/12/31","1. GRI Standards GRI 準則","無","無資料","N/A","","http://www.gptc.com.tw/tw/about/about_detail-12?about-133","","2023/11/01","","","                                                                                                                                                                                                        ","","","","","ESG@gptc.com.tw                                                                                                         ",""
"3152","璟德","ACX","6. 股本達新臺幣五十億元以上者，但未達新臺幣一百億元以上者","通信網路業","2022/01/01~2022/12/31","1. GRI Standards GRI 準則","無","無資料","N/A","","https://www.acxc.com.tw/report","","2023/06/05","","","                                                                                                                                                                                                        ","","","","","invest@acxc.com.tw                                                                                                      ",""
"3205","佰研","SLS","2. 屬餐飲收入占其全部營業收入之比率達百分之五十以上者","生技醫療業","2022/01/01~2022/12/31","1. GRI Standards GRI 準則","會計師事務所：","1.確信準則公報第一號","奕欣會計師事務所","","https://www.naturalbiokey.com/","","2023/09/27","","","                                                                                                                                                                                                        ","","","","","carrie.chang@naturalbiokey.com                                                                                          ",""
"3206","志豐","KINGSTATE","6. 股本達新臺幣五十億元以上者，但未達新臺幣一百億元以上者","電子零組件業","2022/01/01~2022/12/31","1. GRI Standards GRI 準則","無","無資料","N/A","","https://www.kingstate.com.tw/upload/global/Kingstate%20ESG%202022%20report.pdf","","2023/09/28","","","                                                                                                                                                                                                        ","","","","","esg@kingstate.com.tw                                                                                                    ",""
"3211","順達","Dynapack","6. 股本達新臺幣五十億元以上者，但未達新臺幣一百億元以上者","電腦及週邊設備業","2022/01/01~2022/12/31","1. GRI Standards GRI 準則","無","無資料","N/A","","https://www.dynapack.com.tw/h/DataDetail?key=iczce&cont=7642","","2023/09/27","","","                                                                                                                                                                                                        ","","","","","Teresa.Hsie@dynapack.com.tw                                                                                             ",""
"3218","大學光","UNIVERSAL","6. 股本達新臺幣五十億元以上者，但未達新臺幣一百億元以上者","生技醫療業","2022/01/01~2022/12/31","1. GRI Standards GRI 準則","其他查驗證單位：","1. AA1000 第1類型(Type1 ) 中度保證","格瑞國際驗證有限公司 (GREAT Certification)","","https://www.uvb.com.tw/investor/investor_a05/","","2023/09/28","","2023/12/27","https://www.uvb.com.tw/EN/investor/investor_a05/                                                                                                                                                        ","","2023/12/27","","","sophia.lien@eyecenter.com.tw                                                                                            ",""
"3224","三顧","MetaTech","6. 股本達新臺幣五十億元以上者，但未達新臺幣一百億元以上者","電子通路業","2022/01/01~2022/12/31","1. GRI Standards GRI 準則","無","無資料","N/A","","https://www.metatech.com.tw/tw/ir/csr","","2023/06/30","","2023/09/23","                                                                                                                                                                                                        ","","","","","sammih@metatech.com.tw                                                                                                  ",""
"3227","原相","PXI","6. 股本達新臺幣五十億元以上者，但未達新臺幣一百億元以上者","半導體業","2022/01/01~2022/12/31","1. GRI Standards GRI 準則","無","無資料","N/A","","https://www.pixart.com/upload/ckfiles/files/pixart-2022-esg-report-ch-H-Final-150dpi.pdf","","2023/08/15","","","https://www.pixart.com/upload/ckfiles/files/pixart-2022-esg-report-en-S.pdf                                                                                                                             ","","2023/08/15","","","ken_kuo@pixart.com                                                                                                      ",""
"3230","錦明","Jiin Ming","6. 股本達新臺幣五十億元以上者，但未達新臺幣一百億元以上者","光電業","2022/01/01~2022/12/31","1. GRI Standards GRI 準則","無","無資料","N/A","","https://jmg.com.tw/ebook_list/","","2023/09/18","","","                                                                                                                                                                                                        ","","","","","eddie.liang@mail.jmg.com.tw                                                                                             ",""
"3236","千如","ABC","6. 股本達新臺幣五十億元以上者，但未達新臺幣一百億元以上者","電子零組件業","2022/01/01~2022/12/31","1. GRI Standards GRI 準則","其他查驗證單位：","1. AA1000 第1類型(Type1 ) 中度保證","SGS","","https://www.atec-group.com/tw/csr-139-140-page373","","2023/09/28","","","https://www.atec-group.com/csr-139-140-page373                                                                                                                                                          ","","2023/12/21","","","csr@atec-group.com                                                                                                      ",""
"3260","威剛","ADATA","5. 股本達新臺幣一百億元以上者","半導體業","2022/01/01~2022/12/31","1. GRI Standards GRI 準則","會計師事務所：","1.確信準則公報第一號","資誠聯合會計師事務所","","https://esg.adata.com/tw/","","2023/09/26","","","https://esg.adata.com/en/                                                                                                                                                                               ","","2023/12/28","","","adata@adata.com                                                                                                         ",""
"3264","欣銓","Ardentec","5. 股本達新臺幣一百億元以上者","半導體業","2022/01/01~2022/12/31","2. OTHERS其他依循標準：GRI, SASB, 上櫃公司編製與申報永續報告書作業辦法","其他查驗證單位：","1. AA1000 第1類型(Type1 ) 中度保證","BSI英國標準協會","","https://esg.ardentec.com/zh-TW/esg-report/index","","2023/06/29","","","https://esg.ardentec.com/en-global/esg-report/index                                                                                                                                                     ","","2024/02/20","","","esg@ardentec.com                                                                                                        ","永續報告書英文版預計於2023/8/31前上傳網站(如八、)所提網址"
"3272","東碩","GW","6. 股本達新臺幣五十億元以上者，但未達新臺幣一百億元以上者","電腦及週邊設備業","2022/01/01~2022/12/31","1. GRI Standards GRI 準則","無","無資料","N/A","","https://www.goodway.com.tw/zh-hant/goodway-csr","","2023/08/10","","","                                                                                                                                                                                                        ","","","","","sabina@goodway.com.tw                                                                                                   ","無"
"3289","宜特","IST","6. 股本達新臺幣五十億元以上者，但未達新臺幣一百億元以上者","其他電子業","2022/01/01~2022/12/31","1. GRI Standards GRI 準則","其他查驗證單位：","3. AA1000 第2類型(Type2 ) 中度保證","DQS Taiwan Inc.","","https://www.istgroup.com/tw/about-ist/csr/sustainability_reports","","2024/01/17","","","https://www.istgroup.com/en/about-ist/csr/sustainability_reports/                                                                                                                                       ","","2024/03/21","","","ESG@istgroup.com                                                                                                        ",""
"3293","鈊象","IGS","6. 股本達新臺幣五十億元以上者，但未達新臺幣一百億元以上者","文化創意業","2022/01/01~2022/12/31","1. GRI Standards GRI 準則","無","無資料","N/A","","https://www.igs.com.tw/investors/cosocial/","","2023/09/27","","","https://www.igs.com.tw/en/investors/cosocial/                                                                                                                                                           ","","2023/12/26","","","bijiachen@igs.com.tw                                                                                                    ",""
"3294","英濟","Megaforce","6. 股本達新臺幣五十億元以上者，但未達新臺幣一百億元以上者","電子零組件業","2022/01/01~2022/12/31","1. GRI Standards GRI 準則","無","無資料","N/A","","https://www.megaforce.com.tw/zh-tw/Report/SustainabilityReport?sn_id=5","","2023/07/18","","","                                                                                                                                                                                                        ","","","","","pascal_liu@megaforce.com.tw                                                                                             ","無"
"3303","岱稜","UNIVACCO","6. 股本達新臺幣五十億元以上者，但未達新臺幣一百億元以上者","其他電子業","2022/01/01~2022/12/31","1. GRI Standards GRI 準則","其他查驗證單位：","1. AA1000 第1類型(Type1 ) 中度保證","台灣檢驗科技股份有限公司","","https://www.univacco.com.tw/upload_files/csr/Report%20PDF/2022_Univacco_ESG_report_1.pdf","","2023/09/28","","","                                                                                                                                                                                                        ","","","","","3303HR@ univacco.com.tw                                                                                                 ",""
"3323","加百裕","Celxpert","6. 股本達新臺幣五十億元以上者，但未達新臺幣一百億元以上者","電腦及週邊設備業","2020/01/01~2022/09/30","1. GRI Standards GRI 準則","無","無資料","N/A","","https://zh-tw.celxpert.com.tw/esg-report","","2023/04/28","","","https://www.celxpert.com.tw/esg-report                                                                                                                                                                  ","","2023/04/28","","","Daniel_Liu@celxpert.com.tw                                                                                              ",""
"3324","雙鴻","AURAS","6. 股本達新臺幣五十億元以上者，但未達新臺幣一百億元以上者","其他電子業","2022/01/01~2022/12/31","1. GRI Standards GRI 準則","無","無資料","N/A","","https://www.auras.com.tw/zh-hant/content/management-0","","2023/06/26","","","                                                                                                                                                                                                        ","","","","","Kelly_Chen@auras.com.tw                                                                                                 ",""
"3357","臺慶科","TAI-TECH","6. 股本達新臺幣五十億元以上者，但未達新臺幣一百億元以上者","電子零組件業","2022/01/01~2022/12/31","1. GRI Standards GRI 準則","會計師事務所：","1.確信準則公報第一號","資誠聯合會計師事務所","","https://www.tai-tech.com.tw/_upload/files/ESG%20report/2022/2022-Tai-tech_ESG_Report.pdf","","2023/09/14","","","https://www.tai-tech.com.tw/_upload/files/ESG%20report/2022/2022-Tai-tech_ESG_Report_EN.pdf                                                                                                             ","","2023/09/14","","","esg@tai-tech.com.tw                                                                                                     ","無"
"3374","精材","Xintec","5. 股本達新臺幣一百億元以上者","半導體業","2022/01/01~2022/12/31","1. GRI Standards GRI 準則","其他查驗證單位：","1. AA1000 第1類型(Type1 ) 中度保證","英國標準協會(BSI)","","https://www.xintec.com.tw/chi/CSR_CSR_Policy_Reports.aspx","","2023/06/29","","2023/08/29","https://www.xintec.com.tw/eng/Legal/ESG_Policy_Reports.html                                                                                                                                             ","","2023/12/25","","","CSR@xintec.com.tw                                                                                                       ","預計8月底前取得英國標準協會(BSI)保證"
"3388","崇越電","TTC","6. 股本達新臺幣五十億元以上者，但未達新臺幣一百億元以上者","電子零組件業","2022/01/01~2022/12/31","1. GRI Standards GRI 準則","其他查驗證單位：","1. AA1000 第1類型(Type1 ) 中度保證","格瑞國際驗證有限公司","","https://www.topcocorp.com/zh-tw/csr/index/ESG_6","","2023/09/01","","","https://www.topcocorp.com/en-global/csr/index/ESG                                                                                                                                                       ","","2023/12/05","","","patrick.su@topcocorp.com                                                                                                ",""
"3430","奇鈦科","CHITEC","3. 屬化學工業者","化學工業","2022/01/01~2022/12/31","1. GRI Standards GRI 準則","會計師事務所：","1.確信準則公報第一號","安永聯合會計師事務所","","http://www.chitec.com","","2023/06/09","","","                                                                                                                                                                                                        ","","","","","ir@chitec.com                                                                                                           ",""
"3479","安勤","Avalue","6. 股本達新臺幣五十億元以上者，但未達新臺幣一百億元以上者","電腦及週邊設備業","2022/01/01~2022/12/31","1. GRI Standards GRI 準則","無","無資料","N/A","","https://www.avalue.com/tw/esg","","2024/01/24","","","https://www.avalue.com/en/esg                                                                                                                                                                           ","","2024/01/24","","","ESG@avalue.com.tw  / carol_chang@avalue.com.tw                                                                          ",""
"3484","崧騰","SOLTEAM","6. 股本達新臺幣五十億元以上者，但未達新臺幣一百億元以上者","電子零組件業","2022/01/01~2022/12/31","1. GRI Standards GRI 準則","無","無資料","N/A","","https://www.solteam.com.tw/download/SolteamESG20220630.pdf","","2023/08/21","","","                                                                                                                                                                                                        ","","","","","ESG@solteam.com.tw                                                                                                      ",""
"3489","森寶","Sun Brothers","6. 股本達新臺幣五十億元以上者，但未達新臺幣一百億元以上者","建材營造","2022/01/01~2022/12/31","2. OTHERS其他依循標準：自訂揭露架構。","無","無資料","N/A","","http://www.sunbrothers.com.tw/Page/CSRReport","","2023/05/02","","","                                                                                                                                                                                                        ","","","","","jini_hsiao@sunbrothers.com.tw                                                                                           ","無。"
"3491","昇達科","UMT","6. 股本達新臺幣五十億元以上者，但未達新臺幣一百億元以上者","通信網路業","2022/01/01~2022/12/31","1. GRI Standards GRI 準則","無","無資料","N/A","","https://www.umt-tw.com/tw/csr.php","","2023/06/28","","","                                                                                                                                                                                                        ","","","","","invest@umt-tw.com                                                                                                       ",""
"3522","御嵿","TOPLUS","2. 屬餐飲收入占其全部營業收入之比率達百分之五十以上者","觀光餐旅","2022/01/01~2022/12/31","1. GRI Standards GRI 準則","會計師事務所：","1.確信準則公報第一號","國富浩華聯合會計師事務所","","https://www.toplusglobal.com/zh-tw/investor.php?act=report","","2023/09/27","","","                                                                                                                                                                                                        ","","","","","bruce_liu@toplusglobal.com                                                                                              ",""
"3529","力旺","eMemory","6. 股本達新臺幣五十億元以上者，但未達新臺幣一百億元以上者","半導體業","2022/01/01~2022/12/31","1. GRI Standards GRI 準則","無","無資料","N/A","","https://www.ememory.com.tw/zh-TW/About/ESG_Report","","2023/06/30","","2023/11/15","https://www.ememory.com.tw/en-US/About/ESG_Report                                                                                                                                                       ","","2023/06/30","","2023/11/15","ESG@ememory.com.tw                                                                                                      ",""
"3546","宇峻","USERJOY","6. 股本達新臺幣五十億元以上者，但未達新臺幣一百億元以上者","文化創意業","2022/01/01~2022/12/31","1. GRI Standards GRI 準則","無","無資料","N/A","","http://www.userjoy.com.tw/index.html","","2023/06/29","","","https://www.userjoy.com.tw/en/sustainability/sustainability_sustainable_02.aspx                                                                                                                         ","","2023/10/31","","","anny08@uj.com.tw;johnnyhsiao@uj.com.tw                                                                                  ",""
"3548","兆利","JARLLY","6. 股本達新臺幣五十億元以上者，但未達新臺幣一百億元以上者","電子零組件業","2022/01/01~2022/12/31","1. GRI Standards GRI 準則","無","無資料","N/A","","https://www.jarlly.com/esg/download","","2023/09/01","","2023/09/18","                                                                                                                                                                                                        ","","","","","ESG@jarlly.com                                                                                                          ",""
"3558","神準","Senao Networks","6. 股本達新臺幣五十億元以上者，但未達新臺幣一百億元以上者","通信網路業","2022/01/01~2022/12/31","1. GRI Standards GRI 準則","其他查驗證單位：","1. AA1000 第1類型(Type1 ) 中度保證","台灣檢驗科技股份有限公司(SGS)","","https://www.senaonetworks.com","","2023/09/27","","","https://www.senaonetworks.com/en/csr/report-and-resource/                                                                                                                                               ","","2023/12/12","","","Celine.Chen@senao.com                                                                                                   ",""
"3587","閎康","MA-tek","6. 股本達新臺幣五十億元以上者，但未達新臺幣一百億元以上者","其他電子業","2022/01/01~2022/12/31","1. GRI Standards GRI 準則","會計師事務所：","1.確信準則公報第一號","安永聯合會計師事務所","","https://www.matek.com/zh-TW/Download/index/CSRReport/CSRReport","","2023/06/30","","","                                                                                                                                                                                                        ","","","","","stock7@ma-tek.com                                                                                                       ",""
"3594","磐儀","ARBOR","6. 股本達新臺幣五十億元以上者，但未達新臺幣一百億元以上者","電腦及週邊設備業","2022/01/01~2022/12/31","1. GRI Standards GRI 準則","無","無資料","N/A","","https://www.arbor-technology.com/zh-tw/csr-cate-first/CSR","","2023/07/07","","","                                                                                                                                                                                                        ","","","","","IVY@ARBOR.COM.TW                                                                                                        ",""
"3623","富晶通","TTI","6. 股本達新臺幣五十億元以上者，但未達新臺幣一百億元以上者","光電業","2022/01/01~2022/12/31","1. GRI Standards GRI 準則","無","無資料","N/A","","http://www.transtouch.com.tw/doc/CSR2022.pdf","","2023/09/28","","","                                                                                                                                                                                                        ","","","","","T01425@transtouch.com.tw                                                                                                ",""
"3624","光頡","VIKING","6. 股本達新臺幣五十億元以上者，但未達新臺幣一百億元以上者","電子零組件業","2022/01/01~2022/12/31","1. GRI Standards GRI 準則","會計師事務所：","2.ISAE3000","資誠聯合會計師事務所","","http://www.viking.com.tw","","2023/06/30","","2023/09/19","                                                                                                                                                                                                        ","","","","","nicoleyang@viking.com.tw                                                                                                ",""
