"公司代號","公司名稱","英文簡稱","申報原因","產業類別","報告書內容涵蓋期間","編製依循準則","第三方驗證單位","第三方採用標準","會計師確信驗證單位","會計師確信採用標準","會計師確信意見類型","永續報告書網址","永續報告書檔案","上傳日期","修正後報告書","修正後報告書上傳日期","永續報告書英文版網址","永續報告書英文版檔案","英文版上傳日期","英文版修正後報告書","英文版修正後報告書上傳日期","報告書聯絡資訊","備註"
"1213","大西洋飲料股份有限公司","OCEANIC Bev.","屬食品工業者","食品工業","2023/01/01~2023/12/31","GRI準則","","","","","","https://applesidra.com.tw/wp-content/uploads/2024/08/2023%E5%B9%B4%E5%A4%A7%E8%A5%BF%E6%B4%8BESG%E5%A0%B1%E5%91%8A%E6%9B%B8-1120905-V6.pdf","","2024/08/30","","2024/09/30","","","","","","dasiyoung@yahoo.com.tw",""
"1215","台灣卜蜂企業股份有限公司","CPE","屬食品工業者、資本額達新臺幣二十億元以上者","食品工業","2023/01/01~2023/12/31","GRI準則","","","資誠聯合會計師事務所","確信準則3000號(原公報第一號)","有限確信","https://www.cptwn.com.tw/ec99/rwd1453/category.asp?category_id=27","","2024/08/30","","","","","","","","tough@cptwn.com.tw",""
"1216","統一企業股份有限公司","UNI-PRESIDENT","屬食品工業者、資本額達新臺幣二十億元以上者","食品工業","2023/01/01~2023/12/31","GRI準則","","","資誠聯合會計師事務所","確信準則3000號(原公報第一號)","有限確信","https://www.uni-president.com.tw/ESG/index.html","","2024/08/08","","","https://www.uni-president.com.tw/ESG/index.html","","2024/09/06","","","zona.wang@mail.pec.com.tw","無"
"1217","愛之味股份有限公司","AGV","屬食品工業者","食品工業","2023/01/01~2023/12/31","GRI準則","","","國富浩華聯合會計師事務所","確信準則3000號(原公報第一號)","有限確信","https://www.agv.com.tw/投資?專區/永續報告書/","","2024/08/29","","","https://www.agv.com.tw/投資人專區/永續報告書/","","2024/10/29","","","YUEHCHU@mail.agv.com.tw","本報告書依循GRI 準則、SASB、TCFD。"
"1218","泰山企業股份有限公司","TAISUN","屬食品工業者","食品工業","2023/01/01~2023/12/31","GRI準則","","","安永聯合會計師事務所","確信準則3000號(原公報第一號)","有限確信"," https://www.taisun.com.tw/corporate/calendar-year-report/","","2024/08/27","","","https://www.taisun.com.tw/corporate/calendar-year-report/?lang=en","","2024/11/19","",""," CSR@taisun.com.tw","無"
"1219","福壽實業股份有限公司","FWUSOW","屬食品工業者","食品工業","2023/01/01~2023/12/31","GRI準則、TCFD、SASB","","","KPMG 安侯建業聯合會計師事務所","確信準則3000號(原公報第一號)","有限確信","https://esg.fwusow.com.tw/download.php?lang=tw&tb=1&cid=-1","","2024/06/28","","2024/08/07","https://esg.fwusow.com.tw/download.php?lang=en&tb=1&cid=-1","","2024/08/27","","","fwusow@fwusow.com.tw",""
"1220","台榮產業股份有限公司","TAIROUN","屬食品工業者","食品工業","2023/01/01~2023/12/31","GRI準則","","","立本台灣聯合會計師事務所","確信準則3000號(原公報第一號)","有限確信","https://www.tairoun.com.tw/ESGReport.php","","2024/08/20","","2024/08/26","https://www.tairoun.com.tw/ESGReport.php","","2024/08/20","","2024/08/26","csr@tairoun.com.tw",""
"1225","福懋油脂股份有限公司","FOPCO","屬食品工業者、資本額達新臺幣二十億元以上者","食品工業","2023/01/01~2023/12/31","GRI準則","","","Deloitte 勤業眾信聯合會計師事務所","確信準則3000號(原公報第一號)","有限確信","https://www.fopco.com.tw/About.php?ADKey=27","","2024/08/28","","","","","","","","matt.kuo@fopco.com.tw",""
"1227","佳格食品股份有限公司","S.F.C","屬食品工業者、資本額達新臺幣二十億元以上者","食品工業","2023/01/01~2023/12/31","GRI準則","","","KPMG 安侯建業聯合會計師事務所","確信準則3000號(原公報第一號)","有限確信","https://www.sfworldwide.com/sustainability-reports.html","","2024/08/27","","2024/09/23","https://sustainability.sfworldwide.com/en/esg","","2024/09/30","","","ESG@sfworldwide.com",""
"1229","聯華實業控股股份有限公司","LHIHC","屬食品工業者、資本額達新臺幣二十億元以上者","食品工業","2023/01/01~2023/12/31","GRI準則","","","KPMG 安侯建業聯合會計師事務所","確信準則3000號(原公報第一號)","有限確信","https://www.lhicholdings.com/csr/report/","","2024/08/30","","","","","","","","renita.tung@lhic.com.tw",""
"1231","聯華食品工業股份有限公司","Lian Hwa Foods","屬食品工業者、資本額達新臺幣二十億元以上者","食品工業","2023/01/01~2023/12/31","GRI準則","","","Deloitte 勤業眾信聯合會計師事務所","確信準則3000號(原公報第一號)","有限確信","https://pic.vcp.tw/upload/lianhwa/harddisc/file_name_3297.pdf","","2024/08/30","","","","","","","","聯華食品工業股份有限公司 ◆ 聯絡人：人才發展部 古翠雲 ◆ 地址：103 台北市大同區延平北路二段96 號8 樓 ◆ 電話：(02)2552-1666 ext.1751 ◆ 電子郵件： CSR@lianhwa.com.tw ◆ 公司網址 ： www.lianhwa.com.tw/","包含截至2024年07月31日，彰化廠恢復營運狀況之重大事件"
"1232","大統益股份有限公司","TTET","屬食品工業者","食品工業","2023/01/01~2023/12/31","GRI準則","","","資誠聯合會計師事務所","確信準則3000號(原公報第一號)","有限確信","https://www.ttet.com.tw/index.php?option=module&lang=cht&task=showlist&id=17&index=5","","2024/08/02","","","https://www.ttet.com.tw/index.php?option=module&lang=cht&task=showlist&id=17&index=5","","2024/09/18","","","大統益股份有限公司 總經理室　顏鵬洲 地址：台南市官田區二鎮里工業西路32 號 Tel：（06）698-4500 分機220 Fax：（06）698-5530 電子郵箱：ttet@mail.ttet.com.tw 公司網站：http://www.ttet.com.tw",""
"1233","天仁茶業股份有限公司","Ten Ren","屬食品工業者","食品工業","2023/01/01~2023/12/31","GRI準則","","","安永聯合會計師事務所","確信準則3000號(原公報第一號)","有限確信","https://www.tenren.com.tw/Content/Downloads/List.aspx?SiteID=10&MmmID=654047254431755517","","2024/08/13","","","https://www.tenren.com.tw/Content/Downloads/List.aspx?SiteID=11&MmmID=654064364454060775","","2024/11/13","","","irene@tenren.com.tw",""
"1234","黑松股份有限公司","HEY SONG","屬食品工業者、資本額達新臺幣二十億元以上者","食品工業","2023/01/01~2023/12/31","GRI準則","","","Deloitte 勤業眾信聯合會計師事務所","確信準則3000號(原公報第一號)","有限確信","https://www.heysong.com.tw/corporate-social-responsibility/csrreport/","","2024/08/28","","2024/08/29","","","","","","https://www.heysong.com.tw/contact/","無"
"1235","興泰實業股份有限公司","ST","屬食品工業者","食品工業","2023/01/01~2023/12/31","GRI準則","","","秉承聯合會計師事務所","確信準則3000號(原公報第一號)","有限確信","http://www.goldenbrand.com.tw/","","2024/08/30","","","","","","","","acct@goldenbrand.com.tw",""
"1236","宏亞食品股份有限公司","Hunya","屬食品工業者","食品工業","2023/01/01~2023/12/31","GRI準則","","","安永聯合會計師事務所","確信準則3000號(原公報第一號)","有限確信","https://csr.hunya.com.tw/download.php","","2024/08/19","","","https://csr.hunya.com.tw/en/download.php","","2024/08/19","","","charleshsu@hunya.com.tw",""
"1256","鮮活控股股份有限公司","Sunjuice","屬食品工業者","食品工業","2023/01/01~2023/12/31","GRI準則","","","Deloitte 勤業眾信聯合會計師事務所","確信準則3000號(原公報第一號)","有限確信","http://www.myfreshjuice.com/list/?162_1.html","","2024/08/30","","","","","","","","CSR@sunjuice.com.cn",""
"1301","台灣塑膠工業股份有限公司","FPC","資本額達新臺幣二十億元以上者","塑膠工業","2023/01/01~2023/12/31","GRI準則","英國標準協會","AA1000 第1類型(Type1) 中度保證","","","","https://csr.fpc.com.tw/FPC_CSR/csr_download.aspx","","2024/06/26","","","https://csr.fpc.com.tw/FPC_CSR/csr_download.aspx","","2024/09/30","","","fpccsr@fpc.com.tw",""
"1303","南亞塑膠工業股份有限公司","NPC","資本額達新臺幣二十億元以上者","塑膠工業","2023/01/01~2023/12/31","GRI準則","新加坡商英國標準協會集團私人有限公司臺灣分公司(BSI)","AA1000 第1類型(Type1) 中度保證","","","","https://www.npc.com.tw/j2npc/zhtw/csr_report.jsp","","2024/08/30","","","","","","","","NPC_ESG@npc.com.tw",""
"1304","台灣聚合化學品股份有限公司","USI","資本額達新臺幣二十億元以上者","塑膠工業","2023/01/01~2023/12/31","GRI 準則、永續會計準則理事會 (Sustainability Accounting Standards Board，SASB )準則、氣候相關財務揭露建議書（TCFD）架構","","","Deloitte 勤業眾信聯合會計師事務所","確信準則3000號(原公報第一號)","有限確信","https://www.usife.com/ESG/zh-tw/ESG72.aspx","","2024/08/21","","","https://www.usife.com/ESG/ESGFiles/Report/USI_ESG2023_en.pdf","","2024/09/30","","","cally@usig.com","無"
"1305","華夏海灣塑膠股份有限公司","CGPC","資本額達新臺幣二十億元以上者","塑膠工業","2023/01/01~2023/12/31","GRI準則、永續會計準則理事會 (Sustainability Accounting Standards Board，SASB )準則、氣候相關財務揭露建議書 (TCFD) 架構","","","Deloitte 勤業眾信聯合會計師事務所","確信準則3000號(原公報第一號)","有限確信","https://www.cgpc.com.tw/ESG/tw/ESG-Report.aspx","","2024/08/13","","","https://www.cgpc.com.tw/ESG/en/ESG-Report.aspx","","2024/09/27","","","jessicachen@usig.com","本報告書部份資訊揭露回溯至2023年01月01日之前及2024年之內容與績效。"
"1307","三芳化學工業股份有限公司","SAN FANG","資本額達新臺幣二十億元以上者","塑膠工業","2023/01/01~2023/12/31","GRI準則","","","","","","https://www.sanfang.com/interested/%E6%B0%B8%E7%BA%8C%E5%A0%B1%E5%91%8A%E6%9B%B8","","2024/06/25","","","https://www.sanfang.com/en/interested/esg-reports","","2024/09/03","","","jui@sanfang.com.tw",""
"1308","亞洲聚合股份有限公司","APC","資本額達新臺幣二十億元以上者","塑膠工業","2023/01/01~2023/12/31","GRI 準則、永續會計準則理事會 (Sustainability Accounting Standards Board，SASB )準則、氣候相關財務揭露建議書（TCFD）架構","","","Deloitte 勤業眾信聯合會計師事務所","確信準則3000號(原公報第一號)","有限確信","https://www.apc.com.tw/ESG/zh-tw/ESG82.aspx","","2024/08/14","","","https://www.apc.com.tw/en-us/dirESG/frmESGReport.aspx","","2024/09/16","","","shpan@usig.com","無"
"1309","台達化學工業股份有限公司","TTC","資本額達新臺幣二十億元以上者","塑膠工業","2023/01/01~2023/12/31","GRI 準則、永續會計準則理事會 (Sustainability Accounting Standards Board，SASB )準則、氣候相關財務揭露建議書（TCFD）架構","","","Deloitte 勤業眾信聯合會計師事務所","確信準則3000號(原公報第一號)","有限確信","https://www.ttc.com.tw/zh-tw/dirCSRnew/frmReport.aspx","","2024/08/20","","","https://www.ttc.com.tw/zh-tw/dirCSRnew/frmReport_en.aspx","","2024/09/30","","","chungjt@usig.com","無"
"1310","台灣苯乙烯工業股份有限公司","T.S.M.C.","資本額達新臺幣二十億元以上者","塑膠工業","2023/01/01~2023/12/31","GRI準則","亞瑞仕國際驗證股份有限公司","AA1000 第1類型(Type1) 中度保證","","","","https://www.smct.com.tw/Responsibility/responsibility","","2024/08/15","","","","","","","","esg@smct.com.tw",""
"1312","國喬石油化學股份有限公司","GPPC","資本額達新臺幣二十億元以上者","塑膠工業","2023/01/01~2023/12/31","GRI準則","DQS Taiwan Inc. 優麗國際管理系統驗證股份有限公司","AA1000 第1類型(Type1) 中度保證","","","","https://www.gppc.com.tw/gppc/Responsibility.asp","","2024/08/14","","","https://www.gppc.com.tw/gppc/english/Responsibility.asp","","2024/08/14","","","ESG@gppc.com.tw","無"
"1313","聯成化學科技股份有限公司","UPC","資本額達新臺幣二十億元以上者","塑膠工業","2023/01/01~2023/12/31","GRI準則","台灣德國萊因技術監護顧問股份有限公司","AA1000 第1類型(Type1) 中度保證","","","","https://www.upc.com.tw/zh-TW/esg_reports","","2024/08/27","","","https://www.upc.com.tw/en/esg_reports ","","2024/10/07","","","esg@upc.com.tw","無"
"1314","中國石油化學工業開發(股)公司","CPDC","資本額達新臺幣二十億元以上者","塑膠工業","2023/01/01~2023/12/31","GRI準則","英國標準協會(bsi)","AA1000 第2類型(Type2) 高度保證","","","","https://www.cpdc.com.tw/tw/csr_pdf","","2024/08/30","","2024/09/25","https://www.cpdc.com.tw/en/csr_pdf","","2024/10/07","","","csr@cpdc.com.tw",""
"1315","達新工業股份有限公司","TAH HSIN","係自願編製與申報","塑膠工業","2023/01/01~2023/12/31","GRI準則","","","國富浩華聯合會計師事務所","確信準則3000號(原公報第一號)","有限確信","www.tahhsin.com.tw","","2024/08/30","","","","","","","","mjchen@mail.tahhsin.com.tw",""
"1316","上曜建設開發股份有限公司","SUN  YAD","資本額達新臺幣二十億元以上者","建材營造","2023/01/01~2023/12/31","GRI準則","","","","","","www.sunyad.com.tw","","2024/06/14","","","","","","","","sunyad_101@yahoo.com.tw",""
"1319","東陽實業廠股份有限公司","OTN","資本額達新臺幣二十億元以上者","汽車工業","2023/01/01~2023/12/31","GRI準則","","","","","","https://www.tyg.com.tw/ESG-report.html","","2024/06/27","","","https://www.tyg.com.tw/en/responsibility.html","","2024/08/26","","","16503@tyg.com.tw",""
"1321","大洋塑膠工業股份有限公司","OPC","資本額達新臺幣二十億元以上者","塑膠工業","2023/01/01~2023/12/31","GRI準則","格瑞國際驗證有限公司","AA1000 第1類型(Type1) 中度保證","","","","https://www.opc.com.tw/zh-tw/a2-9668/%E6%B0%B8%E7%BA%8C%E7%99%BC%E5%B1%95.html","","2024/08/12","","","","","","","","denny@opc.com.tw",""
"1323","永裕塑膠工業股份有限公司","YONYU","係自願編製與申報","塑膠工業","2023/01/01~2023/12/31","GRI準則","","","","","","https://www.yonyu.com.tw/yonyu/esg.php","","2024/08/28","","","","","","","","電話：06-2793711#131；信箱：hch2470@yonyu.com.tw",""
"1326","台灣化學纖維股份有限公司","FCFC","資本額達新臺幣二十億元以上者","塑膠工業","2023/01/01~2023/12/31","GRI準則","英國標準協會","AA1000 第1類型(Type1) 中度保證","","","","https://www.fcfc.com.tw/data-22345","","2024/06/19","","2024/08/20","https://www.fcfc.com.tw/data-22345","","2024/09/25","","","management@fcfc.com.tw",""
"1337","亞洲塑膠再生資源控股有限公司","Asia Plastic","資本額達新臺幣二十億元以上者","塑膠工業","2023/01/01~2023/12/31","GRI準則","","","德昌聯合會計師事務所","確信準則3000號(原公報第一號)","有限確信","http://asia-recycle.com/governance/responsibility/","","2024/08/29","","2024/10/23","","","","","","weimin831@gmail.com",""
"1338","廣華控股有限公司","Hiroca","係自願編製與申報","汽車工業","2023/01/01~2023/12/31","GRI準則","","","","",""," http://www.hirosawa.com.cn/pdfa.asp?Enterpriseid=195","","2024/08/27","","","","","","","","joey@hirosawa.com.cn",""
"1402","遠東新世紀股份有限公司","FENC","資本額達新臺幣二十億元以上者","紡織纖維","2023/01/01~2023/12/31","GRI準則、TCFD、SASB化學行業指標及上市上櫃公司永續發展實務守則","台灣檢驗科技股份有限公司(SGS)","AA1000 第1類型(Type1) 中度保證","","","","https://csr.fenc.com/report-download?lang=zh","","2024/06/28","","2024/07/26","https://csr.fenc.com/report-download?lang=en","","2024/08/09","","","csr@fenc.com",""
"1409","新光合成纖維股份有限公司","SSFC","資本額達新臺幣二十億元以上者","紡織纖維","2023/01/01~2023/12/31","GRI準則","艾法諾國際股份有限公 司(AFNOR ASIA LTD.) ","AA1000 第1類型(Type1) 中度保證","","","","http://www.shinkong.com.tw/front/investors","","2024/08/26","","2024/09/20","","","","","","qwe@shinkong.com.tw",""
"1413","宏洲纖維工業股份有限公司","H.C.","係自願編製與申報","紡織纖維","2023/01/01~2023/12/31","GRI準則","","","","","","https://www.hungchou.com.tw/our-responsibilities","","2024/08/02","","","","","","","","albert@yijinn.com.tw",""
"1414","東和紡織股份有限公司","TUNG HO","資本額達新臺幣二十億元以上者","紡織纖維","2023/01/01~2023/12/31","GRI準則","","","","","","http://www.tungho.com.tw/userfiles/esgrpt/tunghoesgrpt2024arch.pdf","","2024/08/30","","","","","","","","david@tungho.com.tw","2023年中文版永續報告書將提11月董事會報告"
"1416","廣豐實業股份有限公司","KFIC","係自願編製與申報","其他","2023/01/01~2023/12/31","GRI準則","","","","","","http://www.kfic.com.tw/","","2024/08/29","","","https://www.kfic.com.tw/en/","","2024/08/29","","","joe.cheng@kfic.com.tw",""
"1419","新光紡織股份有限公司","SHINKO.TEXTILE","資本額達新臺幣二十億元以上者","紡織纖維","2023/01/01~2023/12/31","GRI準則","","","","","","https://www.sktextile.com.tw/investors/sustainability/6","","2024/08/13","","","","","","","","ESG永續發展推動小組，電子郵件：ESG@sktextile.com.tw","無"
"1434","福懋興業股份有限公司","F.T.C","資本額達新臺幣二十億元以上者","紡織纖維","2023/01/01~2023/12/31","GRI準則","台灣檢驗科技股份有限公司 (SGS Taiwan)","AA1000 第1類型(Type1) 中度保證","","","","http://www.ftc.com.tw/newftc/respons_report.php","","2024/06/27","","","https://www.ftc.com.tw/newftc/en/respons_report.php","","2024/09/30","","","t113001@ftc.com.tw",""
"1437","勤益投資控股股份有限公司","GTM","資本額達新臺幣二十億元以上者","其他","2023/01/01~2023/12/31","GRI準則","","","","","","https://www.gtm.com.tw/esg/#ESG-Report","","2024/06/05","","","","","","","","adytsai@gtm.com.tw",""
"1439","雋揚國際股份有限公司","ASCENT","係自願編製與申報","建材營造","2023/01/01~2023/12/31","GRI準則","","","","","","https://www.ascentglobal.com.tw/tw/governance/csr/4#A","","2024/08/20","","","","","","","","wesley.lo@ascentglobal.com.tw",""
"1440","臺南紡織股份有限公司","TAINAN SPINNING","資本額達新臺幣二十億元以上者","紡織纖維","2023/01/01~2023/12/31","GRI準則 / 永續會計準則理事會（Sustainability Accounting Standards Board, SASB）準則─服裝、 配件和鞋類 / 氣候相關財務揭露(TCFD) 框架","立恩威國際驗證股份有限公司（DNV Business Assurance Co. Ltd.,DNV）","AA1000 第1類型(Type1) 中度保證","","","","https://www.tainanspin.com.tw/index.php?option=module&lang=cht&task=showlist&id=208&index=8","","2024/08/19","","","https://www.tainanspin.com.tw/index.php?option=module&lang=en&task=showlist&id=405&index=1","","2024/10/25","","","CSR@tainanspin.com.tw",""
"1442","名軒開發股份有限公司","ADVANCETEK","資本額達新臺幣二十億元以上者","建材營造","2023/01/01~2023/12/31","GRI準則","","","","","","https://www.advancetek.com.tw/data/ESG/%E5%90%8D%E8%BB%92%E9%96%8B%E7%99%BC112%E5%B9%B4ESG%E6%B0%B8%E7%BA%8C%E5%A0%B1%E5%91%8A%E6%9B%B8.pdf","","2024/08/27","","","","","","","","ling@advancetek.com.tw",""
"1444","力麗企業股份有限公司","LEALEA","資本額達新臺幣二十億元以上者","紡織纖維","2023/01/01~2023/12/31","GRI準則","","","","","","https://www.lealeagroup.com.tw/project-detail/ll22/","","2024/08/29","","","","","","","","hung0612@lipeng.com.tw",""
"1447","力鵬企業股份有限公司","LP","資本額達新臺幣二十億元以上者","紡織纖維","2023/01/01~2023/12/31","GRI準則","","","","","","https://www.lealeagroup.com.tw/project-detail/lp22/","","2024/08/29","","","","","","","","kenny110@lealea.com.tw",""
"1451","年興紡織股份有限公司","NIEN HSING","資本額達新臺幣二十億元以上者","紡織纖維","2023/01/01~2023/12/31","GRI準則","","","","","","https://www.nhjeans.com/sustainability/sustainability-report/?lang=zh-hant","","2024/08/06","","","","","","","","peter.pan@nhjeans.com;kering.hung@nhjeans.com",""
"1455","集盛實業股份有限公司","ZIG SHENG","資本額達新臺幣二十億元以上者","紡織纖維","2023/01/01~2023/12/31","GRI準則","新加坡商英國標準協會集團私人有限公司臺灣分公司（British Standards Institution , BSI）","AA1000 第1類型(Type1) 中度保證","","","","http://www.zigsheng.com/corporate-social-responsibility-zh/historical-corporate-social-responsibility-reports-zh/","","2024/08/27","","","http://www.zigsheng.com/en/csr/past-csr-reports/","","2024/11/01","","","CSR@zigsheng.com","無"
"1457","宜進實業股份有限公司","YI JINN","資本額達新臺幣二十億元以上者","紡織纖維","2023/01/01~2023/12/31","GRI準則","","","","","","https://www.yijinn.com.tw/our-responsibilities","","2024/07/15","","","","","","","","albert@yijinn.com.tw",""
"1459","聯發紡織纖維股份有限公司","LAN FA","資本額達新臺幣二十億元以上者","紡織纖維","2023/01/01~2023/12/31","GRI準則","","","","","","http://main.lanfa.com.tw/","","2024/06/20","","","","","","","","tpe_hr@lanfa.com.tw",""
"1460","宏遠興業股份有限公司","EVEREST","資本額達新臺幣二十億元以上者","紡織纖維","2023/01/01~2023/12/31","GRI準則","台灣科技檢驗股份有限公司","AA1000 第1類型(Type1) 中度保證","","","","https://esg.everest.com.tw/tw/download","","2024/08/28","","","https://esg.everest.com.tw/tw/download","","2024/08/28","","2024/08/29","taih.chen@everest.com.tw",""
"1464","得力實業股份有限公司","DE LICACY","資本額達新臺幣二十億元以上者","紡織纖維","2023/01/01~2023/12/31","GRI準則","艾法諾國際股份有限公司","AA1000 第1類型(Type1) 中度保證","","","","https://www.delicacy.com.tw/zh-tw/Investor/公司治理/ESG永續報告書","","2024/08/30","","","","","","","","Chuchu5811@delicacy.com.tw",""
"1466","聚隆纖維股份有限公司","Acelon","係自願編製與申報","紡織纖維","2023/01/01~2023/12/31","GRI準則","","","","","","https://www.acelon.com.tw/zh-tw/csr-cate-first/75bec572214c0edf75535683d4cf5b0a","","2024/08/29","","","","","","","","mulan@acelon.com.tw","無"
"1467","南緯實業股份有限公司","TEX-RAY","資本額達新臺幣二十億元以上者","紡織纖維","2023/01/01~2023/12/31","GRI準則 / TCFD/ SASB","","","","","","www.texray.com","","2024/08/27","","","","","","","","02-25215155",""
"1472","三洋實業股份有限公司","TRI OCEAN","係自願編製與申報","建材營造","2023/01/01~2023/12/31","GRI準則","","","","","","https://triocean.com.tw/esg/","","2024/08/13","","","","","","","","kitty@triocean.com.tw",""
"1473","台南企業股份有限公司","TAINAN","係自願編製與申報","紡織纖維","2023/01/01~2023/12/31","GRI準則","","","","","","https://eng.tai-nan.com/sustainability-report?lang=zh","","2024/08/28","","","https://eng.tai-nan.com/sustainability-report","","2024/08/30","","","sq@tai-nan.com",""
"1474","弘裕企業股份有限公司","HONMYUE","係自願編製與申報","紡織纖維","2023/01/01~2023/12/31","GRI準則","","","","","","https://www.textile-hy.com.tw/%E4%BC%81%E6%A5%AD%E7%A4%BE%E6%9C%83%E8%B2%AC%E4%BB%BB/%E6%B0%B8%E7%BA%8C%E5%A0%B1%E5%91%8A%E6%9B%B8.html","","2024/08/30","","","","","","","","MNG-4@honmyue.com.tw",""
"1476","儒鴻企業股份有限公司","ECLAT","資本額達新臺幣二十億元以上者","紡織纖維","2023/01/01~2023/12/31","GRI準則、SASB、TCFD","","","安永聯合會計師事務所","確信準則3000號(原公報第一號)","有限確信","https://www.eclat.com.tw/zh-tw/sustainability/metrics-reports/download-reports/","","2024/08/22","","","https://www.eclat.com.tw/sustainability/metrics-reports/download-reports/","","2024/09/18","","","paul.chiang@eclat.com.tw","無"
"1477","聚陽實業股份有限公司","Makalot　　","資本額達新臺幣二十億元以上者","紡織纖維","2023/01/31~2023/12/31","GRI 2021, TCFD, SASB","","","KPMG 安侯建業聯合會計師事務所","確信準則3000號(原公報第一號)","有限確信","https://www.makalot.com.tw/esg/sustainability-report","","2024/08/16","","","https://www.makalot.com.tw/esg/sustainability-report","","2024/08/16","","","https://www.makalot.com.tw/esg/contact-us",""
