"公司代號","公司名稱","英文簡稱","申報原因","產業類別","報告書內容涵蓋期間","編製依循準則","第三方驗證單位","第三方採用標準","會計師確信驗證單位","會計師確信採用標準","永續報告書網址","永續報告書檔案","上傳日期","修正後報告書","修正後報告書上傳日期","永續報告書英文版網址","永續報告書英文版檔案","英文版上傳日期","英文版修正後報告書","英文版修正後報告書上傳日期","報告書聯絡資訊","備註"
"3088","艾訊","AXIOMTEK","6. 股本達新臺幣五十億元以上者，但未達新臺幣一百億元以上者","電腦及週邊設備業","2021/01/01~2021/12/31","1. GRI Standards GRI 準則","無","無資料","N/A","","https://www.axiomtek.com.tw/Default.aspx?MenuId=AboutUs&ItemId=194&C=%E6%B0%B8%E7%BA%8C%E7%99%BC%E5%B1%95%E5%B0%88%E5%8D%80","","2022/06/29","","","https://www.axiomtek.com/Default.aspx?MenuId=AboutUs&ItemId=818&C=CSR+at+Axiomtek                                                                                                                       ","","2022/12/01","","","skin.huang@axiomtek.com.tw                                                                                              ","無"
"3093","港建*","TKK","6. 股本達新臺幣五十億元以上者，但未達新臺幣一百億元以上者","其他電子業","2021/01/01~2021/12/31","1. GRI Standards GRI 準則","無","無資料","N/A","","https://www.tkk.com.tw/tw/Csr","","2022/09/29","","","https://www.tkk.com.tw/tw/Csr                                                                                                                                                                           ","","2022/12/31","","","nina_lin@tkk.com.tw                                                                                                     ",""
"3105","穩懋","WIN","6. 股本達新臺幣五十億元以上者，但未達新臺幣一百億元以上者","半導體業","2021/01/01~2021/12/31","1. GRI Standards GRI 準則","其他查驗證單位：","3. AA1000 第2類型(Type2 ) 中度保證","台灣檢驗科技股份有限公司(SGS Taiwan Ltd.)","","https://www.winfoundry.com/wincsr/tw/","","2022/06/28","","","https://www.winfoundry.com/wincsr/en/                                                                                                                                                                   ","","2022/06/28","","","wincsr@winfoundry.com                                                                                                   ",""
"3131","弘塑","GPTC","6. 股本達新臺幣五十億元以上者，但未達新臺幣一百億元以上者","其他電子業","2021/01/01~2021/12/31","1. GRI Standards GRI 準則","無","無資料","N/A","","http://www.gptc.com.tw/tw/about/about_detail-12?about-133","","2022/11/01","","","                                                                                                                                                                                                        ","","","","","ESG@gptc.com.tw                                                                                                         ",""
"3152","璟德","ACX","6. 股本達新臺幣五十億元以上者，但未達新臺幣一百億元以上者","通信網路業","2021/01/01~2021/12/31","1. GRI Standards GRI 準則","無","無資料","N/A","","https://www.acxc.com.tw/report","","2022/05/12","","2022/05/12","                                                                                                                                                                                                        ","","","","","invest@acxc.com.tw                                                                                                      ",""
"3205","佰研","SLS","2. 屬餐飲收入占其全部營業收入之比率達百分之五十以上者","生技醫療業","2021/01/01~2021/12/31","1. GRI Standards GRI 準則","會計師事務所：","1.確信準則公報第一號","奕欣會計師事務所","","https://www.naturalbiokey.com/","","2022/09/29","","","                                                                                                                                                                                                        ","","","","","carrie.chang@naturalbiokey.com                                                                                          ",""
"3206","志豐","KINGSTATE","6. 股本達新臺幣五十億元以上者，但未達新臺幣一百億元以上者","電子零組件業","2021/01/01~2021/12/31","1. GRI Standards GRI 準則","無","無資料","N/A","","https://www.kingstate.com.tw/upload/global/1664523762_1.pdf","","2022/09/30","","","                                                                                                                                                                                                        ","","","","","esg@kingstate.com.tw                                                                                                    ",""
"3211","順達","Dynapack","6. 股本達新臺幣五十億元以上者，但未達新臺幣一百億元以上者","電腦及週邊設備業","2021/01/01~2021/12/31","1. GRI Standards GRI 準則","無","無資料","N/A","","https://www.dynapack.com.tw/h/DataDetail?key=iczce&cont=7642","","2022/09/30","","","                                                                                                                                                                                                        ","","","","","nancy.tsai@dynapack.com.tw                                                                                              ",""
"3218","大學光","UNIVERSAL","6. 股本達新臺幣五十億元以上者，但未達新臺幣一百億元以上者","生技醫療業","2021/01/01~2021/12/31","1. GRI Standards GRI 準則","無","無資料","N/A","","https://www.eyecenter.com.tw/investor/investor_a05/","","2022/09/28","","2023/01/16","https://www.eyecenter.com.tw/EN/investor/investor_a05/                                                                                                                                                  ","","2022/09/28","","2023/01/16","sophia.lien@eyecenter.com.tw                                                                                            ","無"
"3224","三顧","MetaTech","6. 股本達新臺幣五十億元以上者，但未達新臺幣一百億元以上者","電子通路業","2021/01/01~2021/12/31","1. GRI Standards GRI 準則","無","無資料","N/A","","https://www.metatech.com.tw/ir/csr","","2022/06/30","","2022/09/27","                                                                                                                                                                                                        ","","","","","amyz@metatech.com.tw                                                                                                    ",""
"3227","原相","PXI","6. 股本達新臺幣五十億元以上者，但未達新臺幣一百億元以上者","半導體業","2021/01/01~2021/12/31","1. GRI Standards GRI 準則","無","無資料","N/A","","https://www.pixart.com/upload/ckfiles/files/2021_PIXART_ESG_REPORT_cht.pdf","","2022/09/07","","","https://www.pixart.com/upload/ckfiles/files/2021_PIXART_ESG_REPORT_en.pdf                                                                                                                               ","","2022/09/07","","","ken_kuo@pixart.com                                                                                                      ",""
"3236","千如","ABC","6. 股本達新臺幣五十億元以上者，但未達新臺幣一百億元以上者","電子零組件業","2021/01/01~2021/12/31","1. GRI Standards GRI 準則","其他查驗證單位：","1. AA1000 第1類型(Type1 ) 中度保證","SGS","","https://www.atec-group.com/csr-139-140-page373","","2022/09/26","","","https://www.atec-group.com/en/csr-139-140-page373                                                                                                                                                       ","","2022/09/26","","","sugar.sun@atec-group.com                                                                                                ",""
"3264","欣銓","Ardentec","6. 股本達新臺幣五十億元以上者，但未達新臺幣一百億元以上者","半導體業","2021/01/01~2021/12/31","2. OTHERS其他依循標準：GRI, TCFD, SASB","其他查驗證單位：","1. AA1000 第1類型(Type1 ) 中度保證","BSI英國標準協會","","https://esg.ardentec.com/zh-TW","","2022/08/01","","","https://esg.ardentec.com/en-global                                                                                                                                                                      ","","2022/08/01","","","esg@ardentec.com                                                                                                        ","永續報告書英文版預計於2022/8/31前上傳網站: https://esg.ardentec.com/en-global"
"3272","東碩","GW","6. 股本達新臺幣五十億元以上者，但未達新臺幣一百億元以上者","電腦及週邊設備業","2021/01/01~2021/12/31","1. GRI Standards GRI 準則","無","無資料","N/A","","http://www.goodway.com.tw/tw/csr.asp","","2022/08/04","","","                                                                                                                                                                                                        ","","","","","pin_chu@goodway.com.tw                                                                                                  ","無"
"3293","鈊象","IGS","6. 股本達新臺幣五十億元以上者，但未達新臺幣一百億元以上者","文化創意業","2021/01/01~2021/12/31","1. GRI Standards GRI 準則","無","無資料","N/A","","https://www.igs.com.tw/investors/cosocial/","","2022/09/13","","","                                                                                                                                                                                                        ","","","","","milkliu@igs.com.tw                                                                                                      ",""
"3294","英濟","Megaforce","6. 股本達新臺幣五十億元以上者，但未達新臺幣一百億元以上者","電子零組件業","2021/01/01~2021/12/31","1. GRI Standards GRI 準則","無","無資料","N/A","","https://www.megaforce.com.tw/zh-tw/Report/SustainabilityReport?sn_id=1","","2022/09/21","","","                                                                                                                                                                                                        ","","","","","pascal_liu@megaforce.com.tw                                                                                             ","無"
"3303","岱稜","UNIVACCO","6. 股本達新臺幣五十億元以上者，但未達新臺幣一百億元以上者","其他電子業","2021/01/01~2021/12/31","1. GRI Standards GRI 準則","其他查驗證單位：","1. AA1000 第1類型(Type1 ) 中度保證","英國標準協會(BSI)","","https://www.univacco.com.tw/tw/csr.php","","2022/09/30","","2022/12/19","                                                                                                                                                                                                        ","","","","","3303HR@ univacco.com.tw                                                                                                 ",""
"3324","雙鴻","AURAS","6. 股本達新臺幣五十億元以上者，但未達新臺幣一百億元以上者","其他電子業","2021/01/01~2021/12/31","1. GRI Standards GRI 準則","無","無資料","N/A","","https://www.auras.com.tw/zh-hant/content/management-0","","2022/06/30","","","                                                                                                                                                                                                        ","","","","","Eli_lee@auras.com.tw                                                                                                    ",""
"3357","臺慶科","TAI-TECH","6. 股本達新臺幣五十億元以上者，但未達新臺幣一百億元以上者","電子零組件業","2021/01/01~2021/12/31","1. GRI Standards GRI 準則","會計師事務所：","1.確信準則公報第一號","資誠聯合會計師事務所","","https://www.tai-tech.com.tw/_upload/files/ESG%20report/2021/2021-Tai-tech_ESG_Report.pdf","","2022/09/30","","","https://www.tai-tech.com.tw/_upload/files/ESG%20report/2021/2021-Tai-tech_ESG_Report_EN.pdf                                                                                                             ","","2022/10/31","","","fan@tai-tech.com.tw                                                                                                     ","無"
"3374","精材","Xintec","6. 股本達新臺幣五十億元以上者，但未達新臺幣一百億元以上者","半導體業","2021/01/01~2021/12/31","1. GRI Standards GRI 準則","其他查驗證單位：","1. AA1000 第1類型(Type1 ) 中度保證","英國標準協會(BSI)","","https://www.xintec.com.tw/chi/CSR_CSR_Policy_Reports.aspx","","2022/06/30","","","                                                                                                                                                                                                        ","","","","","CSR@xintec.com.tw                                                                                                       ",""
"3388","崇越電","TTC","6. 股本達新臺幣五十億元以上者，但未達新臺幣一百億元以上者","電子零組件業","2021/01/01~2021/12/31","1. GRI Standards GRI 準則","其他查驗證單位：","1. AA1000 第1類型(Type1 ) 中度保證","格瑞國際驗證有限公司","","https://www.topcocorp.com/zh-tw/csr/index/CSR_6","","2022/09/22","","","https://www.topcocorp.com/en-global/csr/index/ESG                                                                                                                                                       ","","2022/10/07","","","patrick.su@topcocorp.com                                                                                                ",""
"3489","森寶","Sun Brothers","6. 股本達新臺幣五十億元以上者，但未達新臺幣一百億元以上者","建材營造","2021/01/01~2021/12/31","2. OTHERS其他依循標準：自訂揭露架構。","無","無資料","N/A","","http://www.sunbrothers.com.tw/Page/CSRReport","","2022/04/29","","2022/04/29","                                                                                                                                                                                                        ","","","","","jini_hsiao@sunbrothers.com.tw                                                                                           ","無。"
"3522","御嵿","TOPLUS","2. 屬餐飲收入占其全部營業收入之比率達百分之五十以上者","觀光餐旅","2021/01/01~2021/12/31","1. GRI Standards GRI 準則","會計師事務所：","1.確信準則公報第一號","國富浩華聯合會計師事務所","","https://www.toplusglobal.com/zh-tw/investor.php?act=report","","2022/09/30","","","                                                                                                                                                                                                        ","","","","","Rae_Hsu@toplusglobal.com                                                                                                ",""
"3529","力旺","eMemory","6. 股本達新臺幣五十億元以上者，但未達新臺幣一百億元以上者","半導體業","2021/01/01~2021/12/31","1. GRI Standards GRI 準則","無","無資料","N/A","","https://www.ememory.com.tw/zh-TW/About/ESG_Report","","2022/09/30","","","https://www.ememory.com.tw/en-US/About/ESG_Report                                                                                                                                                       ","","2022/09/30","","","ir@ememory.com.tw                                                                                                       ",""
"3546","宇峻","USERJOY","6. 股本達新臺幣五十億元以上者，但未達新臺幣一百億元以上者","文化創意業","2021/01/01~2021/12/31","2. OTHERS其他依循標準：參照GRI編制","無","無資料","N/A","","http://www.userjoy.com.tw/index.aspx#company/a/c06","","2022/10/14","","","                                                                                                                                                                                                        ","","","","","anny08@uj.com.tw;johnnyhsiao@uj.com.tw                                                                                  ",""
"3558","神準","Senao Networks","6. 股本達新臺幣五十億元以上者，但未達新臺幣一百億元以上者","通信網路業","2021/01/01~2021/12/31","1. GRI Standards GRI 準則","其他查驗證單位：","1. AA1000 第1類型(Type1 ) 中度保證","台灣德國北德技術監護顧問股份有限公司(TUV NORD)","","https://www.senaonetworks.com/csr/report-and-resource/","","2022/11/30","","","https://www.senaonetworks.com/en/csr/report-and-resource/                                                                                                                                               ","","2022/12/27","","","Celine.Chen@senao.com                                                                                                   ",""
"3587","閎康","MA-tek","6. 股本達新臺幣五十億元以上者，但未達新臺幣一百億元以上者","其他電子業","2021/01/01~2021/12/31","1. GRI Standards GRI 準則","會計師事務所：","1.確信準則公報第一號","勤業眾信聯合會計師事務所","","https://www.ma-tek.com/zh-TW/Download/index/CSRReport/CSRReport","","2022/06/30","","","https://www.ma-tek.com/zh-TW/Download/index/CSRReport/CSRReport                                                                                                                                         ","","2022/12/21","","","stock@ma-tek.com                                                                                                        ",""
"3594","磐儀","ARBOR","6. 股本達新臺幣五十億元以上者，但未達新臺幣一百億元以上者","電腦及週邊設備業","2021/01/01~2021/12/31","1. GRI Standards GRI 準則","無","無資料","N/A","","https://www.arbor-technology.com/zh-tw/csr-cate-first/CSR","","2022/06/30","","2022/07/01","                                                                                                                                                                                                        ","","","","","IVY@ARBOR.COM.TW                                                                                                        ",""
"3623","富晶通","TTI","6. 股本達新臺幣五十億元以上者，但未達新臺幣一百億元以上者","光電業","2021/01/01~2021/12/31","1. GRI Standards GRI 準則","無","無資料","N/A","","http://www.transtouch.com.tw/doc/CSR2021.pdf","","2022/09/30","","","                                                                                                                                                                                                        ","","","","","T01425@transtouch.com.tw                                                                                                ",""
"3624","光頡","VIKING","6. 股本達新臺幣五十億元以上者，但未達新臺幣一百億元以上者","電子零組件業","2021/01/01~2021/12/31","1. GRI Standards GRI 準則","其他查驗證單位：","5.其他","BSI英國標準協會","","http://www.viking.com.tw","","2022/06/28","","2022/09/27","                                                                                                                                                                                                        ","","","","","nicoleyang@viking.com.tw                                                                                                ",""
"3628","盈正","ABLEREX","6. 股本達新臺幣五十億元以上者，但未達新臺幣一百億元以上者","其他電子業","2021/01/01~2021/12/31","1. GRI Standards GRI 準則","其他查驗證單位：","1. AA1000 第1類型(Type1 ) 中度保證","格瑞國際驗證有限公司","","https://www.ablerex.com.tw/ch/csr_3_7.php","","2022/09/01","","","https://www.ablerex.com.tw/esg_3_4.php                                                                                                                                                                  ","","2022/11/01","","2022/11/01","jack.teng@ablerex.com.tw                                                                                                ",""
"3629","地心引力","Gravitytai","6. 股本達新臺幣五十億元以上者，但未達新臺幣一百億元以上者","文化創意業","2021/01/01~2021/12/31","1. GRI Standards GRI 準則","其他查驗證單位：","1. AA1000 第1類型(Type1 ) 中度保證","SGS台灣檢驗科技","","https://www.gravitytw.com/esg/list","","2022/09/22","","","                                                                                                                                                                                                        ","","","","","csr@gravitytw.com                                                                                                       ","無"
"3663","鑫科","TTMC","6. 股本達新臺幣五十億元以上者，但未達新臺幣一百億元以上者","其他電子業","2021/01/01~2021/12/31","1. GRI Standards GRI 準則","無","無資料","N/A","","https://reurl.cc/NAMopQ","","2022/06/28","","","                                                                                                                                                                                                        ","","","","","skuo@e-ttmc.com.tw                                                                                                      ",""
"3675","德微","Eris Tech","6. 股本達新臺幣五十億元以上者，但未達新臺幣一百億元以上者","半導體業","2021/01/01~2021/12/31","1. GRI Standards GRI 準則","無","無資料","N/A","","https://www.eris.com.tw/erisSocialResponsibility.php","","2022/10/14","","","                                                                                                                                                                                                        ","","","","","esther.chiu@eris.com.tw                                                                                                 ","無"
"3680","家登","Gudeng","6. 股本達新臺幣五十億元以上者，但未達新臺幣一百億元以上者","半導體業","2021/01/01~2021/12/31","1. GRI Standards GRI 準則","其他查驗證單位：","1. AA1000 第1類型(Type1 ) 中度保證","DNV Business Assurance Co., Ltd.","","https://esg.gudeng.com/?mid=372","","2022/08/29","","","                                                                                                                                                                                                        ","","","","","Yalin.Chen@gudeng.com                                                                                                   ","無。"
"4105","東洋","TTY","6. 股本達新臺幣五十億元以上者，但未達新臺幣一百億元以上者","生技醫療業","2021/01/01~2021/12/31","1. GRI Standards GRI 準則","其他查驗證單位：","1. AA1000 第1類型(Type1 ) 中度保證","英國標準協會(BSI)","","https://ch.tty.com.tw/ec99/rwd1181/Category.asp?category_id=158","","2022/07/04","","","https://eng.tty.com.tw/ec99/rwd1195/Category.asp?category_id=142                                                                                                                                        ","","2022/08/19","","","carol_huang@tty.com.tw                                                                                                  ",""
"4114","健喬","SYNMOSA","6. 股本達新臺幣五十億元以上者，但未達新臺幣一百億元以上者","生技醫療業","2021/01/01~2021/12/31","1. GRI Standards GRI 準則","無","無資料","N/A","","http://www.synmosa.com.tw/TW/CSR/ugC_CSR.asp?ID=5","","2022/09/30","","","                                                                                                                                                                                                        ","","","","","customer@synmosa.com.tw                                                                                                 ",""
"4121","優盛","ROSSMAX","6. 股本達新臺幣五十億元以上者，但未達新臺幣一百億元以上者","生技醫療業","2021/01/01~2021/12/31","2. OTHERS其他依循標準：G3","無","無資料","N/A","","http://60.251.41.252/inv/download/Investor/Rossmax_CSR.pdf","","2022/06/28","","","                                                                                                                                                                                                        ","","","","","max.liu@rossmax.com                                                                                                     ",""
"4123","晟德","Center Lab.","5. 股本達新臺幣一百億元以上者","生技醫療業","2021/01/01~2021/12/31","1. GRI Standards GRI 準則","無","無資料","N/A","","https://www.centerlab.com.tw/","","2022/09/30","","2022/12/21","                                                                                                                                                                                                        ","","","","","yvonne@centerlab.com.tw                                                                                                 ","無"
"4126","太醫","PAHSCO","6. 股本達新臺幣五十億元以上者，但未達新臺幣一百億元以上者","生技醫療業","2021/01/01~2021/12/31","1. GRI Standards GRI 準則","無","無資料","N/A","","http://www.pahsco.com.tw/","","2022/08/10","","","                                                                                                                                                                                                        ","","","","","catherinem@pahsco.com.tw                                                                                                ",""
"4128","中天","MICROBIO","6. 股本達新臺幣五十億元以上者，但未達新臺幣一百億元以上者","生技醫療業","2021/01/01~2021/12/31","1. GRI Standards GRI 準則","其他查驗證單位：","1. AA1000 第1類型(Type1 ) 中度保證","DNV Business Assurance Co., Ltd.","","https://www.twmicrobio.com/home_04.php?p=10&a=110","","2022/09/28","","","https://www.twmicrobio.com/en/home_04.php?p=10&a=104                                                                                                                                                    ","","2022/11/09","","","csr.microbio@microbio.com.tw                                                                                            ",""
"4129","聯合","UOC","6. 股本達新臺幣五十億元以上者，但未達新臺幣一百億元以上者","生技醫療業","2021/01/01~2021/12/31","1. GRI Standards GRI 準則","會計師事務所：","1.確信準則公報第一號","德昌聯合會計師事務所","","https://tw.unitedorthopedic.com/csr/report/","","2022/09/20","","","                                                                                                                                                                                                        ","","","","","tw.service@unitedorthopedic.com                                                                                         ",""
"4153","鈺緯","DIVA Labs.","6. 股本達新臺幣五十億元以上者，但未達新臺幣一百億元以上者","生技醫療業","2021/01/01~2021/12/31","1. GRI Standards GRI 準則","無","無資料","N/A","","http://www.diva.com.tw/zh-tw/news/index/27","","2022/06/30","","","                                                                                                                                                                                                        ","","","","","angel_chian@diva.com.tw                                                                                                 ",""
"4157","太景*-KY","TAIGEN","6. 股本達新臺幣五十億元以上者，但未達新臺幣一百億元以上者","生技醫療業","2021/01/01~2021/12/31","2. OTHERS其他依循標準：GRI準則、永續會計準則(SASB)","無","無資料","N/A","","https://www.taigenbiotech.com/tw/social/report","","2022/12/16","","","                                                                                                                                                                                                        ","","","","","service@taigenbiotech.com                                                                                               ",""
"4162","智擎","PEI","6. 股本達新臺幣五十億元以上者，但未達新臺幣一百億元以上者","生技醫療業","2021/01/01~2021/12/31","1. GRI Standards GRI 準則","會計師事務所：","1.確信準則公報第一號","資誠聯合會計師事務所","","https://www.pharmaengine.com","","2022/09/29","","","https://www.pharmaengine.com                                                                                                                                                                            ","","2022/09/29","","","chihsing.chang@pharmaengine.com                                                                                         ",""
"4174","浩鼎","OBI","6. 股本達新臺幣五十億元以上者，但未達新臺幣一百億元以上者","生技醫療業","2021/01/01~2021/12/31","1. GRI Standards GRI 準則","無","無資料","N/A","","https://www.obipharma.com/zh-hant/esg/","","2022/06/29","","","                                                                                                                                                                                                        ","","","","","slee@obipharma.com                                                                                                      ",""
"4205","中華食","CHUNG HWA","1. 屬食品工業者","食品工業","2021/01/01~2021/12/31","1. GRI Standards GRI 準則","會計師事務所：","1.確信準則公報第一號","資誠聯合會計事務所","","https://www.herngyih.com.tw/stakeholder/8/1.htm","","2022/09/15","","","                                                                                                                                                                                                        ","","","","","herng.jason@msa.hinet.net                                                                                               ",""
