"報告年度:2023","議題:人力發展"
"公司代號","公司名稱","員工福利平均數(每年6/2起公開)(仟元/人)-員工福利平均數(每年6/2起公開)(仟元/人)","員工薪資平均數(每年6/2起公開)(仟元/人)-員工薪資平均數(每年6/2起公開)(仟元/人)","非擔任主管職務之全時員工薪資平均數(每年7/1起公開)(仟元/人)-非擔任主管職務之全時員工薪資平均數(每年7/1起公開)(仟元/人)","非擔任主管職務之全時員工薪資中位數(每年7/1起公開)(仟元/人)-非擔任主管職務之全時員工薪資中位數(每年7/1起公開)(仟元/人)","管理職女性主管占比-管理職女性主管占比","職業災害-人數","職業災害-比率","職業災害-類別","火災-件數","火災-死傷人數","火災-比率(死傷人數/員工總人數)"
"=""3625""","西勝","1,121","951","810","729","36.00%","0","0.00%","","0","0","0"
"=""3628""","盈正","957","816","796","690","0.17%","1","0.29%","","0","0","0"
"=""3629""","地心引力","1,269","1,075","587","423","25.00%","0","0.00%","","0","0","0"
"=""3630""","新鉅科","1,091","915","803","703","7.20%","0","0.00%","","0","0","0"
"=""3631""","晟楠","912","776","616","499","20.00%","0","0.00%","無","0","0","0"
"=""3632""","研勤","1,508","1,303","935","730","40.74%","0","0.00%","","0","0","0"
"=""3646""","艾恩特","2,297","2,049","971","940","33.33%","0","0.00%","N/A","0","0","0"
"=""3663""","鑫科","943","774","738","730","26.00%","1","0.48%","未分類其他金屬製品製造業","0","0","0"
"=""3664""","安瑞-KY","N/A","N/A","N/A","N/A","27.27%","0","0.00%","","0","0","0"
"=""3666""","光耀","708","609","565","522","25.00%","0","0.00%","","0","0","0"
"=""3672""","康聯訊","1,056","894","836","711","16.67%","0","0.00%","N/A","0","0","0"
"=""3675""","德微","769","604","675","573","45.16%","3","0.99%","","0","0","0"
"=""3680""","家登","1,072","931","891","774","34.14%","3","0.46%","","0","0","0"
"=""3684""","榮昌","1,101","930","753","593","22.22%","0","0.00%","","0","0","0"
"=""3685""","元創精密","1,350","1,135","680","724","16.67%","9","0.02%","","0","0","0"
"=""3687""","歐買尬","1,088","955","760","698","55.00%","0","0.00%","","0","0","0"
"=""3689""","湧德","1,502","1,256","1,098","1,005","0.85%","0","0.00%","","0","0","0"
"=""3691""","碩禾","924","768","792","673","32.81%","0","0.00%","","0","0","0"
"=""3693""","營邦","1,522","1,381","1,419","1,201","11.11%","0","0.00%","","0","0","0"
"=""3707""","漢磊","1,175","982","930","835","30.00%","0","0.00%","不適用","0","0","0"
"=""3709""","鑫聯大投控","3,182","2,921","744","598","10.00%","0","0.00%","","0","0","0"
"=""3710""","連展投控","1,194","995","842","738","36.24%","3","0.33%","深圳-交通事故/天鑫-與有害物接觸","0","0","0"
"=""3713""","新晶投控","1,626","1,438","479","373","21.43%","0","0.00%","","0","0","0"
"=""4102""","永日","930","799","733","667","4.26%","1","0.71%","","0","0","0"
"=""4105""","東洋","1,594","1,299","1,244","1,051","48.33%","1","0.00%","","0","0","0"
"=""4107""","邦特","762","641","607","535","24.00%","6","0.14%","","0","0","0"
"=""4109""","加捷生醫","967","845","491","481","17.00%","0","0.00%","","0","0","0"
"=""4111""","濟生","704","606","579","542","35.29%","1","0.00%","氣爆事件","1","1","0.00%"
"=""4113""","聯上","1,032","880","627","628","40.00%","0","0.00%","","0","0","0"
"=""4114""","健喬","1,372","1,191","1,123","836","44.00%","0","0.00%","未辨識職業災害類別","0","0","0"
"=""4116""","明基醫","1,121","945","882","827","20.00%","0","0.00%","","0","0","0"
"=""4120""","友華","1,373","1,198","1,112","957","49.00%","0","0.00%","N/A","0","0","0"
"=""4121""","優盛","879","731","693","609","41.46%","0","0.00%","","0","0","0"
"=""4123""","晟德","1,120","927","957","831","67.65%","0","0.00%","","0","0","0"
"=""4126""","太醫","697","579","578","501","56.00%","0","0.00%","112年度零職災","0","0","0"
"=""4127""","天良","809","687","536","483","46.15%","0","0.00%","N/A","0","0","0"
"=""4128""","中天","1,186","1,025","942","729","61.90%","0","0.00%","","0","0","0"
"=""4129""","聯合","1,045","906","820","726","37.04%","4","0.00%","1. 割傷1件：媒介物為手術刀。 2. 擦傷2件：媒介物為研磨輪。 3. 感電1件：媒介物為加熱爐。","2","0","0.00%"
"=""4130""","健亞","1,052","906","879","797","35.00%","0","0.00%","","0","0","0"
"=""4131""","浩泰","836","716","605","572","19.23%","0","0.00%","","0","0","0"
"=""4138""","曜亞","1,172","992","969","812","20.00%","0","0.00%","","0","0","0"
"=""4139""","馬光-KY","N/A","N/A","N/A","N/A","71.43%","0","0.00%","","0","0","0"
"=""4147""","中裕","1,531","1,176","1,005","857","56.00%","0","0.00%","","0","0","0"
"=""4153""","鈺緯","1,083","924","818","698","19.05%","0","0.00%","","0","0","0"
"=""4154""","樂威科-KY","N/A","N/A","N/A","N/A","25.00%","0","0.00%","","0","0","0"
"=""4157""","太景*-KY","N/A","N/A","N/A","N/A","20.00%","0","0.00%","","0","0","0"
"=""4160""","訊聯基因","1,072","906","892","775","55.00%","0","0.00%","","0","0","0"
"=""4161""","聿新科","728","605","561","483","64.71%","2","1.14%","","0","0","0"
"=""4162""","智擎","2,593","2,160","1,696","1,509","20.00%","0","0.00%","","0","0","0"
"=""4163""","鐿鈦","798","682","629","498","0.06%","13","1.67%","","2","0","0.00%"
"=""4167""","松瑞藥","893","743","680","629","18.29%","4","1.28%","","0","0","0"
"=""4168""","醣聯","1,087","924","771","695","75.00%","0","0.00%","N/A","0","0","0"
"=""4171""","瑞基","883","734","599","549","42.11%","1","0.01%","","0","0","0"
"=""4173""","久裕","934","786","738","657","46.34%","0","0.00%","","0","0","0"
"=""4174""","浩鼎","1,928","1,678","1,109","1,004","36.36%","0","0.00%","","0","0","0"
"=""4175""","杏一","565","466","591","542","30.77%","91","5.30%","","0","0","0"
"=""4183""","福永生技","1,043","875","708","571","11.43%","2","1.53%","","0","0","0"
"=""4188""","安克","1,327","1,151","870","706","63.60%","0","0.00%","N/A","0","0","0"
"=""4192""","杏國","962","809","651","599","0.00%","0","0.00%","","0","0","0"
"=""4198""","欣大健康","1,760","1,544","665","568","5.06%","0","0.00%","","0","0","0"
"=""4205""","中華食","914","763","678","659","31.80%","3","1.01%","","1","0","0.00%"
"=""4207""","環泰","844","711","677","660","0.01%","5","0.03%","","0","0","0"
"=""4303""","信立","779","652","512","439","17.65%","0","0.00%","","0","0","0"
"=""4304""","勝昱","658","541","418","445","50.00%","0","0.00%","","0","0","0"
"=""4305""","世坤","958","833","737","618","2.00%","0","0.00%","","0","0","0"
"=""4401""","東隆興","714","571","583","502","29.09%","5","1.15%","","0","0","0"
"=""4402""","福大","1,076","947","774","769","0.00%","0","0.00%","","0","0","0"
"=""4406""","新昕纖","647","545","502","442","1.72%","0","0.00%","N/A","0","0","0"
"=""4413""","飛寶企業","851","708","607","564","22.95%","0","0.00%","N/A","0","0","0"
"=""4416""","三圓","1,467","1,258","1,051","809","25.00%","0","0.00%","","0","0","0"
"=""4417""","金洲","900","775","721","602","59.42%","9","5.00%","1.上下班交通事故 2.執行職務","0","0","0"
"=""4419""","元勝","1,141","984","435","409","13.55%","0","0.00%","N/A","0","0","0"
"=""4420""","光明","588","497","622","557","20.00%","0","0.00%","無","0","0","0"
"=""4430""","耀億","670","556","492","426","30.00%","1","0.28%","","0","0","0"
"=""4432""","銘旺實","1,088","915","922","777","50.00%","0","0.00%","","0","0","0"
"=""4433""","興采","791","681","661","588","50.94%","0","0.00%","","0","0","0"
"=""4442""","竣邦-KY","N/A","N/A","N/A","N/A","54.38%","0","0.00%","","0","0","0"
"=""4502""","健信","729","622","598","575","15.38%","2","1.10%","","0","0","0"
"=""4503""","金雨","563","462","497","458","17.50%","0","0.00%","","0","0","0"
"=""4506""","崇友","1,149","982","915","900","7.48%","22","1.61%","","0","0","0"
"=""4510""","高鋒","744","623","610","577","15.79%","1","0.35%","","0","0","0"
"=""4513""","福裕","804","685","611","585","12.50%","1","0.05%","","0","0","0"
"=""4523""","永彰","962","819","712","628","5.56%","3","1.74%","","0","0","0"
"=""4527""","方方土霖","1,041","877","800","762","18.00%","0","0.00%","","0","0","0"
"=""4528""","江興鍛","608","516","576","532","3.57%","0","0.00%","","0","0","0"
"=""4529""","淳紳","1,189","1,019","645","667","13.00%","0","0.00%","","0","0","0"
"=""4530""","宏易","498","389","480","444","55.00%","3","1.90%","","0","0","0"
"=""4533""","協易機","971","854","725","674","16.67%","0","0.00%","","0","0","0"
"=""4534""","慶騰","573","452","509","461","3.03%","0","0.00%","","0","0","0"
"=""4535""","至興","639","473","513","464","29.60%","0","0.00%","112年無職害災害事件","0","0","0"
