"報告年度:2023","議題:投資人溝通"
"公司代號","公司名稱","公司年度召開法說會次數(次)-公司年度召開法說會次數(次)","利害關係人或公司治理專區連結-利害關係人或公司治理專區連結"
"=""3093""","港建*","0","www.tkk.com/website/finance/website/financeD2.asp"
"=""3095""","及成","0","https://www.chicheng.com.tw/tc/investment_list.php?cid=14"
"=""3105""","穩懋","12","http://www.winfoundry.com/zh_TW/stakeholders.aspx"
"=""3114""","好德","1","www.howteh.com.tw/stakeholder.html"
"=""3115""","富榮綱","0","http://www.tscl.com.tw"
"=""3118""","進階","2","http://www.level.com.tw/html/front/bin/ptlist.phtml?Category=332381"
"=""3122""","笙泉","2","www.megawin.com.tw/zh-tw/about/index/34"
"=""3128""","昇銳","0","www.hisharp.com/index.php/zh/layout-38/layout-16"
"=""3131""","弘塑","1","http://www.gptc.com.tw/tw/qa"
"=""3141""","晶宏","1","www.ultrachip.com"
"=""3147""","大綜","2","NA"
"=""3152""","璟德","2","http://www.acxc.com.tw/non-con.php?page=9"
"=""3162""","精確","3","mops.twse.com.tw"
"=""3163""","波若威","1","http://www.browave.com"
"=""3169""","亞信","1","https://www.asix.com.tw"
"=""3171""","新洲","1","http://www.xinchio.com/stakeholder.php"
"=""3176""","基亞","1","http://www.medigen.com.tw/zh/連絡我們-2/"
"=""3178""","公準","1","www.gongin.com.tw"
"=""3188""","鑫龍騰","1","www.gltd.com.tw"
"=""3191""","雲科","1","http://www.holdjinn.com.tw"
"=""3202""","樺晟","1","http://www.high-tek.com.tw"
"=""3205""","佰研","1","http://www.naturalbiokey.com"
"=""3206""","志豐","1","https://www.kingstate.com.tw/invested/49"
"=""3207""","耀勝","0","http://www.top-nation.com/stock.html"
"=""3211""","順達","1","www.dynapack.com.tw"
"=""3213""","茂訊","0","http://eng.crete.com.tw/stock.htm"
"=""3217""","優群","2","www.argosy.com.tw"
"=""3218""","大學光","8","https://www.uvb.com.tw/contact/contact_a04/"
"=""3219""","倚強科","1","https://www.aether-tek.com/"
"=""3221""","台嘉碩","3","http://www.taisaw.com"
"=""3224""","三顧","1","https://www.metatech.com.tw/tw/ir/stackholder"
"=""3226""","至寶電","1","https://topower.com.tw/%e4%bc%81%e6%a5%ad%e7%a4%be%e6%9c%83%e8%b2%ac%e4%bb%bb/%e5%88%a9%e5%ae%b3%e9%"
"=""3227""","原相","4","http://www.pixart.com.tw/ch/investor_8.asp"
"=""3228""","金麗科","1","https://www.rdc.com.tw/"
"=""3230""","錦明","1","http://www.jmg.com.tw"
"=""3232""","昱捷","0","http://www.sentronic.com.tw/利害關係人專區.html"
"=""3234""","光環","1","http://www.truelight.com.tw/tw/stakeholder/InvestorRelations.aspx"
"=""3236""","千如","1","www.atec-group.com"
"=""3252""","海灣","0","www.haiwan.tw"
"=""3259""","鑫創","1","www.3system.com.tw"
"=""3260""","威剛","2","https://www.adata.com/tw/investor/governance/?tab=STAKEHOLDER_CONTACT_POINT"
"=""3264""","欣銓","2","https://web.ardentec.com/?m=111"
"=""3265""","台星科","1","www.winstek.com.tw/engagement_chinese.htm"
"=""3268""","海德威","0","www.higherway.com.tw"
"=""3272""","東碩","1","www.goodway.com.tw"
"=""3276""","宇環","1","http://www.tht-pcb.com.tw/Social_Responsibility.html"
"=""3284""","太普高","1","www.ctptop.com.tw"
"=""3285""","微端","0","http://www.microtips.com.tw/zh-TW/invest_3/index"
"=""3287""","廣寰科","0","http://www.kworld-global.com"
"=""3288""","點晶","0","http://www.siti.com.tw/info/info9.html"
"=""3289""","宜特","2","www.istgroup.com"
"=""3290""","東浦","1","http://www.donpon.com/webls-zh-tw/msg/message-利害關係人專區-32.html"
"=""3293""","鈊象","2","https://www.igs.com.tw/investors/"
"=""3294""","英濟","1","https://www.megaforce.com.tw/zh-tw/Html/Stakeholder"
"=""3297""","杭特","0","www.hunt.com.tw"
"=""3303""","岱稜","1","https://www.univacco.com.tw/contactus-2.htm"
"=""3306""","鼎天","1","http://tw.royaltek.com/aboutus/investors.aspx"
"=""3310""","佳穎","0","oscar@chialin.com.tw"
"=""3313""","斐成","1","http://www.fce.com.tw/Investor.html"
"=""3317""","尼克森","1","https://www.niko-sem.com/portal_a1.php?owner_num=a1_72404&button_num=a1"
"=""3322""","建舜電","1","jem.ir@jem.com.tw"
"=""3323""","加百裕","1","https://zh-tw.celxpert.com.tw/data_5939"
"=""3324""","雙鴻","11","https://www.auras.com.tw/zh-hant/node/250"
"=""3325""","旭品","1","http://www.casing.com.tw/investor.php?id=25&nid=14"
"=""3332""","幸康","0","http://www2.cincon.com/chinese_4_01.html"
"=""3339""","泰谷","1","http://www.tekcore.com.tw/index.php?option=com_content&task=section&id=15&Itemid=185"
"=""3349""","寶德","0","http://www.dexin.com.tw/web/investors/investors.jsp"
"=""3354""","律勝","1","www.microcosm.com.tw"
"=""3357""","臺慶科","0","https://www.tai-tech.com.tw/finance"
"=""3360""","尚立","1","http://www.sunnic.com/chinese/04_about/01_about.php?AID=19"
"=""3362""","先進光","1","www.aoet.com.tw"
"=""3363""","上詮","1","www.foci.com.tw"
"=""3372""","典範","1","http://www.ticp.com.tw/zh-tw/%E5%85%AC%E5%8F%B8%E6%B2%BB%E7%90%86%E6%B8%85%E5%96%AE"
"=""3373""","熱映","0","http://www.radiantek.com.tw/investment/investment_c.asp"
"=""3374""","精材","2","https://www.xintec.com.tw/chi/IT/AX_Contact-Us.html"
"=""3379""","彬台","0","www.taibeco.com/tw/investment/financial_statement"
"=""3388""","崇越電","4","HTTP://WWW.TOPCOCORP.COM"
"=""3390""","旭軟","1","http://www.sunflex.com.tw/IR_4_3.php"
"=""3402""","漢科","1","http://www.wholetech.com.tw/wholetech/views/s_c_r/Stakeholder.php"
"=""3426""","台興","0","www.tai-shing.com.tw"
"=""3430""","奇鈦科","0","www.chitec.com"
"=""3434""","哲固","0","http://www.acula.com.tw"
"=""3438""","類比科","0","http://www.aat-ic.com/zh-tw/investor.php?category=179"
"=""3441""","聯一光電","0","http://www.t-unique.com/"
"=""3444""","利機","4","www.niching.com.tw/"
"=""3455""","由田","0","http://www.utechzone.com.tw/webc/html/responsibility/index.aspx?kid=74"
"=""3465""","進泰電子","0","https://naeaudio.com/?page_id=957"
"=""3466""","德晉","1","https://www.skardin.com/zh/%e4%b8%bb%e8%a6%81%e8%82%a1%e6%9d%b1/"
"=""3479""","安勤","1","www.avalue.com/en/investor"
"=""3483""","力致","1","http://www.forcecon.com/webc/html/about/index.aspx?type=1&num=48"
"=""3484""","崧騰","1","https://www.solteam.com.tw/index.php?route=esg/esg&esg_id=38"
"=""3489""","森寶","1","http://sunbrothers.com.tw/Page/CONTACT"
"=""3490""","單井","0","http://www.singlewell.com.tw/investor/stakes"
"=""3491""","昇達科","7","www.umt-tw.com"
"=""3492""","長盛","0","http://www.actt.co/articleGovern.php?id=142&logoSort=govern"
"=""3498""","陽程","1","http://www.usuntek.com.tw/homeweb/investors.php?level=2&menu1=M100005"
"=""3499""","環天科","0","http://www.globalsat.com.tw/tw/about.php?menu=1&cnt_id=1"
"=""3508""","位速","1","http://www.waystech.net/zh-tw/investors/index/investors_sample_02"
"=""3511""","矽瑪","1","www.simulatechnology.com"
"=""3512""","皇龍","1","https://www.hldc.com.tw/investors/article/78/"
"=""3516""","亞帝歐","0","www.adotek.com.tw"
"=""3520""","華盈","1","www.jve-tech.com"
"=""3521""","鴻翊","1","http://www.datavan.com.tw/"
"=""3522""","御頂","0","www.toplusglobal.com/%E8%82%A1%E6%9D%B1%E5%B0%88%E5%8D%80/"
"=""3523""","迎輝","1","www.efun.com.tw"
"=""3526""","凡甲","0","http://www.otop.com.tw/zh-tw/Page/stakeholder_explanation#"
"=""3527""","聚積","4","https://www.mblock.com.tw/zh-tw/investordetail/3/4"
"=""3529""","力旺","4","https://www.ememory.com.tw/zh-TW/About/Stakeholder"
"=""3531""","先益","1","http://www.shianyih.com/financial-report.html"
"=""3537""","堡達","0","www.podak.com.tw/interested_parties/interested_parties.aspx"
"=""3540""","曜越","1","http://www.thermaltakecorp.com/tw/investor.aspx"
"=""3541""","西柏","0","http://zh-tw.cypress.com.tw/comsoft.asp"
"=""3546""","宇峻","2","http://www.userjoy.com.tw/index.aspx#stakeholder/h/e01"
"=""3548""","兆利","4","http://www.jarlly.com"
"=""3551""","世禾","0","www.sht.com.tw"
"=""3552""","同致","2","www.tungthih.com.tw/investor01.php?show=2"
"=""3555""","博士旺","0","www.iroc.com.tw"
"=""3556""","禾瑞亞","1","https://www.eeti.com"
"=""3558""","神準","2","https://www.senaonetworks.com/csr/management-of-csr/"
"=""3564""","其陽","1","www.aewin.com/zh-hant/stakeholder-service/"
"=""3567""","逸昌","0","http://www.etrendtech.tw/"
"=""3570""","大塚","0","https://www.oitc.com.tw/interestedparty"
"=""3577""","泓格","0","https://www.icpdas.com/tw/investor_relations/stakeholder.php"
"=""3580""","友威科","2","https://www.uvat.com/stakeholder.html"
"=""3581""","博磊","0","www.zenvoce.com"
"=""3587""","閎康","5","http://www.ma-tek.com/zh-tw/investors/index/ir_stakeholder_engagement"
"=""3594""","磐儀","1","www.arbor-technology.com"
"=""3597""","映興","0","http://www.avertronics.com"
"=""3609""","三一東林","0","www.hepgroup.net"
"=""3611""","鼎翰","4","www.tscprinters.com"
"=""3615""","安可","1","http://www.aimcore.com.tw/p3-4.htm"
"=""3623""","富晶通","1","http://www.transtouch.com.tw/#stkSection"
"=""3624""","光頡","1","http://www.viking.com.tw"
"=""3625""","西勝","1","www.c-techone.com"
"=""3628""","盈正","2","http://www.ablerex.com.tw/ch/about_8-4-4.php"
"=""3629""","地心引力","1","www.gravitytw.com"
"=""3630""","新鉅科","1","http://www.newmax.com.tw/?page_id=2102"
"=""3631""","晟楠","1","http://www.chernan.com/home.asp?Pager=Web1/a_5.htm"
"=""3632""","研勤","0","http://www.papagoinc.com"
"=""3646""","艾恩特","0","https://www.ant-precision.com.tw/corporate-governance"
"=""3663""","鑫科","2","http://goo.gl/dvnP3o"
"=""3664""","安瑞-KY","1","www.arrayinc.com.tw"
"=""3666""","光耀","0","www.optivtech.com"
"=""3672""","康聯訊","0","https://www.ctsystem.com/en/investors/stakeholders/"
"=""3675""","德微","6","http://www.eris.com.tw/tw/menu-tw-stakeholder"
"=""3680""","家登","5","http://www.gudeng.com/index.php/tw/investor-5/2013-09-05-10-01-29/2015-12-31"
"=""3684""","榮昌","1","http://www.grand-tek.com"
"=""3685""","元創精密","1","Http://www.tradetools.com.tw"
"=""3687""","歐買尬","2","http://www.macrowell.com.tw/"
"=""3689""","湧德","1","https://www.ude-corp.com/tw/csr"
"=""3691""","碩禾","1","http://www.gigasolar.com.tw/"
"=""3693""","營邦","0","www.aicipc.com"
"=""3707""","漢磊","1","https://www.episil.com"
"=""3709""","鑫聯大投控","2","www.TrigoldHoldings.com"
"=""3710""","連展投控","1","www.acon-holding.com"
"=""3713""","新晶投控","1","www.hsinjing-holding.com.tw"
"=""4102""","永日","1","http://www.yungzip.com"
"=""4105""","東洋","4","http://ch.tty.com.tw/ec99/rwd1181/category.asp?Xcategory_id=1&category_id=12"
"=""4107""","邦特","2","http://www.bioteq.com.tw/zh-tw/tag/investor"
"=""4109""","加捷生醫","1","https://www.jiajiebio.com/tw/index.asp?au_id=242&sub_id=308#"
"=""4111""","濟生","1","www.cscp.com.tw"
"=""4113""","聯上","1","http://kh.vvvvv.com.tw/p4-1-10.asp"
"=""4114""","健喬","2","https://www.synmosa.com.tw/tw/home/Default.asp"
"=""4116""","明基醫","1","www.BenQMedicalTech.com"
"=""4120""","友華","1","http://www.oep.com.tw/zh-tw/ams/ir_1"
"=""4121""","優盛","1","www.rossmax.com"
"=""4123""","晟德","1","www.centerlab.com.tw"
"=""4126""","太醫","6","http://tw.pahsco.com.tw/website-94"
"=""4127""","天良","1","www.tlb.com.tw"
"=""4128""","中天","2","http://twmicrobio.com/home_04.php?p=10&a=7"
"=""4129""","聯合","3","https://tw.unitedorthopedic.com/"
"=""4130""","健亞","1","www.genovate-bio.com/chinese/Newup_f.htm"
"=""4131""","浩泰","1","www.neocore.com.tw"
"=""4138""","曜亞","2","http://www.dmttw.com.tw/newslist/index.aspx?id=2"
"=""4139""","馬光-KY","1","https://mk-healthcare.com/stakeholder"
"=""4147""","中裕","1","http://www.taimedbiologics.com/cht/contact/contact_us"
"=""4153""","鈺緯","1","http://www.diva.com.tw/zh-tw/investor/index/5"
"=""4154""","樂威科-KY","1","https://www.raku-tec.com.tw/"
"=""4157""","太景*-KY","1","http://www.taigenbiotech.com.tw/Product/4-2"
"=""4160""","訊聯基因","1","www.gga.asia/tc/Overview/Investors/about_news_detail/23"
"=""4161""","聿新科","1","http://www.bioptik.com.tw/"
"=""4162""","智擎","4","https://www.pharmaengine.com/sustainability/sustainability_2/33"
"=""4163""","鐿鈦","1","http://ir.intai.com.tw/?act=interested"
"=""4167""","松瑞藥","1","http://www.saviorlifetec.com.tw/zh/investors-7"
"=""4168""","醣聯","1","http://www.glyconex.com.tw/investor.php"
"=""4171""","瑞基","1","www.genereach.com"
"=""4173""","久裕","2","https://www.arich.com.tw/contact.php"
"=""4174""","浩鼎","2","http://www.obipharma.com/"
"=""4175""","杏一","2","https://www.medfirst.com.tw/page/StakeholderEngagement-4"
"=""4183""","福永生技","1","http://www.epsbio.com.tw/"
"=""4188""","安克","1","https://www.amcad.com.tw/tw/investor/interested_parties"
"=""4192""","杏國","1","http://www.syncorebio.com/?page=Invest&item=Stakeholder"
"=""4198""","欣大健康","1","www.swissray.com"
"=""4205""","中華食","1","https://www.herngyih.com.tw/company/all/1.htm"
"=""4207""","環泰","1","www.fructose.com.tw"
"=""4303""","信立","1","http://www.hsinli.com.tw/index.php?option=module&lang=cht&task=showlist&id=35&index=7"
"=""4304""","勝昱","0","https://lurl.cc/TfhjKX"
"=""4305""","世坤","0","http://www.shihkuen.com.tw/data/link-8/Stakeholder.pdf"
"=""4401""","東隆興","1","http://www.tloong.com.tw"
"=""4402""","福大","0","http://j-d.com.tw/home"
"=""4406""","新昕纖","0","www.hsinsin.com.tw"
"=""4413""","飛寶企業","2","http://www.estga.com/service_4.html"
"=""4416""","三圓","1","http://www.shanyuan.com.tw/p9-stakeholder.php"
"=""4417""","金洲","1","https://www.king-net.com.tw/tw/stakeholder.html"
"=""4419""","元勝","0","http://www.ensureglobal.com.tw/msgc6b5.html?mid=4&cid=4&lg=T&lg=T"
"=""4420""","光明","1","http://www.kwangming.com/email/email01.htm"
"=""4430""","耀億","0","http://www.yaoi.com.tw/webc/html/service/05.aspx?kind=19"
"=""4432""","銘旺實","0","http://www.haksport.com/"
"=""4433""","興采","2","http://www.singtex.com/TW/press/?type=200&cid=29"
"=""4442""","竣邦-KY","0","https://www.jb-group.com.tw/投資人關係"
"=""4502""","健信","0","www.rostawheels.com.tw"
"=""4503""","金雨","1","www.alona.com.tw"
"=""4506""","崇友","3","http://www.gfc.com.tw"
"=""4510""","高鋒","1","http://www.kafo.com.tw/_chinese/02_about/01_detail.php?pid=5"
"=""4513""","福裕","1","https://www.chevaliertw.com/zh-tw/investor-area/investor-2"
"=""4523""","永彰","1","www.everbrite.com.tw"
"=""4527""","方方土霖","1","www.kuenling.com.tw"
"=""4528""","江興鍛","1","http://www.ch-forging.com.tw/cont01.asp"
"=""4529""","淳紳","1","www.eptech.tw"
"=""4530""","宏易","1","www.honyigroup.com"
"=""4533""","協易機","1","https://zh-tw.seyi.com/list/stakeholder-engagement.htm"
"=""4534""","慶騰","1","http://www.trinity-ptc.com/c-investment-10.html"
"=""4535""","至興","1","www.fineblanking.com.tw"
"=""4538""","大詠城","0","www.wsmc.com.tw"
"=""4541""","晟田","4","www.maicl.com"
"=""4542""","科嶠","1","http://www.asianeotech.com"
"=""4543""","萬在","0","http://www.manzai.com.tw"
"=""4549""","桓達","3","https://www.fine-tek.com/investors/p/stakeholder"
"=""4550""","長佳","1","http://www.changjia.com.tw/zh_TW/about/id/11/"
"=""4554""","橙的","1","https://www.orange-electronic.com/tw/stakeholder.html#top"
"=""4556""","旭然","0","http://www.filtrafine.com.tw/go/investors.html"
"=""4558""","寶緯","0","https://www.alformer.com.tw/list/cate-322623.htm"
"=""4561""","健椿","0","www.kenturn.com.tw"
"=""4563""","百德","0","www.quaser.com"
"=""4568""","科際精密","2","https://www.koge.com/invest.php?id=7"
"=""4577""","達航科技","0","www.ofunatech.com"
"=""4580""","捷流閥業","1","www.valuevalves.com"
"=""4584""","君帆","1","https://www.jufan.com.tw/"
"=""4609""","唐鋒","1","www.airlux.com.tw/index.php/zh-tw/social-responsibility/aera-stakeholders"
"=""4702""","中美實","1","http://www.aicgroup.com.tw"
"=""4706""","大恭","1","http://www.tkc.com.tw/3-1.asp"
"=""4707""","磐亞","1","http://www.pacc.com.tw/contact_tw_1.php"
"=""4711""","永純","1","www.yschem.com"
"=""4714""","永捷","1","http://www.u-best-inno.com/"
"=""4716""","大立","1","www.daily-polymer.com"
"=""4721""","美琪瑪","1","http://www.mechema.com/wordpress/?page_id=547"
"=""4726""","永昕","2","https://www.mycenax.com"
"=""4728""","雙美","1","http://www.sunmaxbiotech.com.tw/2_4.html"
"=""4729""","熒茂","1","http://www.mildex.com.tw"
"=""4735""","豪展","1","http://www.avita.com.tw"
"=""4741""","泓瀚","1","http://www.jetbest.com"
"=""4743""","合一","9","http://www.onenessbio.com"
"=""4744""","皇將","1","https://www.cvctechnologies.com.tw/investor-area/responsibility/stakeholder.html"
"=""4745""","合富-KY","1","www.cowealthholding.com"
"=""4747""","強生製藥","1","http://www.jcpjohnson.com.tw"
"=""4754""","國碳科","1","http://www.incatech.com.tw/"
"=""4760""","勤凱科技","0","http://www.ampletec.com.tw/"
"=""4767""","誠泰科技","0","http://www.chetay.com.tw"
"=""4768""","晶呈科技","4","http://www.ingenteccorp.com"
"=""4804""","大略-KY","1","https://dalue.co/"
"=""4806""","昇華","1","www.shec.com.tw/"
"=""4903""","聯光通","1","http://www.ufoc.com.tw/tc/p7-contact4.php"
"=""4905""","台聯電","0","www.tainet.com.tw/stakeholders/"
"=""4907""","富宇","1","http://www.fuyu-property.com.tw/affiliate"
"=""4908""","前鼎","1","www.apacoe.com.tw"
"=""4909""","新復興","1","www.nee.com.tw"
"=""4911""","德英","1","www.geherbs.com.tw"
"=""4923""","力士","1","http://www.force-mos.com"
"=""4924""","欣厚-KY","1","http://www.hsihou.com/"
"=""4931""","新盛力","1","https://www.stl-tech.com/stake.asp"
"=""4933""","友輝","1","WWW.UBRIGHT.COM.TW"
"=""4939""","亞電","1","http://www.aemg.com.tw/big5/Investor.php"
"=""4945""","陞達科技","1","http://www.sentelic.com/index.php/zh-tw/stakeholder"
"=""4946""","辣椒","1","www.cayennetech.com.tw/CT_investment/Earnings/Quarterly.shtml"
"=""4951""","精拓科","0","http://www.fintek.com.tw"
"=""4953""","緯軟","4","https://www.wits.com/tw/corporate-sustainability/stakeholders/"
"=""4966""","譜瑞-KY","4","http://www.paradetech.com"
"=""4971""","IET-KY","4","www.intelliepi.com.tw"
"=""4972""","湯石照明","4","http://www.tonslight.com/"
"=""4973""","廣穎電通","1","http://www.silicon-power.com/web/stakeholder"
"=""4974""","亞泰","2","www.atii.com.tw"
"=""4979""","華星光","1","http://www.luxnetcorp.com.tw/"
"=""4987""","科誠","0","www.godexintl.com"
"=""4991""","環宇-KY","4","http://gcsincorp.com"
"=""4995""","晶達","0","http://irs.litemax.com/"
"=""5009""","榮剛","5","http://www.gmtc.com.tw/csr_investor.php"
"=""5011""","久陽","2","www.ofco.com.tw"
"=""5013""","強新","2","www.newbest.com.tw"
"=""5014""","建錩","1","http://global.chainchon.com/cht/online-sale.htm"
"=""5015""","華祺","1","https://www.rodex.com.tw/"
"=""5016""","松和","0","http://www.songho.com/zh-tw/contact.html"
"=""5201""","凱衛","0","WWW.KWAY.COM.TW"
"=""5202""","力新","1","https://www.newsoft.com.tw/investment/ShowContent.php?UnitId=4&ContentId=17"
"=""5205""","中茂","0","http://www.twget.com.tw/"
"=""5206""","坤悅","1","http://www.kunyue.com.tw/stakeholder"
"=""5209""","新鼎","4","http://www.asi.ctci.com/www/ASI/page.aspx?L=CH&C=0611"
"=""5210""","寶碩","1","http://www.apex.com.tw"
"=""5211""","蒙恬","0","http://www.penpower.com.tw/investment.asp"
"=""5212""","凌網","0","www.hyweb.com.tw"
"=""5213""","亞昕","1","www.yeashin.com.tw"
"=""5220""","萬達光電","0","www.higgstec.com.tw"
"=""5227""","立凱-KY","2","www.aleees.com"
"=""5228""","鈺鎧","0","http://www.maxecho.com.tw"
"=""5230""","雷笛克光學","0","www.ledlink-optics.com"
"=""5236""","凌陽創新","1","http://www.sunplusit.com"
"=""5245""","智晶","0","http://www.wisechip.com.tw/s/1/features-1446-3186/利害關係人專區.html"
"=""5251""","天鉞電","0","http://www.secufirst.com.tw/Investor3.aspx?Inv=1049"
"=""5263""","智崴","3","https://www.brogent.com/zh-tw/csr-3.html"
"=""5272""","笙科","0","http://www.amiccom.com.tw/asp/about_us-4.asp"
"=""5274""","信驊","2","https://www.aspeedtech.com/tw/social_stakeholder/"
"=""5276""","達輝-KY","1","www.da-hui.com.tw"
"=""5278""","尚凡","0","http://www.i-part.com.tw/announce/rules/rules_investment.php"
"=""5287""","數字","4","http://www.addcn.com"
"=""5289""","宜鼎","2","https://esg.innodisk.com/social/stakeholder"
"=""5291""","邑昇","0","http://www.eiso.com.tw"
"=""5299""","杰力","0","http://www.excelliancemos.com"
"=""5301""","寶得利","1","http://www.cjwtaiwan.com/finance_info/22"
"=""5302""","太欣","1","http://www.stk.com.tw/tchinese/about-09.html"
"=""5309""","系統電","4","https://www.sysgration.com/zh-tw/2021-10-22-07-39-10/stakeholders"
"=""5310""","天剛","0","www.cgs.com.tw"
"=""5312""","寶島科","2","www.formosa-optical.com.tw"
"=""5314""","世紀","2","www.myson.com.tw"
"=""5315""","光聯","1","http://www.urt.com.tw/big5/csr.php?show=4"
"=""5321""","美而快","0","https://www.unitedrecommend.com/"
"=""5324""","士開","2","www.sldc.com.tw"
"=""5328""","華容","1","http://www.hjc.com.tw"
"=""5340""","建榮","1","http://baotek.com.tw/index.php?action=investhome"
"=""5344""","立衛","1","http://www.vate.com.tw/"
